wavelength,Refrac_leafm,SC_chl,SC_car,SC_Anth,SC_Brwon,SC_Cw,SC_Cm,direct_light,diffuse_light,dry_soil,wet_soil
400,1.5115,6.49E-02,1.67E-01,6.67E-02,5.27E-01,5.80E-05,1.10E+02,5.91E-01,2.41E+00,2.38E-01,3.21E-02
401,1.5115,6.67E-02,1.68E-01,6.41E-02,5.26E-01,5.85E-05,1.04E+02,5.98E-01,2.41E+00,2.37E-01,3.20E-02
402,1.5115,6.86E-02,1.67E-01,6.19E-02,5.25E-01,5.90E-05,9.80E+01,6.05E-01,2.41E+00,2.37E-01,3.18E-02
403,1.5115,7.00E-02,1.67E-01,5.99E-02,5.24E-01,5.99E-05,9.24E+01,6.12E-01,2.41E+00,2.37E-01,3.17E-02
404,1.5115,7.09E-02,1.68E-01,5.83E-02,5.23E-01,6.10E-05,8.71E+01,6.19E-01,2.41E+00,2.36E-01,3.15E-02
405,1.5115,7.13E-02,1.68E-01,5.67E-02,5.22E-01,6.20E-05,8.23E+01,6.26E-01,2.42E+00,2.36E-01,3.14E-02
406,1.5108,7.13E-02,1.68E-01,5.54E-02,5.21E-01,6.30E-05,7.81E+01,6.33E-01,2.42E+00,2.35E-01,3.13E-02
407,1.5101,7.13E-02,1.67E-01,5.42E-02,5.20E-01,6.40E-05,7.40E+01,6.40E-01,2.42E+00,2.35E-01,3.11E-02
408,1.5095,7.12E-02,1.67E-01,5.31E-02,5.19E-01,6.50E-05,7.01E+01,6.47E-01,2.42E+00,2.34E-01,3.09E-02
409,1.5088,7.12E-02,1.67E-01,5.20E-02,5.18E-01,6.60E-05,6.65E+01,6.54E-01,2.42E+00,2.34E-01,3.08E-02
410,1.5081,7.15E-02,1.66E-01,5.10E-02,5.17E-01,6.70E-05,6.30E+01,6.61E-01,2.42E+00,2.34E-01,3.06E-02
411,1.5076,7.19E-02,1.66E-01,5.01E-02,5.16E-01,6.79E-05,5.95E+01,6.68E-01,2.42E+00,2.33E-01,3.04E-02
412,1.5071,7.20E-02,1.65E-01,4.94E-02,5.15E-01,6.90E-05,5.62E+01,6.75E-01,2.42E+00,2.33E-01,3.03E-02
413,1.5065,7.18E-02,1.66E-01,4.86E-02,5.14E-01,7.05E-05,5.30E+01,6.82E-01,2.42E+00,2.32E-01,3.01E-02
414,1.506,7.15E-02,1.66E-01,4.79E-02,5.13E-01,7.20E-05,5.00E+01,6.89E-01,2.42E+00,2.32E-01,3.00E-02
415,1.5055,7.11E-02,1.66E-01,4.74E-02,5.12E-01,7.31E-05,4.72E+01,6.96E-01,2.42E+00,2.32E-01,2.98E-02
