ID_Parcela,Treatment,Nitrogen,wave,RFL
10A,CAN+DMPSA,N2,400,0.02314881
10A,CAN+DMPSA,N2,401,0.0230373
10A,CAN+DMPSA,N2,402,0.0229258
10A,CAN+DMPSA,N2,403,0.02281429
10A,CAN+DMPSA,N2,404,0.02270279
10A,CAN+DMPSA,N2,405,0.02259129
10A,CAN+DMPSA,N2,406,0.02247978
10A,CAN+DMPSA,N2,407,0.02236828
10A,CAN+DMPSA,N2,408,0.02225677
10A,CAN+DMPSA,N2,409,0.02214527
10A,CAN+DMPSA,N2,410,0.02211528
10A,CAN+DMPSA,N2,411,0.02212191
10A,CAN+DMPSA,N2,412,0.02212854
10A,CAN+DMPSA,N2,413,0.02213517
10A,CAN+DMPSA,N2,414,0.0221418
10A,CAN+DMPSA,N2,415,0.02214843
10A,CAN+DMPSA,N2,416,0.02215506
10A,CAN+DMPSA,N2,417,0.02216169
10A,CAN+DMPSA,N2,418,0.02216832
10A,CAN+DMPSA,N2,419,0.02220533
10A,CAN+DMPSA,N2,420,0.0222919
10A,CAN+DMPSA,N2,421,0.02237847
10A,CAN+DMPSA,N2,422,0.02246504
10A,CAN+DMPSA,N2,423,0.02255161
10A,CAN+DMPSA,N2,424,0.02263818
10A,CAN+DMPSA,N2,425,0.02272475
10A,CAN+DMPSA,N2,426,0.02281132
10A,CAN+DMPSA,N2,427,0.02289789
10A,CAN+DMPSA,N2,428,0.02298738
10A,CAN+DMPSA,N2,429,0.02311569
10A,CAN+DMPSA,N2,430,0.023244
10A,CAN+DMPSA,N2,431,0.02337232
10A,CAN+DMPSA,N2,432,0.02350063
10A,CAN+DMPSA,N2,433,0.02362894
10A,CAN+DMPSA,N2,434,0.02375725
10A,CAN+DMPSA,N2,435,0.02388556
10A,CAN+DMPSA,N2,436,0.02401387
10A,CAN+DMPSA,N2,437,0.02414218
10A,CAN+DMPSA,N2,438,0.02426191
10A,CAN+DMPSA,N2,439,0.02437892
10A,CAN+DMPSA,N2,440,0.02449593
10A,CAN+DMPSA,N2,441,0.02461294
10A,CAN+DMPSA,N2,442,0.02472995
10A,CAN+DMPSA,N2,443,0.02484696
10A,CAN+DMPSA,N2,444,0.02496397
10A,CAN+DMPSA,N2,445,0.02508099
10A,CAN+DMPSA,N2,446,0.025198
10A,CAN+DMPSA,N2,447,0.02528452
10A,CAN+DMPSA,N2,448,0.02533378
10A,CAN+DMPSA,N2,449,0.02538304
10A,CAN+DMPSA,N2,450,0.0254323
10A,CAN+DMPSA,N2,451,0.02548156
10A,CAN+DMPSA,N2,452,0.02553082
10A,CAN+DMPSA,N2,453,0.02558008
10A,CAN+DMPSA,N2,454,0.02562933
10A,CAN+DMPSA,N2,455,0.02567859
10A,CAN+DMPSA,N2,456,0.02572318
10A,CAN+DMPSA,N2,457,0.02573904
10A,CAN+DMPSA,N2,458,0.02575491
10A,CAN+DMPSA,N2,459,0.02577077
10A,CAN+DMPSA,N2,460,0.02578663
10A,CAN+DMPSA,N2,461,0.0258025
10A,CAN+DMPSA,N2,462,0.02581836
10A,CAN+DMPSA,N2,463,0.02583423
10A,CAN+DMPSA,N2,464,0.02585009
10A,CAN+DMPSA,N2,465,0.02586595
10A,CAN+DMPSA,N2,466,0.02589275
10A,CAN+DMPSA,N2,467,0.02592179
10A,CAN+DMPSA,N2,468,0.02595082
10A,CAN+DMPSA,N2,469,0.02597986
10A,CAN+DMPSA,N2,470,0.0260089
10A,CAN+DMPSA,N2,471,0.02603793
10A,CAN+DMPSA,N2,472,0.02606697
10A,CAN+DMPSA,N2,473,0.026096
10A,CAN+DMPSA,N2,474,0.02612504
10A,CAN+DMPSA,N2,475,0.02618449
10A,CAN+DMPSA,N2,476,0.02627201
10A,CAN+DMPSA,N2,477,0.02635953
10A,CAN+DMPSA,N2,478,0.02644706
10A,CAN+DMPSA,N2,479,0.02653458
10A,CAN+DMPSA,N2,480,0.0266221
10A,CAN+DMPSA,N2,481,0.02670962
10A,CAN+DMPSA,N2,482,0.02679715
10A,CAN+DMPSA,N2,483,0.02688467
10A,CAN+DMPSA,N2,484,0.0269953
10A,CAN+DMPSA,N2,485,0.02719285
10A,CAN+DMPSA,N2,486,0.0273904
10A,CAN+DMPSA,N2,487,0.02758794
10A,CAN+DMPSA,N2,488,0.02778549
10A,CAN+DMPSA,N2,489,0.02798304
10A,CAN+DMPSA,N2,490,0.02818059
10A,CAN+DMPSA,N2,491,0.02837814
10A,CAN+DMPSA,N2,492,0.02857569
10A,CAN+DMPSA,N2,493,0.02877324
10A,CAN+DMPSA,N2,494,0.02911159
10A,CAN+DMPSA,N2,495,0.02946558
10A,CAN+DMPSA,N2,496,0.02981957
10A,CAN+DMPSA,N2,497,0.03017356
10A,CAN+DMPSA,N2,498,0.03052755
10A,CAN+DMPSA,N2,499,0.03088155
10A,CAN+DMPSA,N2,500,0.03123554
10A,CAN+DMPSA,N2,501,0.03158953
10A,CAN+DMPSA,N2,502,0.03194352
10A,CAN+DMPSA,N2,503,0.03237237
10A,CAN+DMPSA,N2,504,0.03285325
10A,CAN+DMPSA,N2,505,0.03333413
10A,CAN+DMPSA,N2,506,0.03381501
10A,CAN+DMPSA,N2,507,0.03429588
10A,CAN+DMPSA,N2,508,0.03477676
10A,CAN+DMPSA,N2,509,0.03525764
10A,CAN+DMPSA,N2,510,0.03573851
10A,CAN+DMPSA,N2,511,0.03621939
10A,CAN+DMPSA,N2,512,0.03672617
10A,CAN+DMPSA,N2,513,0.03729954
10A,CAN+DMPSA,N2,514,0.03787291
10A,CAN+DMPSA,N2,515,0.03844628
10A,CAN+DMPSA,N2,516,0.03901965
10A,CAN+DMPSA,N2,517,0.03959302
10A,CAN+DMPSA,N2,518,0.0401664
10A,CAN+DMPSA,N2,519,0.04073977
10A,CAN+DMPSA,N2,520,0.04131314
10A,CAN+DMPSA,N2,521,0.04188651
10A,CAN+DMPSA,N2,522,0.04242377
10A,CAN+DMPSA,N2,523,0.04295992
10A,CAN+DMPSA,N2,524,0.04349607
10A,CAN+DMPSA,N2,525,0.04403222
10A,CAN+DMPSA,N2,526,0.04456836
10A,CAN+DMPSA,N2,527,0.04510451
10A,CAN+DMPSA,N2,528,0.04564066
10A,CAN+DMPSA,N2,529,0.04617681
10A,CAN+DMPSA,N2,530,0.04671295
10A,CAN+DMPSA,N2,531,0.04717787
10A,CAN+DMPSA,N2,532,0.04760608
10A,CAN+DMPSA,N2,533,0.0480343
10A,CAN+DMPSA,N2,534,0.04846251
10A,CAN+DMPSA,N2,535,0.04889073
10A,CAN+DMPSA,N2,536,0.04931894
10A,CAN+DMPSA,N2,537,0.04974716
10A,CAN+DMPSA,N2,538,0.05017537
10A,CAN+DMPSA,N2,539,0.05060358
10A,CAN+DMPSA,N2,540,0.05096485
10A,CAN+DMPSA,N2,541,0.0512018
10A,CAN+DMPSA,N2,542,0.05143875
10A,CAN+DMPSA,N2,543,0.0516757
10A,CAN+DMPSA,N2,544,0.05191264
10A,CAN+DMPSA,N2,545,0.05214959
10A,CAN+DMPSA,N2,546,0.05238654
10A,CAN+DMPSA,N2,547,0.05262348
10A,CAN+DMPSA,N2,548,0.05286043
10A,CAN+DMPSA,N2,549,0.05308805
10A,CAN+DMPSA,N2,550,0.05309193
10A,CAN+DMPSA,N2,551,0.0530958
10A,CAN+DMPSA,N2,552,0.05309968
10A,CAN+DMPSA,N2,553,0.05310356
10A,CAN+DMPSA,N2,554,0.05310743
10A,CAN+DMPSA,N2,555,0.05311131
10A,CAN+DMPSA,N2,556,0.05311519
10A,CAN+DMPSA,N2,557,0.05311906
10A,CAN+DMPSA,N2,558,0.05312294
10A,CAN+DMPSA,N2,559,0.05304147
10A,CAN+DMPSA,N2,560,0.05292843
10A,CAN+DMPSA,N2,561,0.05281539
10A,CAN+DMPSA,N2,562,0.05270235
10A,CAN+DMPSA,N2,563,0.05258931
10A,CAN+DMPSA,N2,564,0.05247627
10A,CAN+DMPSA,N2,565,0.05236323
10A,CAN+DMPSA,N2,566,0.05225019
10A,CAN+DMPSA,N2,567,0.05213715
10A,CAN+DMPSA,N2,568,0.05200858
10A,CAN+DMPSA,N2,569,0.05185857
10A,CAN+DMPSA,N2,570,0.05170855
10A,CAN+DMPSA,N2,571,0.05155854
10A,CAN+DMPSA,N2,572,0.05140853
10A,CAN+DMPSA,N2,573,0.05125852
10A,CAN+DMPSA,N2,574,0.05110851
10A,CAN+DMPSA,N2,575,0.0509585
10A,CAN+DMPSA,N2,576,0.05080849
10A,CAN+DMPSA,N2,577,0.0506575
10A,CAN+DMPSA,N2,578,0.05049859
10A,CAN+DMPSA,N2,579,0.05033969
10A,CAN+DMPSA,N2,580,0.05018079
10A,CAN+DMPSA,N2,581,0.05002189
10A,CAN+DMPSA,N2,582,0.04986299
10A,CAN+DMPSA,N2,583,0.04970408
10A,CAN+DMPSA,N2,584,0.04954518
10A,CAN+DMPSA,N2,585,0.04938628
10A,CAN+DMPSA,N2,586,0.04922738
10A,CAN+DMPSA,N2,587,0.04910261
10A,CAN+DMPSA,N2,588,0.04898638
10A,CAN+DMPSA,N2,589,0.04887015
10A,CAN+DMPSA,N2,590,0.04875392
10A,CAN+DMPSA,N2,591,0.04863768
10A,CAN+DMPSA,N2,592,0.04852145
10A,CAN+DMPSA,N2,593,0.04840522
10A,CAN+DMPSA,N2,594,0.04828899
10A,CAN+DMPSA,N2,595,0.04817275
10A,CAN+DMPSA,N2,596,0.04808651
10A,CAN+DMPSA,N2,597,0.04803147
10A,CAN+DMPSA,N2,598,0.04797644
10A,CAN+DMPSA,N2,599,0.0479214
10A,CAN+DMPSA,N2,600,0.04786636
10A,CAN+DMPSA,N2,601,0.04781133
