ParcelaFecha,Parcela,Fecha,Campana,FactorN,N,FactorW,FactorNW,N_all,Biomasa_all,Ncontent_all,NNI_ajusted,NNI_justes,Biomasa_Tallo,N_Tallo,N_content_Tallo,Biomasa_Espigas,N_Espigas,Ncontent_Espigas,Yield,Grain_Nporcent,Grain_Ncontent,Conductance,sigma0_VH_s1a,sigma0_VV_s1a,sigma0_VH_s1b,sigma0_VV_s1b,VV_VH_s1a,VV_VH_s1b,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,temp,Chl,Flav,Anth,NBI
1020180322,10,20180322,2018,N2,136,irrigated,N2,3.5288,2.463,8.6914344,1.233906029,0.98242755,2463,3.5288,86.914344,0,0,0,7750.492864,1.878,145.554256,208.85,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0001,0.0248,0.0084,0.4222,0.0606,0.2959,0.409,0.4223,0.1324,0.0687,16.67357143,42.13,1.351642857,0.151454545,31.58785714
1020180419,10,20180419,2018,N2,136,irrigated,N2,1.8053,9.26074391,16.71842098,1.196787571,0.90251219,9260.74391,1.8053,167.1842098,0,0,0,7750.492864,1.878,145.554256,327.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.007,0.0281,0.0118,0.4453,0.0599,0.2908,0.419,0.4374,0.1273,0.0638,24.49333333,36.88466667,1.536866667,0.129066667,24.29866667
1020180515,10,20180515,2018,N2,136,irrigated,N2_irri,1.213050298,13.48431469,16.35715195,0.964192809,0.715994014,10548.2327,1.07055,112.9241051,2936.081993,1.725,50.64741438,7750.492864,1.878,145.554256,#N/A,0.006674797,0.03129638,0.006627946,0.022675964,4.688738799,3.421265447,0.0196,0.0385,0.0237,0.4515,0.0746,0.2844,0.3976,0.4334,0.1531,0.0813,29.85933333,44.25353333,1.525866667,0.112533333,29.618
1020190311,10,20190311,2019,N2,149,rainfed,N2,3.4214,1.251,4.2801714,0.862495549,0.706053808,1251,3.4214,42.801714,0,0,0,4824.293937,2.2118,106.7037333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0523,0.0923,0.082,0.4666,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,22.993125,40.05675,1.49825,0.1496875,27.3975
1020190412,10,20190412,2019,N2,149,rainfed,N2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.1018,#N/A,0,0,0,4824.293937,2.2118,106.7037333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0215,0.04605,0.03385,0.4571,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16.24416667,42.21091667,1.540833333,0.1345,27.76916667
1020190516,10,20190516,2019,N2,149,rainfed,N2_rain,1.22426592,10.86948667,13.3071421,0.876884623,0.656941006,8076.637031,1.02257,82.58926729,2792.849642,1.80755,50.4821537,4824.293937,2.2118,106.7037333,151.4333333,0.013803421,0.040922891,0.008868598,0.04300772,2.964691955,4.849438257,0.03045,0.06035,0.061275,0.39565,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,27.01133333,38.49586667,1.479333333,0.119266667,25.84133333
1120180322,11,20180322,2018,N1,86,irrigated,N1,3.6123,3.0816,11.13166368,1.407474314,1.110373628,3081.6,3.6123,111.3166368,0,0,0,5752.468818,1.56,89.73851356,167.85,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0001,0.0298,0.0148,0.41175,0.0775,0.2935,0.3788,0.3998,0.146,0.0778,15.95533333,33.9528,1.601642857,0.172153846,21.76928571
1120180419,11,20180419,2018,N1,86,irrigated,N1,2.2273,6.980097011,15.54677007,1.28807613,0.982679055,6980.097011,2.2273,155.4677007,0,0,0,5752.468818,1.56,89.73851356,270.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.01005,0.03095,0.01575,0.383,0.0605,0.2749,0.3789,0.3917,0.1333,0.072,25.64733333,30.7936,1.6384,0.1626,18.90133333
1120180515,11,20180515,2018,N1,86,irrigated,N1_irri,1.220496128,15.58517277,19.02164302,1.040384443,0.767999895,12289.32757,1.0897,133.9168025,3295.845196,1.7082,56.29962765,5752.468818,1.56,89.73851356,#N/A,0.004224225,0.038420495,0.010401336,0.028137049,9.095275675,2.705137823,0.0285,0.04925,0.03425,0.41915,0.0897,0.2833,0.395,0.4225,0.1641,0.0912,29.39,40.1886,1.534571429,0.1214,27.21357143
1120190311,11,20190311,2019,N1,99,rainfed,N1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.7388,#N/A,0,0,0,4559.684911,1.9272,87.8742476,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.045525,0.0827,0.0673,0.464275,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,23.31352941,37.65,1.442470588,0.155176471,26.09823529
