ID,Name,Origin,Refl_file,Specular,SMCg,Clay,Fine_silt,Coarse_silt,Silt,Fine_sand,Coarse_sand,Sand,OM,CaCO3,Fe,N,OC,CEC,CEC_met,Hv,pH,P,L,eps,d,K,a,psi,Slope,Intercept
1,685-Lebna 18,4,bab16_001.csv,1,42.8,362,nan,nan,222,nan,nan,416,14.4,117,1.35,nan,nan,nan,nan,nan,nan,nan,0.0506,0.49,0.0000,47.08,11.59,181.50,1.1714,0.0140
1,685-Lebna 18,4,bab16_002.csv,0,30.6,362,nan,nan,222,nan,nan,416,14.4,117,1.35,nan,nan,nan,nan,nan,nan,nan,0.0331,0.52,0.0050,47.08,11.59,181.50,1.1714,0.0140
1,685-Lebna 18,4,bab16_003.csv,0,21.4,362,nan,nan,222,nan,nan,416,14.4,117,1.35,nan,nan,nan,nan,nan,nan,nan,0.0267,0.48,0.0067,47.08,11.59,181.50,1.1714,0.0140
1,685-Lebna 18,4,bab16_004.csv,0,15.3,362,nan,nan,222,nan,nan,416,14.4,117,1.35,nan,nan,nan,nan,nan,nan,nan,0.0183,0.47,0.0026,47.08,11.59,181.50,1.1714,0.0140
1,685-Lebna 18,4,bab16_005.csv,0,9.2,362,nan,nan,222,nan,nan,416,14.4,117,1.35,nan,nan,nan,nan,nan,nan,nan,0.0135,0.41,0.0000,47.08,11.59,181.50,1.1714,0.0140
1,685-Lebna 18,4,bab16_006.csv,0,3.7,362,nan,nan,222,nan,nan,416,14.4,117,1.35,nan,nan,nan,nan,nan,nan,nan,0.0108,0.11,0.0000,47.08,11.59,181.50,1.1714,0.0140
1,685-Lebna 18,4,bab16_007.csv,0,0,362,nan,nan,222,nan,nan,416,14.4,117,1.35,nan,nan,nan,nan,nan,nan,nan,0.0000,0.00,0.0000,47.08,11.59,181.50,1.1714,0.0140
2,724-Lebna 57,4,bab16_008.csv,1,45.5,738,nan,nan,194,nan,nan,68,15.6,10.9,1.9,nan,nan,nan,nan,nan,nan,nan,0.0608,0.34,0.0000,46.61,48.81,384.19,1.1116,0.0131
2,724-Lebna 57,4,bab16_009.csv,1,30.8,738,nan,nan,194,nan,nan,68,15.6,10.9,1.9,nan,nan,nan,nan,nan,nan,nan,0.0361,0.30,0.0000,46.61,48.81,384.19,1.1116,0.0131
2,724-Lebna 57,4,bab16_010.csv,0,21.1,738,nan,nan,194,nan,nan,68,15.6,10.9,1.9,nan,nan,nan,nan,nan,nan,nan,0.0257,0.39,0.0000,46.61,48.81,384.19,1.1116,0.0131
2,724-Lebna 57,4,bab16_011.csv,0,16,738,nan,nan,194,nan,nan,68,15.6,10.9,1.9,nan,nan,nan,nan,nan,nan,nan,0.0229,0.41,0.0095,46.61,48.81,384.19,1.1116,0.0131
2,724-Lebna 57,4,bab16_012.csv,0,10.7,738,nan,nan,194,nan,nan,68,15.6,10.9,1.9,nan,nan,nan,nan,nan,nan,nan,0.0172,0.39,0.0317,46.61,48.81,384.19,1.1116,0.0131
2,724-Lebna 57,4,bab16_013.csv,0,5,738,nan,nan,194,nan,nan,68,15.6,10.9,1.9,nan,nan,nan,nan,nan,nan,nan,0.0086,0.20,0.0024,46.61,48.81,384.19,1.1116,0.0131
2,724-Lebna 57,4,bab16_014.csv,0,0,738,nan,nan,194,nan,nan,68,15.6,10.9,1.9,nan,nan,nan,nan,nan,nan,nan,0.0000,0.00,0.0000,46.61,48.81,384.19,1.1116,0.0131
3,730-Lebna 63,4,bab16_015.csv,1,51.7,511,nan,nan,261,nan,nan,228,16.8,42.5,1.68,nan,nan,nan,nan,nan,nan,nan,0.0521,0.60,0.0000,55.95,8.05,149.82,1.2224,0.0059
3,730-Lebna 63,4,bab16_016.csv,0,38,511,nan,nan,261,nan,nan,228,16.8,42.5,1.68,nan,nan,nan,nan,nan,nan,nan,0.0324,0.50,0.0000,55.95,8.05,149.82,1.2224,0.0059
3,730-Lebna 63,4,bab16_017.csv,0,24.8,511,nan,nan,261,nan,nan,228,16.8,42.5,1.68,nan,nan,nan,nan,nan,nan,nan,0.0300,0.47,0.0038,55.95,8.05,149.82,1.2224,0.0059
3,730-Lebna 63,4,bab16_018.csv,0,19.2,511,nan,nan,261,nan,nan,228,16.8,42.5,1.68,nan,nan,nan,nan,nan,nan,nan,0.0280,0.44,0.0073,55.95,8.05,149.82,1.2224,0.0059
3,730-Lebna 63,4,bab16_019.csv,0,22.1,511,nan,nan,261,nan,nan,228,16.8,42.5,1.68,nan,nan,nan,nan,nan,nan,nan,0.0183,0.42,0.0050,55.95,8.05,149.82,1.2224,0.0059
3,730-Lebna 63,4,bab16_020.csv,0,5.8,511,nan,nan,261,nan,nan,228,16.8,42.5,1.68,nan,nan,nan,nan,nan,nan,nan,0.0112,0.18,0.0000,55.95,8.05,149.82,1.2224,0.0059
3,730-Lebna 63,4,bab16_021.csv,0,0,511,nan,nan,261,nan,nan,228,16.8,42.5,1.68,nan,nan,nan,nan,nan,nan,nan,0.0000,0.00,0.0000,55.95,8.05,149.82,1.2224,0.0059
4,Alumine G-E5,0,bab16_022.csv,0,59.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0677,0.76,0.0000,60.67,15.56,387.59,0.9890,0.0168
4,Alumine G-E5,0,bab16_023.csv,0,46.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0242,0.38,0.0024,60.67,15.56,387.59,0.9890,0.0168
4,Alumine G-E5,0,bab16_024.csv,0,27.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0189,0.38,0.0023,60.67,15.56,387.59,0.9890,0.0168
4,Alumine G-E5,0,bab16_025.csv,0,20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0146,0.38,0.0052,60.67,15.56,387.59,0.9890,0.0168
4,Alumine G-E5,0,bab16_026.csv,0,9.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0022,0.11,0.1488,60.67,15.56,387.59,0.9890,0.0168
4,Alumine G-E5,0,bab16_027.csv,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.00,0.0000,60.67,15.56,387.59,0.9890,0.0168
5,Argile POC2 ,0,bab16_028.csv,0,45.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0620,0.71,0.0163,45.18,9.84,335.00,1.0625,0.0162
5,Argile POC2 ,0,bab16_029.csv,0,29.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0173,0.51,0.1227,45.18,9.84,335.00,1.0625,0.0162
5,Argile POC2 ,0,bab16_030.csv,0,16.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0101,0.52,0.1696,45.18,9.84,335.00,1.0625,0.0162
5,Argile POC2 ,0,bab16_031.csv,0,9.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0066,0.41,0.2154,45.18,9.84,335.00,1.0625,0.0162
5,Argile POC2 ,0,bab16_032.csv,0,4.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0077,0.07,0.0445,45.18,9.84,335.00,1.0625,0.0162
5,Argile POC2 ,0,bab16_033.csv,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.00,0.0000,45.18,9.84,335.00,1.0625,0.0162
6,Bauxite G-E6,0,bab16_034.csv,1,27.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0337,0.60,0.0000,28.51,1.31,200.58,1.0744,0.0210
6,Bauxite G-E6,0,bab16_035.csv,0,19.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0040,0.63,0.0296,28.51,1.31,200.58,1.0744,0.0210
6,Bauxite G-E6,0,bab16_036.csv,0,12.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0048,0.53,0.0662,28.51,1.31,200.58,1.0744,0.0210
6,Bauxite G-E6,0,bab16_037.csv,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000,0.00,0.0000,28.51,1.31,200.58,1.0744,0.0210
7,Calcosol 19d2,1,bab16_038.csv,1,55.3,nan,nan,nan,nan,nan,nan,nan,34.2,269,0.603,1.83,19.7,21,16,30.3,8.16,0.238,0.0398,0.46,0.0000,55.36,27.41,476.84,1.0085,0.0274
7,Calcosol 19d2,1,bab16_039.csv,0,43.3,nan,nan,nan,nan,nan,nan,nan,34.2,269,0.603,1.83,19.7,21,16,30.3,8.16,0.238,0.0169,0.58,0.0146,55.36,27.41,476.84,1.0085,0.0274
7,Calcosol 19d2,1,bab16_040.csv,0,32.5,nan,nan,nan,nan,nan,nan,nan,34.2,269,0.603,1.83,19.7,21,16,30.3,8.16,0.238,0.0140,0.55,0.0222,55.36,27.41,476.84,1.0085,0.0274
7,Calcosol 19d2,1,bab16_041.csv,0,25.8,nan,nan,nan,nan,nan,nan,nan,34.2,269,0.603,1.83,19.7,21,16,30.3,8.16,0.238,0.0119,0.54,0.0267,55.36,27.41,476.84,1.0085,0.0274
7,Calcosol 19d2,1,bab16_042.csv,0,19.3,nan,nan,nan,nan,nan,nan,nan,34.2,269,0.603,1.83,19.7,21,16,30.3,8.16,0.238,0.0107,0.53,0.0263,55.36,27.41,476.84,1.0085,0.0274
7,Calcosol 19d2,1,bab16_043.csv,0,10,nan,nan,nan,nan,nan,nan,nan,34.2,269,0.603,1.83,19.7,21,16,30.3,8.16,0.238,0.0086,0.46,0.0309,55.36,27.41,476.84,1.0085,0.0274
7,Calcosol 19d2,1,bab16_044.csv,0,0,nan,nan,nan,nan,nan,nan,nan,34.2,269,0.603,1.83,19.7,21,16,30.3,8.16,0.238,0.0000,0.00,0.0000,55.36,27.41,476.84,1.0085,0.0274
8,Carbonate TH-E12,0,bab16_045.csv,0,79.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0793,0.75,0.0063,79.20,3.86,206.88,1.1181,0.0271
8,Carbonate TH-E12,0,bab16_046.csv,0,62.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0233,0.54,0.0433,79.20,3.86,206.88,1.1181,0.0271
8,Carbonate TH-E12,0,bab16_047.csv,0,47.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0159,0.57,0.0531,79.20,3.86,206.88,1.1181,0.0271
8,Carbonate TH-E12,0,bab16_048.csv,0,33.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0077,0.56,0.0535,79.20,3.86,206.88,1.1181,0.0271
8,Carbonate TH-E12,0,bab16_049.csv,0,18.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0044,0.31,0.0000,79.20,3.86,206.88,1.1181,0.0271
