Wvl	R
400	0.0291
401	0.0365
402	0.0300
403	0.0278
404	0.0263
405	0.0268
406	0.0290
407	0.0281
408	0.0271
409	0.0270
410	0.0275
411	0.0252
412	0.0254
413	0.0272
414	0.0216
415	0.0232
416	0.0300
417	0.0352
418	0.0308
419	0.0303
420	0.0343
421	0.0358
422	0.0356
423	0.0350
424	0.0350
425	0.0345
426	0.0359
427	0.0357
428	0.0311
429	0.0343
430	0.0338
431	0.0298
432	0.0336
433	0.0364
434	0.0375
435	0.0369
436	0.0314
437	0.0332
438	0.0389
439	0.0391
440	0.0377
441	0.0367
442	0.0371
443	0.0391
444	0.0385
445	0.0370
446	0.0376
447	0.0418
448	0.0429
449	0.0404
450	0.0390
451	0.0397
452	0.0402
453	0.0391
454	0.0381
455	0.0394
456	0.0411
457	0.0404
458	0.0395
459	0.0393
460	0.0401
461	0.0409
462	0.0404
463	0.0402
464	0.0417
465	0.0418
466	0.0410
467	0.0400
468	0.0394
469	0.0396
470	0.0397
471	0.0393
472	0.0384
473	0.0398
474	0.0423
475	0.0434
476	0.0440
477	0.0425
478	0.0401
479	0.0411
480	0.0415
481	0.0414
482	0.0417
483	0.0438
484	0.0451
485	0.0448
486	0.0432
487	0.0446
488	0.0453
489	0.0442
490	0.0445
491	0.0444
492	0.0442
493	0.0445
494	0.0464
495	0.0476
496	0.0474
497	0.0462
498	0.0462
499	0.0465
500	0.0466
501	0.0478
502	0.0478
503	0.0478
504	0.0500
505	0.0494
506	0.0488
507	0.0497
508	0.0503
509	0.0500
510	0.0496
511	0.0501
512	0.0506
513	0.0512
514	0.0515
515	0.0510
516	0.0522
517	0.0533
518	0.0529
519	0.0528
520	0.0529
521	0.0530
522	0.0525
523	0.0527
524	0.0539
525	0.0554
526	0.0558
527	0.0556
528	0.0555
529	0.0559
530	0.0560
531	0.0563
532	0.0570
533	0.0577
534	0.0580
535	0.0579
536	0.0575
537	0.0581
538	0.0584
539	0.0584
540	0.0590
541	0.0600
542	0.0607
543	0.0608
544	0.0602
545	0.0602
546	0.0608
547	0.0615
548	0.0617
549	0.0624
550	0.0632
551	0.0628
552	0.0627
553	0.0629
554	0.0630
555	0.0640
556	0.0646
557	0.0647
558	0.0650
559	0.0648
560	0.0649
561	0.0654
562	0.0653
563	0.0657
564	0.0663
565	0.0668
566	0.0672
567	0.0678
568	0.0681
569	0.0675
570	0.0678
571	0.0683
572	0.0683
573	0.0684
574	0.0690
575	0.0698
576	0.0697
577	0.0700
578	0.0702
579	0.0702
580	0.0701
581	0.0702
582	0.0705
583	0.0712
584	0.0708
585	0.0710
586	0.0716
587	0.0715
588	0.0715
589	0.0716
590	0.0719
591	0.0724
592	0.0728
593	0.0731
594	0.0733
595	0.0732
596	0.0731
597	0.0731
598	0.0731
599	0.0737
600	0.0741
601	0.0741
602	0.0747
603	0.0747
604	0.0742
605	0.0742
606	0.0745
607	0.0748
608	0.0751
609	0.0751
610	0.0753
611	0.0755
612	0.0754
613	0.0753
614	0.0757
615	0.0764
616	0.0760
617	0.0761
618	0.0764
619	0.0765
620	0.0768
621	0.0768
622	0.0769
623	0.0774
624	0.0772
625	0.0774
626	0.0780
627	0.0778
628	0.0778
629	0.0780
630	0.0783
631	0.0784
632	0.0783
633	0.0784
634	0.0790
635	0.0794
636	0.0794
637	0.0792
638	0.0794
639	0.0793
640	0.0796
641	0.0808
642	0.0804
643	0.0802
644	0.0808
645	0.0809
646	0.0806
647	0.0807
648	0.0814
649	0.0813
650	0.0816
651	0.0819
652	0.0818
653	0.0818
654	0.0820
655	0.0824
656	0.0830
657	0.0828
658	0.0826
659	0.0832
660	0.0831
661	0.0832
662	0.0835
663	0.0836
664	0.0841
665	0.0844
666	0.0843
667	0.0848
668	0.0847
669	0.0846
670	0.0851
671	0.0854
672	0.0856
673	0.0859
674	0.0859
675	0.0862
676	0.0864
677	0.0863
678	0.0867
679	0.0867
680	0.0869
681	0.0878
682	0.0879
683	0.0878
684	0.0878
685	0.0882
686	0.0884
687	0.0884
688	0.0884
689	0.0889
690	0.0891
691	0.0893
692	0.0897
693	0.0899
694	0.0901
695	0.0902
696	0.0900
697	0.0901
698	0.0906
699	0.0912
700	0.0913
701	0.0912
702	0.0913
703	0.0918
704	0.0918
705	0.0920
706	0.0924
707	0.0924
708	0.0927
709	0.0931
710	0.0934
711	0.0934
712	0.0937
713	0.0940
714	0.0941
715	0.0943
716	0.0946
717	0.0948
718	0.0948
719	0.0952
720	0.0958
721	0.0962
722	0.0961
723	0.0961
724	0.0964
725	0.0968
726	0.0972
727	0.0971
728	0.0970
729	0.0977
730	0.0980
731	0.0984
732	0.0989
733	0.0987
734	0.0987
735	0.0988
736	0.0990
737	0.0995
738	0.1000
739	0.1002
740	0.1004
741	0.1008
742	0.1009
743	0.1008
744	0.1014
745	0.1016
746	0.1016
747	0.1018
748	0.1024
749	0.1027
750	0.1027
751	0.1029
752	0.1029
753	0.1031
754	0.1035
755	0.1039
756	0.1044
757	0.1048
758	0.1050
759	0.1048
760	0.1050
761	0.1055
762	0.1057
763	0.1059
764	0.1064
765	0.1068
766	0.1064
767	0.1066
768	0.1070
769	0.1074
770	0.1077
771	0.1080
772	0.1080
773	0.1080
774	0.1086
775	0.1092
776	0.1094
777	0.1094
778	0.1095
779	0.1096
780	0.1096
781	0.1103
782	0.1105
783	0.1107
784	0.1110
785	0.1108
786	0.1110
787	0.1115
788	0.1117
789	0.1120
790	0.1124
791	0.1127
792	0.1125
793	0.1126
794	0.1128
795	0.1132
796	0.1138
797	0.1140
798	0.1138
799	0.1136
800	0.1139
801	0.1140
802	0.1142
803	0.1150
804	0.1153
805	0.1154
806	0.1154
807	0.1158
808	0.1158
809	0.1163
810	0.1168
811	0.1165
812	0.1165
813	0.1166
814	0.1166
815	0.1172
816	0.1176
817	0.1178
818	0.1179
819	0.1177
820	0.1180
821	0.1184
822	0.1182
823	0.1183
824	0.1188
825	0.1193
826	0.1190
827	0.1191
828	0.1191
829	0.1190
830	0.1194
831	0.1197
832	0.1199
833	0.1200
834	0.1205
835	0.1208
836	0.1211
837	0.1213
838	0.1208
839	0.1206
840	0.1209
841	0.1214
842	0.1214
843	0.1216
844	0.1220
845	0.1223
846	0.1222
847	0.1226
848	0.1233
849	0.1227
850	0.1224
851	0.1225
852	0.1228
853	0.1227
854	0.1231
855	0.1236
856	0.1239
857	0.1242
858	0.1238
859	0.1237
860	0.1244
861	0.1243
862	0.1241
863	0.1244
864	0.1253
865	0.1252
866	0.1248
867	0.1248
868	0.1254
869	0.1259
870	0.1262
871	0.1259
872	0.1251
873	0.1255
874	0.1261
875	0.1265
876	0.1271
877	0.1270
878	0.1270
879	0.1274
880	0.1278
881	0.1281
882	0.1279
883	0.1274
884	0.1277
885	0.1277
886	0.1277
887	0.1281
888	0.1284
889	0.1286
890	0.1288
891	0.1291
892	0.1293
893	0.1291
894	0.1289
895	0.1294
896	0.1293
897	0.1295
898	0.1296
899	0.1291
900	0.1302
901	0.1305
902	0.1303
903	0.1307
904	0.1313
905	0.1315
906	0.1314
907	0.1316
908	0.1313
909	0.1313
910	0.1320
911	0.1329
912	0.1319
913	0.1318
914	0.1326
915	0.1322
916	0.1329
917	0.1333
918	0.1331
919	0.1339
920	0.1338
921	0.1338
922	0.1339
923	0.1339
924	0.1340
925	0.1347
926	0.1353
927	0.1340
928	0.1345
929	0.1345
930	0.1335
931	0.1345
932	0.1352
933	0.1355
934	0.1356
935	0.1356
936	0.1356
937	0.1363
938	0.1370
939	0.1352
940	0.1362
941	0.1378
942	0.1380
943	0.1372
944	0.1358
945	0.1355
946	0.1367
947	0.1377
948	0.1367
949	0.1367
950	0.1386
951	0.1396
952	0.1382
953	0.1370
954	0.1372
955	0.1380
956	0.1385
957	0.1375
958	0.1368
959	0.1404
960	0.1409
961	0.1404
962	0.1397
963	0.1379
964	0.1393
965	0.1406
966	0.1400
967	0.1385
968	0.1401
969	0.1418
970	0.1419
971	0.1407
972	0.1413
973	0.1423
974	0.1430
975	0.1431
976	0.1422
977	0.1426
978	0.1427
979	0.1408
980	0.1431
981	0.1431
982	0.1419
983	0.1426
984	0.1445
985	0.1434
986	0.1423
987	0.1435
988	0.1418
989	0.1406
990	0.1408
991	0.1424
992	0.1450
993	0.1452
994	0.1451
995	0.1458
996	0.1445
997	0.1443
998	0.1430
999	0.1418
1000	0.1452
1001	0.1462
1002	0.1458
1003	0.1437
1004	0.1435
1005	0.1434
1006	0.1442
1007	0.1460
1008	0.1469
1009	0.1475
1010	0.1480
1011	0.1479
1012	0.1485
1013	0.1484
1014	0.1483
1015	0.1481
1016	0.1456
1017	0.1448
1018	0.1453
1019	0.1451
1020	0.1456
1021	0.1468
1022	0.1479
1023	0.1487
1024	0.1497
1025	0.1502
1026	0.1503
1027	0.1497
1028	0.1493
1029	0.1494
1030	0.1505
1031	0.1511
1032	0.1505
1033	0.1514
1034	0.1518
1035	0.1510
1036	0.1513
1037	0.1509
1038	0.1502
1039	0.1486
1040	0.1487
1041	0.1492
1042	0.1490
1043	0.1498
1044	0.1502
1045	0.1503
1046	0.1511
1047	0.1513
1048	0.1508
1049	0.1498
1050	0.1499
1051	0.1509
1052	0.1514
1053	0.1520
1054	0.1533
1055	0.1531
1056	0.1520
1057	0.1527
1058	0.1531
1059	0.1536
1060	0.1547
1061	0.1547
1062	0.1541
1063	0.1529
1064	0.1523
1065	0.1524
1066	0.1528
1067	0.1531
1068	0.1540
1069	0.1543
1070	0.1543
1071	0.1540
1072	0.1542
1073	0.1548
1074	0.1545
1075	0.1546
1076	0.1551
1077	0.1550
1078	0.1552
1079	0.1559
1080	0.1560
1081	0.1561
1082	0.1561
1083	0.1557
1084	0.1557
1085	0.1557
1086	0.1559
1087	0.1561
1088	0.1560
1089	0.1559
1090	0.1558
