Wvl	R
350	0.1389
351	0.1397
352	0.1293
353	0.1302
354	0.1315
355	0.1255
356	0.1240
357	0.1311
358	0.1352
359	0.1251
360	0.1186
361	0.1219
362	0.1296
363	0.1281
364	0.1247
365	0.1257
366	0.1309
367	0.1278
368	0.1284
369	0.1308
370	0.1297
371	0.1311
372	0.1320
373	0.1320
374	0.1331
375	0.1358
376	0.1380
377	0.1385
378	0.1392
379	0.1406
380	0.1418
381	0.1417
382	0.1423
383	0.1443
384	0.1473
385	0.1507
386	0.1520
387	0.1526
388	0.1539
389	0.1562
390	0.1572
391	0.1572
392	0.1577
393	0.1601
394	0.1623
395	0.1634
396	0.1648
397	0.1666
398	0.1676
399	0.1673
400	0.1692
401	0.1710
402	0.1725
403	0.1737
404	0.1749
405	0.1754
406	0.1755
407	0.1767
408	0.1781
409	0.1793
410	0.1802
411	0.1815
412	0.1823
413	0.1827
414	0.1838
415	0.1854
416	0.1866
417	0.1873
418	0.1886
419	0.1898
420	0.1908
421	0.1916
422	0.1929
423	0.1935
424	0.1939
425	0.1953
426	0.1968
427	0.1979
428	0.1987
429	0.1999
430	0.2006
431	0.2012
432	0.2023
433	0.2041
434	0.2057
435	0.2067
436	0.2078
437	0.2086
438	0.2096
439	0.2110
440	0.2120
441	0.2131
442	0.2142
443	0.2152
444	0.2161
445	0.2173
446	0.2188
447	0.2199
448	0.2211
449	0.2223
450	0.2234
451	0.2251
452	0.2267
453	0.2280
454	0.2290
455	0.2302
456	0.2315
457	0.2327
458	0.2339
459	0.2352
460	0.2364
461	0.2373
462	0.2383
463	0.2393
464	0.2404
465	0.2415
466	0.2426
467	0.2436
468	0.2442
469	0.2451
470	0.2462
471	0.2473
472	0.2479
473	0.2487
474	0.2495
475	0.2503
476	0.2513
477	0.2522
478	0.2532
479	0.2542
480	0.2552
481	0.2561
482	0.2569
483	0.2576
484	0.2585
485	0.2595
486	0.2607
487	0.2617
488	0.2625
489	0.2633
490	0.2642
491	0.2653
492	0.2663
493	0.2672
494	0.2683
495	0.2694
496	0.2704
497	0.2713
498	0.2724
499	0.2733
500	0.2742
501	0.2755
502	0.2766
503	0.2776
504	0.2786
505	0.2796
506	0.2806
507	0.2817
508	0.2827
509	0.2838
510	0.2849
511	0.2860
512	0.2870
513	0.2881
514	0.2892
515	0.2902
516	0.2912
517	0.2923
518	0.2935
519	0.2946
520	0.2955
521	0.2965
522	0.2976
523	0.2988
524	0.2999
525	0.3009
526	0.3020
527	0.3031
528	0.3042
529	0.3054
530	0.3064
531	0.3074
532	0.3085
533	0.3095
534	0.3106
535	0.3118
536	0.3129
537	0.3139
538	0.3150
539	0.3161
540	0.3173
541	0.3185
542	0.3197
543	0.3209
544	0.3220
545	0.3232
546	0.3244
547	0.3256
548	0.3269
549	0.3282
550	0.3294
551	0.3306
552	0.3319
553	0.3332
554	0.3345
555	0.3358
556	0.3371
557	0.3384
558	0.3397
559	0.3410
560	0.3423
561	0.3436
562	0.3449
563	0.3462
564	0.3475
565	0.3488
566	0.3501
567	0.3514
568	0.3527
569	0.3540
570	0.3552
571	0.3564
572	0.3577
573	0.3589
574	0.3601
575	0.3613
576	0.3624
577	0.3635
578	0.3646
579	0.3657
580	0.3668
581	0.3679
582	0.3689
583	0.3700
584	0.3710
585	0.3720
586	0.3731
587	0.3740
588	0.3749
589	0.3759
590	0.3768
591	0.3776
592	0.3785
593	0.3793
594	0.3802
595	0.3810
596	0.3819
597	0.3827
598	0.3835
599	0.3843
600	0.3850
601	0.3858
602	0.3865
603	0.3872
604	0.3878
605	0.3886
606	0.3893
607	0.3901
608	0.3908
609	0.3915
610	0.3922
611	0.3929
612	0.3936
613	0.3942
614	0.3948
615	0.3955
616	0.3962
617	0.3968
618	0.3975
619	0.3983
620	0.3990
621	0.3997
622	0.4004
623	0.4011
624	0.4018
625	0.4025
626	0.4032
627	0.4038
628	0.4044
629	0.4051
630	0.4058
631	0.4064
632	0.4071
633	0.4077
634	0.4084
635	0.4090
636	0.4097
637	0.4104
638	0.4111
639	0.4117
640	0.4124
641	0.4131
642	0.4137
643	0.4143
644	0.4150
645	0.4157
646	0.4163
647	0.4170
648	0.4176
649	0.4183
650	0.4189
651	0.4196
652	0.4202
653	0.4209
654	0.4215
655	0.4222
656	0.4229
657	0.4235
658	0.4242
659	0.4248
660	0.4254
661	0.4260
662	0.4266
663	0.4273
664	0.4279
665	0.4284
666	0.4290
667	0.4296
668	0.4302
669	0.4309
670	0.4316
671	0.4323
672	0.4329
673	0.4335
674	0.4342
675	0.4348
676	0.4354
677	0.4361
678	0.4368
679	0.4375
680	0.4381
681	0.4388
682	0.4394
683	0.4401
684	0.4408
685	0.4416
686	0.4423
687	0.4430
688	0.4437
689	0.4445
690	0.4453
691	0.4460
692	0.4467
693	0.4475
694	0.4482
695	0.4490
696	0.4497
697	0.4503
698	0.4510
699	0.4517
700	0.4524
701	0.4531
702	0.4538
703	0.4544
704	0.4550
705	0.4557
706	0.4564
707	0.4570
708	0.4576
709	0.4582
710	0.4588
711	0.4595
712	0.4601
713	0.4607
714	0.4614
715	0.4620
716	0.4626
717	0.4632
718	0.4638
719	0.4645
720	0.4651
721	0.4658
722	0.4665
723	0.4671
724	0.4677
725	0.4684
726	0.4690
727	0.4696
728	0.4702
729	0.4708
730	0.4714
731	0.4721
732	0.4727
733	0.4733
734	0.4738
735	0.4744
736	0.4751
737	0.4757
738	0.4763
739	0.4769
740	0.4775
741	0.4781
742	0.4787
743	0.4794
744	0.4799
745	0.4806
746	0.4812
747	0.4818
748	0.4824
749	0.4830
750	0.4837
751	0.4843
752	0.4849
753	0.4854
754	0.4860
755	0.4866
756	0.4872
757	0.4878
758	0.4883
759	0.4889
760	0.4894
761	0.4900
762	0.4906
763	0.4912
764	0.4917
765	0.4923
766	0.4928
767	0.4934
768	0.4940
769	0.4945
770	0.4951
771	0.4956
772	0.4962
773	0.4968
774	0.4973
775	0.4979
776	0.4984
777	0.4990
778	0.4995
779	0.5001
780	0.5006
781	0.5012
782	0.5017
783	0.5022
784	0.5026
785	0.5031
786	0.5036
787	0.5040
788	0.5044
789	0.5049
790	0.5054
791	0.5058
792	0.5062
793	0.5067
794	0.5071
795	0.5074
796	0.5078
797	0.5083
798	0.5088
799	0.5092
800	0.5096
801	0.5100
802	0.5104
803	0.5108
804	0.5112
805	0.5117
806	0.5121
807	0.5125
808	0.5129
809	0.5133
810	0.5137
811	0.5141
812	0.5144
813	0.5148
814	0.5152
815	0.5156
816	0.5159
817	0.5163
818	0.5167
819	0.5170
820	0.5173
821	0.5176
822	0.5180
823	0.5183
824	0.5185
825	0.5188
826	0.5190
827	0.5192
828	0.5194
829	0.5197
830	0.5200
831	0.5202
832	0.5204
833	0.5206
834	0.5207
835	0.5210
836	0.5212
837	0.5215
838	0.5217
839	0.5218
840	0.5220
841	0.5222
842	0.5226
843	0.5230
844	0.5234
845	0.5236
846	0.5238
847	0.5241
848	0.5244
849	0.5249
850	0.5253
