ID,Name,Refl_file,SMCg,Clay,Silt,Sand,L,eps,d,K,a,psi,Slope,Intercept
1,2AB-E1,hum15_001.csv,50,120,700,180,0.0258,0.55,0.0379,55.00,6.62,208.03,1.0655,0.0337
1,2AB-E1,hum15_002.csv,42,120,700,180,0.0242,0.51,0.0410,55.00,6.62,208.03,1.0655,0.0337
1,2AB-E1,hum15_003.csv,35,120,700,180,0.0257,0.51,0.0573,55.00,6.62,208.03,1.0655,0.0337
1,2AB-E1,hum15_004.csv,24,120,700,180,0.0236,0.50,0.0767,55.00,6.62,208.03,1.0655,0.0337
1,2AB-E1,hum15_005.csv,20,120,700,180,0.0147,0.48,0.0948,55.00,6.62,208.03,1.0655,0.0337
1,2AB-E1,hum15_006.csv,13,120,700,180,0.0024,0.62,0.0845,55.00,6.62,208.03,1.0655,0.0337
1,2AB-E1,hum15_007.csv,8,120,700,180,0.0093,0.03,0.0000,55.00,6.62,208.03,1.0655,0.0337
1,2AB-E1,hum15_008.csv,0,120,700,180,0.0000,0.00,0.0000,55.00,6.62,208.03,1.0655,0.0337
2,2C-E1,hum15_009.csv,50,500,200,300,0.0161,0.57,0.0167,55.00,7.00,358.27,1.0721,0.0312
2,2C-E1,hum15_010.csv,40,500,200,300,0.0142,0.54,0.0196,55.00,7.00,358.27,1.0721,0.0312
2,2C-E1,hum15_011.csv,30,500,200,300,0.0146,0.55,0.0305,55.00,7.00,358.27,1.0721,0.0312
2,2C-E1,hum15_012.csv,20,500,200,300,0.0030,1.00,0.0085,55.00,7.00,358.27,1.0721,0.0312
2,2C-E1,hum15_013.csv,15,500,200,300,0.0023,0.90,0.0166,55.00,7.00,358.27,1.0721,0.0312
2,2C-E1,hum15_014.csv,10,500,200,300,0.0058,0.36,0.0687,55.00,7.00,358.27,1.0721,0.0312
2,2C-E1,hum15_015.csv,7,500,200,300,0.0109,0.09,0.0000,55.00,7.00,358.27,1.0721,0.0312
2,2C-E1,hum15_016.csv,0,500,200,300,0.0000,0.00,0.0000,55.00,7.00,358.27,1.0721,0.0312
3,2U-E3,hum15_017.csv,60,220,260,520,0.0322,0.56,0.0148,66.00,4.71,166.87,1.1247,0.02
3,2U-E3,hum15_018.csv,52,220,260,520,0.0274,0.55,0.0265,66.00,4.71,166.87,1.1247,0.02
3,2U-E3,hum15_019.csv,43,220,260,520,0.0256,0.54,0.0303,66.00,4.71,166.87,1.1247,0.02
3,2U-E3,hum15_020.csv,35,220,260,520,0.0228,0.52,0.0419,66.00,4.71,166.87,1.1247,0.02
3,2U-E3,hum15_021.csv,28,220,260,520,0.0195,0.49,0.0499,66.00,4.71,166.87,1.1247,0.02
3,2U-E3,hum15_022.csv,21,220,260,520,0.0027,0.88,0.0120,66.00,4.71,166.87,1.1247,0.02
3,2U-E3,hum15_023.csv,15,220,260,520,0.0055,0.21,0.0000,66.00,4.71,166.87,1.1247,0.02
3,2U-E3,hum15_024.csv,0,220,260,520,0.0000,0.00,0.0000,66.00,4.71,166.87,1.1247,0.02
4,AA-E1,hum15_025.csv,41,160,540,300,0.0310,0.54,0.0463,33.85,4.37,850.89,1.15,0.027
4,AA-E1,hum15_026.csv,33,160,540,300,0.0072,0.94,0.0000,33.85,4.37,850.89,1.15,0.027
4,AA-E1,hum15_027.csv,27,160,540,300,0.0177,0.51,0.0596,33.85,4.37,850.89,1.15,0.027
4,AA-E1,hum15_028.csv,21,160,540,300,0.0027,0.88,0.0172,33.85,4.37,850.89,1.15,0.027
4,AA-E1,hum15_029.csv,15,160,540,300,0.0017,0.74,0.0000,33.85,4.37,850.89,1.15,0.027
4,AA-E1,hum15_030.csv,9,160,540,300,0.0056,0.10,0.0000,33.85,4.37,850.89,1.15,0.027
4,AA-E1,hum15_031.csv,6,160,540,300,0.0013,0.16,0.0000,33.85,4.37,850.89,1.15,0.027
4,AA-E1,hum15_032.csv,0,160,540,300,0.0000,0.00,0.0000,33.85,4.37,850.89,1.15,0.027
5,AA-E3,hum15_033.csv,39,180,640,180,0.0305,0.56,0.0522,42.90,4.14,191.58,1.1025,0.0289
5,AA-E3,hum15_034.csv,32,180,640,180,0.0259,0.54,0.0649,42.90,4.14,191.58,1.1025,0.0289
5,AA-E3,hum15_035.csv,24,180,640,180,0.0180,0.51,0.0766,42.90,4.14,191.58,1.1025,0.0289
5,AA-E3,hum15_036.csv,16,180,640,180,0.0020,0.77,0.0412,42.90,4.14,191.58,1.1025,0.0289
5,AA-E3,hum15_037.csv,10,180,640,180,0.0035,0.13,0.0000,42.90,4.14,191.58,1.1025,0.0289
5,AA-E3,hum15_038.csv,7,180,640,180,0.0021,0.06,0.0000,42.90,4.14,191.58,1.1025,0.0289
5,AA-E3,hum15_039.csv,4,180,640,180,0.0008,0.09,0.0000,42.90,4.14,191.58,1.1025,0.0289
5,AA-E3,hum15_040.csv,0,180,640,180,0.0000,0.00,0.0000,42.90,4.14,191.58,1.1025,0.0289
6,AB-E1,hum15_041.csv,41,120,696,183,0.0279,0.55,0.0495,45.10,3.27,175.42,1.0608,0.0335
6,AB-E1,hum15_042.csv,33,120,696,183,0.0273,0.52,0.0579,45.10,3.27,175.42,1.0608,0.0335
6,AB-E1,hum15_043.csv,27,120,696,183,0.0213,0.49,0.0725,45.10,3.27,175.42,1.0608,0.0335
6,AB-E1,hum15_044.csv,20,120,696,183,0.0018,1.00,0.0496,45.10,3.27,175.42,1.0608,0.0335
6,AB-E1,hum15_045.csv,13,120,696,183,0.0027,0.38,0.0869,45.10,3.27,175.42,1.0608,0.0335
6,AB-E1,hum15_046.csv,9,120,696,183,0.0091,0.02,0.0000,45.10,3.27,175.42,1.0608,0.0335
6,AB-E1,hum15_047.csv,6,120,696,183,0.0033,0.02,0.0194,45.10,3.27,175.42,1.0608,0.0335
6,AB-E1,hum15_048.csv,0,120,696,183,0.0000,0.00,0.0000,45.10,3.27,175.42,1.0608,0.0335
7,AC-E1,hum15_049.csv,41,170,670,160,0.0264,0.54,0.0514,45.10,3.50,195.64,1.108,0.0284
7,AC-E1,hum15_050.csv,33,170,670,160,0.0248,0.52,0.0637,45.10,3.50,195.64,1.108,0.0284
7,AC-E1,hum15_051.csv,26,170,670,160,0.0183,0.49,0.0798,45.10,3.50,195.64,1.108,0.0284
7,AC-E1,hum15_052.csv,19,170,670,160,0.0016,0.91,0.0129,45.10,3.50,195.64,1.108,0.0284
7,AC-E1,hum15_053.csv,12,170,670,160,0.0035,0.20,0.0000,45.10,3.50,195.64,1.108,0.0284
7,AC-E1,hum15_054.csv,8,170,670,160,0.0108,0.02,0.0000,45.10,3.50,195.64,1.108,0.0284
7,AC-E1,hum15_055.csv,6,170,670,160,0.0000,0.00,0.0000,45.10,3.50,195.64,1.108,0.0284
7,AC-E1,hum15_056.csv,0,170,670,160,0.0000,0.00,0.0000,45.10,3.50,195.64,1.108,0.0284
8,AC-E2,hum15_057.csv,49,160,480,360,0.0251,0.54,0.0529,53.90,5.29,232.33,1.104,0.0324
8,AC-E2,hum15_058.csv,40,160,480,360,0.0243,0.52,0.0654,53.90,5.29,232.33,1.104,0.0324
8,AC-E2,hum15_059.csv,28,160,480,360,0.0169,0.51,0.0799,53.90,5.29,232.33,1.104,0.0324
8,AC-E2,hum15_060.csv,18,160,480,360,0.0015,0.87,0.0001,53.90,5.29,232.33,1.104,0.0324
8,AC-E2,hum15_061.csv,11,160,480,360,0.0091,0.04,0.0000,53.90,5.29,232.33,1.104,0.0324
8,AC-E2,hum15_062.csv,6,160,480,360,0.0000,0.00,0.0000,53.90,5.29,232.33,1.104,0.0324
8,AC-E2,hum15_063.csv,4,160,480,360,0.0044,0.01,0.0000,53.90,5.29,232.33,1.104,0.0324
8,AC-E2,hum15_064.csv,2,160,480,360,0.0000,0.00,0.0000,53.90,5.29,232.33,1.104,0.0324
9,AD2-E1,hum15_065.csv,47,140,730,140,0.0262,0.56,0.0454,42.74,6.13,696.23,1.0534,0.0265
9,AD2-E1,hum15_066.csv,39,140,730,140,0.0277,0.53,0.0673,42.74,6.13,696.23,1.0534,0.0265
9,AD2-E1,hum15_067.csv,30,140,730,140,0.0041,1.00,0.0786,42.74,6.13,696.23,1.0534,0.0265
9,AD2-E1,hum15_068.csv,21,140,730,140,0.0023,1.00,0.0760,42.74,6.13,696.23,1.0534,0.0265
9,AD2-E1,hum15_069.csv,13,140,730,140,0.0018,0.73,0.0747,42.74,6.13,696.23,1.0534,0.0265
9,AD2-E1,hum15_070.csv,7,140,730,140,0.0034,0.06,0.0000,42.74,6.13,696.23,1.0534,0.0265
9,AD2-E1,hum15_071.csv,3,140,730,140,0.0002,0.03,0.0000,42.74,6.13,696.23,1.0534,0.0265
9,AD2-E1,hum15_072.csv,1,140,730,140,0.0000,0.00,0.0000,42.74,6.13,696.23,1.0534,0.0265
10,AD2-E3,hum15_073.csv,43,160,680,160,0.0303,0.56,0.0462,47.30,4.75,173.27,1.0617,0.0274
10,AD2-E3,hum15_074.csv,36,160,680,160,0.0306,0.53,0.0558,47.30,4.75,173.27,1.0617,0.0274
10,AD2-E3,hum15_075.csv,28,160,680,160,0.0282,0.49,0.0641,47.30,4.75,173.27,1.0617,0.0274
10,AD2-E3,hum15_076.csv,21,160,680,160,0.0170,0.44,0.0878,47.30,4.75,173.27,1.0617,0.0274
10,AD2-E3,hum15_077.csv,15,160,680,160,0.0011,0.98,0.0000,47.30,4.75,173.27,1.0617,0.0274
10,AD2-E3,hum15_078.csv,8,160,680,160,0.0020,0.15,0.0000,47.30,4.75,173.27,1.0617,0.0274
10,AD2-E3,hum15_079.csv,4,160,680,160,0.0004,0.10,0.0000,47.30,4.75,173.27,1.0617,0.0274
10,AD2-E3,hum15_080.csv,2,160,680,160,0.0000,0.00,0.0000,47.30,4.75,173.27,1.0617,0.0274
11,AH-E3,hum15_081.csv,47,100,520,380,0.0293,0.56,0.0447,51.70,4.87,184.28,1.0598,0.0325
11,AH-E3,hum15_082.csv,39,100,520,380,0.0280,0.54,0.0583,51.70,4.87,184.28,1.0598,0.0325
