Wvl	R
362	-0.1076
363	-0.1110
364	-0.1144
365	-0.1178
366	-0.1212
367	-0.1247
368	-0.1281
369	-0.1315
370	-0.1349
371	-0.1233
372	-0.1117
373	-0.1001
374	-0.0885
375	-0.0769
376	-0.0653
377	-0.0537
378	-0.0421
379	-0.0377
380	-0.0334
381	-0.0290
382	-0.0247
383	-0.0203
384	-0.0160
385	-0.0116
386	-0.0073
387	-0.0074
388	-0.0076
389	-0.0078
390	-0.0079
391	-0.0081
392	-0.0083
393	-0.0084
394	-0.0086
395	-0.0043
396	-0.0000
397	0.0043
398	0.0086
399	0.0129
400	0.0172
401	0.0215
402	0.0257
403	0.0226
404	0.0194
405	0.0163
406	0.0131
407	0.0100
408	0.0068
409	0.0037
410	0.0005
411	0.0053
412	0.0100
413	0.0148
414	0.0195
415	0.0243
416	0.0290
417	0.0338
418	0.0385
419	0.0386
420	0.0386
421	0.0386
422	0.0386
423	0.0386
424	0.0386
425	0.0387
426	0.0387
427	0.0406
428	0.0426
429	0.0445
430	0.0465
431	0.0484
432	0.0504
433	0.0523
434	0.0543
435	0.0547
436	0.0552
437	0.0556
438	0.0561
439	0.0565
440	0.0570
441	0.0574
442	0.0578
443	0.0583
444	0.0588
445	0.0592
446	0.0597
447	0.0602
448	0.0606
449	0.0611
450	0.0615
451	0.0618
452	0.0621
453	0.0623
454	0.0626
455	0.0629
456	0.0631
457	0.0634
458	0.0637
459	0.0640
460	0.0644
461	0.0648
462	0.0652
463	0.0656
464	0.0659
465	0.0663
466	0.0667
467	0.0675
468	0.0682
469	0.0689
470	0.0697
471	0.0704
472	0.0712
473	0.0719
474	0.0727
475	0.0725
476	0.0723
477	0.0722
478	0.0720
479	0.0718
480	0.0717
481	0.0715
482	0.0713
483	0.0718
484	0.0723
485	0.0728
486	0.0733
487	0.0738
488	0.0743
489	0.0748
490	0.0752
491	0.0769
492	0.0785
493	0.0801
494	0.0818
495	0.0834
496	0.0850
497	0.0867
498	0.0883
499	0.0892
500	0.0902
501	0.0911
502	0.0920
503	0.0930
504	0.0939
505	0.0948
506	0.0957
507	0.0964
508	0.0971
509	0.0978
510	0.0985
511	0.0992
512	0.0999
513	0.1006
514	0.1013
515	0.1024
516	0.1034
517	0.1045
518	0.1055
519	0.1065
520	0.1076
521	0.1086
522	0.1097
523	0.1108
524	0.1120
525	0.1131
526	0.1142
527	0.1154
528	0.1165
529	0.1177
530	0.1188
531	0.1203
532	0.1217
533	0.1231
534	0.1246
535	0.1260
536	0.1275
537	0.1289
538	0.1304
539	0.1314
540	0.1324
541	0.1335
542	0.1345
543	0.1355
544	0.1365
545	0.1376
546	0.1386
547	0.1397
548	0.1409
549	0.1420
550	0.1431
551	0.1443
552	0.1454
553	0.1465
554	0.1477
555	0.1483
556	0.1490
557	0.1497
558	0.1503
559	0.1510
560	0.1517
561	0.1524
562	0.1530
563	0.1543
564	0.1556
565	0.1569
566	0.1582
567	0.1595
568	0.1608
569	0.1621
570	0.1634
571	0.1640
572	0.1647
573	0.1653
574	0.1659
575	0.1665
576	0.1671
577	0.1677
578	0.1683
579	0.1687
580	0.1691
581	0.1696
582	0.1700
583	0.1704
584	0.1708
585	0.1713
586	0.1717
587	0.1722
588	0.1727
589	0.1731
590	0.1736
591	0.1741
592	0.1746
593	0.1751
594	0.1756
595	0.1761
596	0.1767
597	0.1773
598	0.1778
599	0.1784
600	0.1789
601	0.1795
602	0.1800
603	0.1806
604	0.1812
605	0.1818
606	0.1824
607	0.1830
608	0.1836
609	0.1842
610	0.1848
611	0.1850
612	0.1853
613	0.1855
614	0.1858
615	0.1860
616	0.1863
617	0.1865
618	0.1868
619	0.1874
620	0.1880
621	0.1886
622	0.1892
623	0.1898
624	0.1904
625	0.1910
626	0.1916
627	0.1917
628	0.1919
629	0.1921
630	0.1923
631	0.1925
632	0.1927
633	0.1928
634	0.1930
635	0.1934
636	0.1938
637	0.1942
638	0.1946
639	0.1949
640	0.1953
641	0.1957
642	0.1961
643	0.1969
644	0.1976
645	0.1984
646	0.1991
647	0.1999
648	0.2007
649	0.2014
650	0.2022
651	0.2027
652	0.2031
653	0.2036
654	0.2041
655	0.2046
656	0.2050
657	0.2055
658	0.2060
659	0.2061
660	0.2062
661	0.2063
662	0.2063
663	0.2064
664	0.2065
665	0.2066
666	0.2067
667	0.2074
668	0.2080
669	0.2087
670	0.2094
671	0.2100
672	0.2107
673	0.2114
674	0.2120
675	0.2126
676	0.2133
677	0.2139
678	0.2145
679	0.2151
680	0.2157
681	0.2164
682	0.2170
683	0.2177
684	0.2184
685	0.2191
686	0.2198
687	0.2206
688	0.2213
689	0.2220
690	0.2227
691	0.2228
692	0.2230
693	0.2231
694	0.2233
695	0.2234
696	0.2235
697	0.2237
698	0.2238
699	0.2245
700	0.2252
701	0.2259
702	0.2266
703	0.2274
704	0.2281
705	0.2288
706	0.2295
707	0.2300
708	0.2304
709	0.2309
710	0.2314
711	0.2319
712	0.2324
713	0.2328
714	0.2333
715	0.2338
716	0.2342
717	0.2347
718	0.2352
719	0.2356
720	0.2361
721	0.2366
722	0.2370
723	0.2377
724	0.2383
725	0.2389
726	0.2395
727	0.2402
728	0.2408
729	0.2414
730	0.2421
731	0.2424
732	0.2427
733	0.2430
734	0.2434
735	0.2437
736	0.2440
737	0.2443
738	0.2447
739	0.2451
740	0.2455
741	0.2459
742	0.2463
743	0.2467
744	0.2471
745	0.2475
746	0.2479
747	0.2483
748	0.2487
749	0.2491
750	0.2495
751	0.2500
752	0.2504
753	0.2508
754	0.2512
755	0.2518
756	0.2523
757	0.2529
758	0.2534
759	0.2540
760	0.2545
761	0.2551
762	0.2556
763	0.2559
764	0.2562
765	0.2565
766	0.2569
767	0.2572
768	0.2575
769	0.2578
770	0.2581
771	0.2583
772	0.2586
773	0.2588
774	0.2590
775	0.2592
776	0.2595
777	0.2597
778	0.2599
779	0.2602
780	0.2605
781	0.2607
782	0.2610
783	0.2613
784	0.2616
785	0.2618
786	0.2621
787	0.2622
788	0.2624
789	0.2625
790	0.2627
791	0.2628
792	0.2630
793	0.2631
794	0.2632
795	0.2635
796	0.2637
797	0.2639
798	0.2641
799	0.2643
800	0.2646
801	0.2648
802	0.2650
803	0.2650
804	0.2650
805	0.2651
806	0.2651
807	0.2651
808	0.2651
809	0.2652
810	0.2652
811	0.2653
812	0.2653
813	0.2654
814	0.2655
815	0.2655
816	0.2656
817	0.2657
818	0.2657
819	0.2657
820	0.2656
821	0.2656
822	0.2655
823	0.2654
824	0.2654
825	0.2653
826	0.2652
827	0.2655
828	0.2658
829	0.2660
830	0.2663
831	0.2666
832	0.2668
833	0.2671
834	0.2673
835	0.2674
836	0.2675
837	0.2675
838	0.2676
839	0.2677
840	0.2677
841	0.2678
842	0.2679
843	0.2678
844	0.2677
