ID,Name,Origin,Refl_file,Specular,SMCg,Clay,Fine_silt,Coarse_silt,Silt,Fine_sand,Coarse_sand,Sand,Fine_dirt,Gravels,Rocks,L,eps,d,K,a,psi,Slope,Intercept
1,11Belvis,Belvis (Aude) ,les08_001.csv,1,78,287,377,106,483,77,153,230,920,3.66,76.1,0.0616,0.62,0.0108,85.80,1.52,66.06,1.0748,0.0213
1,11Belvis,Belvis (Aude) ,les08_002.csv,0,66,287,377,106,483,77,153,230,920,3.66,76.1,0.0423,0.53,0.0309,85.80,1.52,66.06,1.0748,0.0213
1,11Belvis,Belvis (Aude) ,les08_003.csv,0,53,287,377,106,483,77,153,230,920,3.66,76.1,0.0050,0.97,0.0456,85.80,1.52,66.06,1.0748,0.0213
1,11Belvis,Belvis (Aude) ,les08_004.csv,0,41,287,377,106,483,77,153,230,920,3.66,76.1,0.0048,0.94,0.0441,85.80,1.52,66.06,1.0748,0.0213
1,11Belvis,Belvis (Aude) ,les08_005.csv,0,30,287,377,106,483,77,153,230,920,3.66,76.1,0.0167,0.50,0.0789,85.80,1.52,66.06,1.0748,0.0213
1,11Belvis,Belvis (Aude) ,les08_006.csv,0,0,287,377,106,483,77,153,230,920,3.66,76.1,0.0000,0.00,0.0000,85.80,1.52,66.06,1.0748,0.0213
2,11Malves,Malves (Aude),les08_007.csv,1,40,109,126,156,282,338,271,609,925,2.73,72.2,0.0664,0.63,0.0066,40.36,8.52,303.52,1.0981,0.0218
2,11Malves,Malves (Aude),les08_008.csv,0,31,109,126,156,282,338,271,609,925,2.73,72.2,0.0192,0.54,0.0465,40.36,8.52,303.52,1.0981,0.0218
2,11Malves,Malves (Aude),les08_009.csv,0,18,109,126,156,282,338,271,609,925,2.73,72.2,0.0146,0.47,0.0633,40.36,8.52,303.52,1.0981,0.0218
2,11Malves,Malves (Aude),les08_010.csv,0,7,109,126,156,282,338,271,609,925,2.73,72.2,0.0056,0.19,0.0261,40.36,8.52,303.52,1.0981,0.0218
2,11Malves,Malves (Aude),les08_011.csv,0,0,109,126,156,282,338,271,609,925,2.73,72.2,0.0000,0.00,0.0000,40.36,8.52,303.52,1.0981,0.0218
3,12Vabres,Vabres (Gard),les08_012.csv,0,47,268,187,83,270,143,319,462,885,6.74,108,0.0065,0.92,0.0000,51.70,5.88,609.89,1.1684,0.0100
3,12Vabres,Vabres (Gard),les08_013.csv,0,38,268,187,83,270,143,319,462,885,6.74,108,0.0048,0.95,0.0000,51.70,5.88,609.89,1.1684,0.0100
3,12Vabres,Vabres (Gard),les08_014.csv,0,29,268,187,83,270,143,319,462,885,6.74,108,0.0037,0.98,0.0000,51.70,5.88,609.89,1.1684,0.0100
3,12Vabres,Vabres (Gard),les08_015.csv,0,21,268,187,83,270,143,319,462,885,6.74,108,0.0026,0.93,0.0000,51.70,5.88,609.89,1.1684,0.0100
3,12Vabres,Vabres (Gard),les08_016.csv,0,15,268,187,83,270,143,319,462,885,6.74,108,0.0022,0.51,0.0000,51.70,5.88,609.89,1.1684,0.0100
3,12Vabres,Vabres (Gard),les08_017.csv,0,0,268,187,83,270,143,319,462,885,6.74,108,0.0000,0.00,0.0000,51.70,5.88,609.89,1.1684,0.0100
