Wvl	R
350	0.0185
351	0.0318
352	0.0318
353	0.0315
354	0.0312
355	0.0289
356	0.0300
357	0.0302
358	0.0244
359	0.0227
360	0.0235
361	0.0263
362	0.0244
363	0.0240
364	0.0250
365	0.0286
366	0.0270
367	0.0244
368	0.0254
369	0.0267
370	0.0274
371	0.0272
372	0.0258
373	0.0250
374	0.0247
375	0.0244
376	0.0248
377	0.0255
378	0.0266
379	0.0272
380	0.0269
381	0.0255
382	0.0264
383	0.0267
384	0.0265
385	0.0276
386	0.0271
387	0.0261
388	0.0264
389	0.0262
390	0.0266
391	0.0282
392	0.0277
393	0.0273
394	0.0273
395	0.0283
396	0.0281
397	0.0274
398	0.0281
399	0.0283
400	0.0284
401	0.0287
402	0.0278
403	0.0274
404	0.0277
405	0.0283
406	0.0286
407	0.0288
408	0.0289
409	0.0290
410	0.0288
411	0.0282
412	0.0289
413	0.0294
414	0.0297
415	0.0297
416	0.0297
417	0.0296
418	0.0295
419	0.0298
420	0.0299
421	0.0293
422	0.0294
423	0.0298
424	0.0303
425	0.0301
426	0.0301
427	0.0303
428	0.0304
429	0.0304
430	0.0303
431	0.0304
432	0.0305
433	0.0308
434	0.0313
435	0.0315
436	0.0314
437	0.0314
438	0.0318
439	0.0320
440	0.0321
441	0.0320
442	0.0321
443	0.0322
444	0.0324
445	0.0325
446	0.0326
447	0.0326
448	0.0328
449	0.0328
450	0.0328
451	0.0330
452	0.0331
453	0.0331
454	0.0331
455	0.0334
456	0.0334
457	0.0331
458	0.0334
459	0.0336
460	0.0337
461	0.0336
462	0.0336
463	0.0336
464	0.0336
465	0.0338
466	0.0339
467	0.0340
468	0.0340
469	0.0341
470	0.0341
471	0.0341
472	0.0341
473	0.0342
474	0.0344
475	0.0344
476	0.0345
477	0.0347
478	0.0347
479	0.0348
480	0.0348
481	0.0349
482	0.0351
483	0.0354
484	0.0353
485	0.0353
486	0.0352
487	0.0352
488	0.0355
489	0.0358
490	0.0360
491	0.0361
492	0.0362
493	0.0363
494	0.0365
495	0.0365
496	0.0366
497	0.0369
498	0.0371
499	0.0372
500	0.0374
501	0.0377
502	0.0377
503	0.0378
504	0.0382
505	0.0383
506	0.0384
507	0.0385
508	0.0387
509	0.0388
510	0.0390
511	0.0392
512	0.0394
513	0.0395
514	0.0397
515	0.0400
516	0.0402
517	0.0403
518	0.0403
519	0.0405
520	0.0407
521	0.0408
522	0.0410
523	0.0412
524	0.0413
525	0.0417
526	0.0419
527	0.0418
528	0.0422
529	0.0425
530	0.0428
531	0.0427
532	0.0429
533	0.0430
534	0.0431
535	0.0433
536	0.0435
537	0.0438
538	0.0440
539	0.0442
540	0.0443
541	0.0446
542	0.0448
543	0.0450
544	0.0451
545	0.0452
546	0.0453
547	0.0456
548	0.0458
549	0.0460
550	0.0461
551	0.0464
552	0.0466
553	0.0467
554	0.0469
555	0.0470
556	0.0471
557	0.0474
558	0.0475
559	0.0477
560	0.0478
561	0.0480
562	0.0482
563	0.0484
564	0.0485
565	0.0486
566	0.0488
567	0.0489
568	0.0491
569	0.0493
570	0.0494
571	0.0495
572	0.0497
573	0.0499
574	0.0500
575	0.0502
576	0.0503
577	0.0504
578	0.0506
579	0.0508
580	0.0509
581	0.0511
582	0.0512
583	0.0513
584	0.0515
585	0.0517
586	0.0518
587	0.0519
588	0.0522
589	0.0523
590	0.0524
591	0.0527
592	0.0528
593	0.0530
594	0.0531
595	0.0532
596	0.0533
