Wvl	R
350	0.0541
351	0.0530
352	0.0519
353	0.0507
354	0.0496
355	0.0484
356	0.0473
357	0.0462
358	0.0450
359	0.0439
360	0.0428
361	0.0431
362	0.0435
363	0.0439
364	0.0442
365	0.0446
366	0.0450
367	0.0453
368	0.0457
369	0.0461
370	0.0464
371	0.0465
372	0.0465
373	0.0465
374	0.0466
375	0.0466
376	0.0466
377	0.0467
378	0.0467
379	0.0467
380	0.0467
381	0.0470
382	0.0472
383	0.0474
384	0.0476
385	0.0478
386	0.0480
387	0.0482
388	0.0484
389	0.0486
390	0.0488
391	0.0487
392	0.0485
393	0.0484
394	0.0482
395	0.0481
396	0.0480
397	0.0478
398	0.0477
399	0.0475
400	0.0474
401	0.0473
402	0.0472
403	0.0471
404	0.0470
405	0.0469
406	0.0468
407	0.0467
408	0.0466
409	0.0466
410	0.0465
411	0.0468
412	0.0471
413	0.0474
414	0.0478
415	0.0481
416	0.0484
417	0.0487
418	0.0490
419	0.0494
420	0.0497
421	0.0498
422	0.0499
423	0.0500
424	0.0501
425	0.0502
426	0.0503
427	0.0504
428	0.0505
429	0.0506
430	0.0507
431	0.0508
432	0.0510
433	0.0511
434	0.0512
435	0.0513
436	0.0514
437	0.0515
438	0.0516
439	0.0517
440	0.0518
441	0.0520
442	0.0522
443	0.0524
444	0.0526
445	0.0528
446	0.0530
447	0.0532
448	0.0534
449	0.0537
450	0.0539
451	0.0539
452	0.0539
453	0.0540
454	0.0540
455	0.0540
456	0.0541
457	0.0541
458	0.0541
459	0.0542
460	0.0542
461	0.0544
462	0.0545
463	0.0546
464	0.0548
465	0.0549
466	0.0551
467	0.0552
468	0.0553
469	0.0555
470	0.0556
471	0.0558
472	0.0559
473	0.0561
474	0.0562
475	0.0564
476	0.0565
477	0.0567
478	0.0568
479	0.0569
480	0.0571
481	0.0572
482	0.0574
483	0.0575
484	0.0576
485	0.0578
486	0.0579
487	0.0580
488	0.0582
489	0.0583
490	0.0584
491	0.0586
492	0.0588
493	0.0590
494	0.0592
495	0.0594
496	0.0596
497	0.0598
498	0.0600
499	0.0602
500	0.0604
501	0.0605
502	0.0607
503	0.0608
504	0.0609
505	0.0611
506	0.0612
507	0.0614
508	0.0615
509	0.0617
510	0.0618
511	0.0619
512	0.0621
513	0.0622
514	0.0624
515	0.0625
516	0.0627
517	0.0628
518	0.0629
519	0.0631
520	0.0632
521	0.0634
522	0.0636
523	0.0638
524	0.0640
525	0.0642
526	0.0644
527	0.0646
528	0.0648
529	0.0650
530	0.0652
531	0.0654
532	0.0656
533	0.0658
534	0.0660
535	0.0662
536	0.0664
537	0.0666
538	0.0668
539	0.0670
540	0.0672
541	0.0675
542	0.0677
543	0.0680
544	0.0682
545	0.0684
546	0.0687
547	0.0689
548	0.0692
549	0.0694
550	0.0697
551	0.0699
552	0.0701
553	0.0704
554	0.0706
555	0.0709
556	0.0711
557	0.0713
558	0.0716
559	0.0718
560	0.0721
561	0.0723
562	0.0726
563	0.0728
564	0.0731
565	0.0733
566	0.0736
567	0.0739
568	0.0741
569	0.0744
570	0.0746
571	0.0749
572	0.0752
573	0.0755
574	0.0758
575	0.0761
576	0.0764
577	0.0767
578	0.0770
579	0.0773
580	0.0776
581	0.0779
582	0.0782
583	0.0784
584	0.0787
585	0.0790
586	0.0793
587	0.0795
588	0.0798
589	0.0801
590	0.0804
591	0.0806
592	0.0808
593	0.0810
594	0.0812
595	0.0815
596	0.0817
597	0.0819
598	0.0821
599	0.0823
600	0.0826
601	0.0828
602	0.0830
603	0.0833
604	0.0835
605	0.0838
606	0.0840
607	0.0842
608	0.0845
609	0.0847
610	0.0850
611	0.0852
612	0.0854
613	0.0856
614	0.0857
615	0.0859
616	0.0861
617	0.0863
618	0.0865
619	0.0867
620	0.0869
621	0.0872
622	0.0874
623	0.0877
624	0.0879
625	0.0882
626	0.0885
627	0.0887
628	0.0890
629	0.0892
630	0.0895
631	0.0898
632	0.0901
633	0.0904
634	0.0907
635	0.0910
636	0.0913
637	0.0917
638	0.0920
639	0.0923
640	0.0926
641	0.0929
642	0.0933
643	0.0936
644	0.0939
645	0.0943
646	0.0946
647	0.0950
648	0.0953
649	0.0957
650	0.0960
651	0.0963
652	0.0966
653	0.0969
654	0.0973
655	0.0976
656	0.0979
657	0.0982
658	0.0985
659	0.0988
660	0.0991
661	0.0995
662	0.0998
663	0.1001
664	0.1005
665	0.1008
666	0.1011
667	0.1015
668	0.1018
669	0.1022
670	0.1025
671	0.1029
672	0.1032
673	0.1036
674	0.1040
675	0.1043
676	0.1047
677	0.1051
678	0.1054
679	0.1058
680	0.1062
681	0.1066
682	0.1070
683	0.1074
684	0.1078
685	0.1082
686	0.1086
687	0.1090
688	0.1094
689	0.1099
690	0.1103
691	0.1107
692	0.1111
693	0.1115
