Wvl	R
350	0.0265
351	0.0276
352	0.0278
353	0.0274
354	0.0277
355	0.0220
356	0.0201
357	0.0232
358	0.0258
359	0.0225
360	0.0217
361	0.0245
362	0.0247
363	0.0290
364	0.0312
365	0.0290
366	0.0270
367	0.0266
368	0.0266
369	0.0266
370	0.0294
371	0.0287
372	0.0282
373	0.0302
374	0.0256
375	0.0244
376	0.0262
377	0.0273
378	0.0294
379	0.0310
380	0.0308
381	0.0292
382	0.0302
383	0.0311
384	0.0315
385	0.0329
386	0.0326
387	0.0324
388	0.0327
389	0.0319
390	0.0312
391	0.0300
392	0.0289
393	0.0314
394	0.0327
395	0.0332
396	0.0341
397	0.0342
398	0.0335
399	0.0330
400	0.0336
401	0.0344
402	0.0347
403	0.0345
404	0.0345
405	0.0347
406	0.0347
407	0.0348
408	0.0357
409	0.0363
410	0.0365
411	0.0363
412	0.0351
413	0.0348
414	0.0359
415	0.0377
416	0.0387
417	0.0386
418	0.0382
419	0.0381
420	0.0383
421	0.0386
422	0.0387
423	0.0384
424	0.0394
425	0.0403
426	0.0405
427	0.0415
428	0.0412
429	0.0411
430	0.0424
431	0.0428
432	0.0433
433	0.0437
434	0.0432
435	0.0439
436	0.0445
437	0.0447
438	0.0451
439	0.0456
440	0.0460
441	0.0463
442	0.0473
443	0.0473
444	0.0471
445	0.0479
446	0.0483
447	0.0488
448	0.0493
449	0.0491
450	0.0496
451	0.0498
452	0.0496
453	0.0502
454	0.0503
455	0.0505
456	0.0510
457	0.0518
458	0.0521
459	0.0520
460	0.0521
461	0.0520
462	0.0524
463	0.0529
464	0.0527
465	0.0530
466	0.0532
467	0.0531
468	0.0537
469	0.0537
470	0.0536
471	0.0539
472	0.0540
473	0.0544
474	0.0547
475	0.0545
476	0.0549
477	0.0551
478	0.0550
479	0.0553
480	0.0558
481	0.0561
482	0.0562
483	0.0567
484	0.0572
485	0.0575
486	0.0576
487	0.0580
488	0.0584
489	0.0587
490	0.0591
491	0.0595
492	0.0598
493	0.0600
494	0.0607
495	0.0612
496	0.0615
497	0.0619
498	0.0620
499	0.0624
500	0.0632
501	0.0638
502	0.0641
503	0.0645
504	0.0652
505	0.0661
506	0.0665
507	0.0667
508	0.0670
509	0.0677
510	0.0682
511	0.0685
512	0.0691
513	0.0695
514	0.0700
515	0.0705
516	0.0710
517	0.0716
518	0.0723
519	0.0727
520	0.0730
521	0.0735
522	0.0743
523	0.0748
524	0.0753
525	0.0760
526	0.0767
527	0.0774
528	0.0778
529	0.0782
530	0.0788
531	0.0796
532	0.0803
533	0.0809
534	0.0815
535	0.0822
536	0.0829
537	0.0834
538	0.0840
539	0.0847
540	0.0854
541	0.0861
542	0.0868
543	0.0875
544	0.0882
545	0.0887
546	0.0895
547	0.0904
548	0.0911
549	0.0919
550	0.0926
551	0.0933
552	0.0941
553	0.0949
554	0.0957
555	0.0964
556	0.0970
557	0.0977
558	0.0985
559	0.0994
560	0.1001
561	0.1008
562	0.1016
563	0.1023
564	0.1029
565	0.1035
566	0.1041
567	0.1048
568	0.1054
569	0.1061
570	0.1067
571	0.1073
572	0.1079
573	0.1084
574	0.1089
575	0.1094
576	0.1099
577	0.1103
578	0.1109
579	0.1113
580	0.1117
581	0.1122
582	0.1126
583	0.1131
584	0.1137
585	0.1143
586	0.1146
587	0.1150
588	0.1156
589	0.1160
590	0.1163
591	0.1168
592	0.1173
593	0.1176
594	0.1180
595	0.1183
596	0.1187
597	0.1190
598	0.1193
599	0.1196
600	0.1199
601	0.1203
602	0.1207
603	0.1210
604	0.1214
605	0.1217
606	0.1220
607	0.1223
608	0.1226
609	0.1230
610	0.1235
611	0.1240
612	0.1243
613	0.1245
614	0.1249
615	0.1252
616	0.1255
617	0.1259
618	0.1264
619	0.1267
620	0.1270
621	0.1272
622	0.1276
623	0.1279
624	0.1281
625	0.1285
626	0.1287
627	0.1290
628	0.1294
629	0.1298
630	0.1302
631	0.1305
632	0.1309
633	0.1311
634	0.1313
635	0.1316
636	0.1320
637	0.1324
638	0.1327
639	0.1331
640	0.1334
641	0.1338
642	0.1342
643	0.1346
644	0.1349
645	0.1352
646	0.1356
647	0.1360
648	0.1363
649	0.1367
650	0.1370
651	0.1374
652	0.1377
653	0.1380
654	0.1384
655	0.1388
656	0.1393
657	0.1396
658	0.1399
659	0.1402
660	0.1406
661	0.1411
662	0.1414
663	0.1417
664	0.1421
665	0.1426
666	0.1430
667	0.1433
668	0.1437
669	0.1442
670	0.1446
671	0.1449
672	0.1452
673	0.1456
674	0.1461
675	0.1465
676	0.1468
677	0.1471
678	0.1475
679	0.1479
680	0.1482
681	0.1486
682	0.1491
683	0.1496
684	0.1499
685	0.1503
686	0.1506
687	0.1510
688	0.1512
689	0.1515
690	0.1519
691	0.1525
692	0.1528
693	0.1531
694	0.1534
695	0.1538
696	0.1541
697	0.1545
698	0.1549
699	0.1553
700	0.1557
701	0.1560
702	0.1563
703	0.1565
704	0.1569
705	0.1573
706	0.1576
707	0.1579
708	0.1584
709	0.1587
710	0.1589
711	0.1592
712	0.1596
713	0.1599
714	0.1602
715	0.1605
716	0.1609
717	0.1612
718	0.1615
719	0.1618
720	0.1622
721	0.1625
722	0.1628
723	0.1631
724	0.1634
725	0.1637
726	0.1640
727	0.1643
728	0.1647
729	0.1650
730	0.1653
731	0.1656
732	0.1659
733	0.1662
734	0.1665
735	0.1668
736	0.1672
737	0.1675
738	0.1678
739	0.1682
740	0.1685
741	0.1687
742	0.1690
743	0.1694
744	0.1698
745	0.1699
746	0.1702
747	0.1706
748	0.1709
749	0.1711
750	0.1714
751	0.1717
752	0.1721
753	0.1723
754	0.1726
755	0.1728
756	0.1730
757	0.1732
758	0.1735
759	0.1738
760	0.1741
761	0.1744
762	0.1747
763	0.1749
764	0.1751
765	0.1754
766	0.1758
767	0.1760
768	0.1762
769	0.1764
770	0.1767
771	0.1770
772	0.1772
773	0.1775
774	0.1777
775	0.1779
776	0.1782
777	0.1783
778	0.1784
779	0.1788
780	0.1791
781	0.1792
782	0.1794
783	0.1795
784	0.1798
785	0.1801
786	0.1802
787	0.1804
788	0.1806
789	0.1809
790	0.1810
791	0.1811
792	0.1813
793	0.1816
794	0.1817
795	0.1820
796	0.1822
797	0.1823
798	0.1825
799	0.1827
800	0.1828
801	0.1829
802	0.1831
803	0.1832
804	0.1834
805	0.1836
806	0.1838
807	0.1840
808	0.1841
809	0.1843
810	0.1843
811	0.1845
812	0.1847
813	0.1849
814	0.1849
815	0.1849
816	0.1851
817	0.1851
818	0.1855
819	0.1857
820	0.1856
821	0.1857
822	0.1858
823	0.1860
824	0.1861
825	0.1862
826	0.1864
827	0.1865
828	0.1866
829	0.1865
830	0.1866
831	0.1868
832	0.1870
833	0.1871
834	0.1872
835	0.1873
836	0.1873
837	0.1875
838	0.1875
839	0.1875
840	0.1877
841	0.1877
842	0.1878
843	0.1881
844	0.1881
845	0.1881
846	0.1882
847	0.1881
848	0.1883
849	0.1884
850	0.1885
851	0.1885
852	0.1886
853	0.1887
854	0.1888
855	0.1888
856	0.1889
857	0.1891
858	0.1893
859	0.1891
860	0.1891
861	0.1893
862	0.1894
863	0.1893
864	0.1894
865	0.1896
866	0.1897
867	0.1898
868	0.1897
869	0.1898
870	0.1899
871	0.1901
872	0.1902
873	0.1902
874	0.1902
875	0.1903
876	0.1904
877	0.1905
878	0.1906
879	0.1907
880	0.1908
881	0.1908
882	0.1908
883	0.1909
884	0.1910
885	0.1909
886	0.1909
887	0.1910
888	0.1912
889	0.1914
890	0.1913
891	0.1914
892	0.1915
893	0.1915
894	0.1915
895	0.1918
896	0.1920
897	0.1920
898	0.1923
899	0.1923
900	0.1922
901	0.1923
902	0.1925
903	0.1924
904	0.1925
905	0.1929
906	0.1930
907	0.1929
908	0.1930
909	0.1933
910	0.1934
911	0.1936
912	0.1935
913	0.1934
914	0.1936
915	0.1938
916	0.1940
917	0.1940
918	0.1939
919	0.1940
920	0.1942
921	0.1943
922	0.1945
923	0.1946
924	0.1947
925	0.1950
926	0.1952
927	0.1950
928	0.1949
929	0.1952
930	0.1955
931	0.1956
932	0.1955
933	0.1953
934	0.1956
935	0.1960
936	0.1958
937	0.1954
938	0.1956
939	0.1958
940	0.1960
941	0.1960
942	0.1962
943	0.1961
944	0.1964
945	0.1970
946	0.1971
947	0.1966
948	0.1966
949	0.1969
950	0.1968
951	0.1968
952	0.1967
953	0.1970
954	0.1977
955	0.1976
956	0.1975
957	0.1974
958	0.1974
959	0.1978
960	0.1978
961	0.1975
962	0.1973
963	0.1979
964	0.1982
965	0.1982
966	0.1982
967	0.1988
968	0.1988
969	0.1987
970	0.1988
971	0.1994
972	0.1991
973	0.1992
974	0.1997
975	0.1998
976	0.1995
977	0.1997
978	0.2001
979	0.2003
980	0.2002
981	0.2002
982	0.2004
983	0.2008
984	0.2009
985	0.2006
986	0.2007
987	0.2013
988	0.2014
989	0.2009
990	0.2011
991	0.2017
992	0.2016
993	0.2015
994	0.2021
995	0.2028
996	0.2028
997	0.2028
998	0.2029
999	0.2034
1000	0.2039
1001	0.2029
1002	0.2031
1003	0.2033
1004	0.2033
1005	0.2033
1006	0.2032
1007	0.2030
1008	0.2027
1009	0.2023
1010	0.2019
1011	0.2012
1012	0.2012
1013	0.2017
1014	0.2021
1015	0.2031
1016	0.2041
1017	0.2049
1018	0.2057
1019	0.2062
1020	0.2068
1021	0.2069
1022	0.2066
1023	0.2066
1024	0.2062
1025	0.2063
1026	0.2068
1027	0.2071
1028	0.2078
1029	0.2081
1030	0.2081
1031	0.2081
1032	0.2080
1033	0.2076
1034	0.2073
1035	0.2069
1036	0.2066
1037	0.2061
1038	0.2060
1039	0.2058
1040	0.2061
1041	0.2069
1042	0.2075
1043	0.2085
1044	0.2093
1045	0.2093
1046	0.2092
1047	0.2092
1048	0.2086
1049	0.2086
1050	0.2090
1051	0.2093
1052	0.2096
1053	0.2098
1054	0.2098
1055	0.2099
1056	0.2101
1057	0.2102
1058	0.2105
1059	0.2111
1060	0.2113
1061	0.2113
1062	0.2113
1063	0.2110
1064	0.2109
1065	0.2110
1066	0.2112
1067	0.2117
