Wvl	R
350	0.1976
351	0.2022
352	0.2025
353	0.2013
354	0.2006
355	0.2023
356	0.2040
357	0.2027
358	0.1977
359	0.2021
360	0.2062
361	0.2051
362	0.2079
363	0.2088
364	0.2075
365	0.2077
366	0.2121
367	0.2157
368	0.2144
369	0.2151
370	0.2177
371	0.2208
372	0.2221
373	0.2215
374	0.2214
375	0.2247
376	0.2253
377	0.2255
378	0.2273
379	0.2291
380	0.2288
381	0.2280
382	0.2326
383	0.2348
384	0.2353
385	0.2371
386	0.2367
387	0.2373
388	0.2406
389	0.2435
390	0.2438
391	0.2431
392	0.2462
393	0.2470
394	0.2472
395	0.2499
396	0.2510
397	0.2518
398	0.2532
399	0.2535
400	0.2544
401	0.2559
402	0.2567
403	0.2575
404	0.2584
405	0.2596
406	0.2606
407	0.2613
408	0.2616
409	0.2623
410	0.2631
411	0.2638
412	0.2646
413	0.2656
414	0.2666
415	0.2674
416	0.2680
417	0.2688
418	0.2698
419	0.2712
420	0.2720
421	0.2722
422	0.2728
423	0.2739
424	0.2750
425	0.2759
426	0.2772
427	0.2785
428	0.2793
429	0.2804
430	0.2817
431	0.2828
432	0.2839
433	0.2849
434	0.2860
435	0.2874
436	0.2881
437	0.2890
438	0.2908
439	0.2918
440	0.2927
441	0.2936
442	0.2949
443	0.2958
444	0.2964
445	0.2973
446	0.2982
447	0.2990
448	0.2995
449	0.3002
450	0.3010
451	0.3017
452	0.3024
453	0.3030
454	0.3035
455	0.3040
456	0.3046
457	0.3051
458	0.3055
459	0.3060
460	0.3066
461	0.3070
462	0.3076
463	0.3082
464	0.3088
465	0.3093
466	0.3098
467	0.3103
468	0.3105
469	0.3111
470	0.3118
471	0.3123
472	0.3127
473	0.3131
474	0.3136
475	0.3141
476	0.3148
477	0.3154
478	0.3158
479	0.3164
480	0.3171
481	0.3174
482	0.3180
483	0.3186
484	0.3191
485	0.3197
486	0.3204
487	0.3211
488	0.3218
489	0.3223
490	0.3227
491	0.3234
492	0.3241
493	0.3248
494	0.3257
495	0.3264
496	0.3270
497	0.3277
498	0.3283
499	0.3289
500	0.3296
501	0.3303
502	0.3312
503	0.3321
504	0.3326
505	0.3332
506	0.3340
507	0.3346
508	0.3354
509	0.3362
510	0.3370
511	0.3377
512	0.3385
513	0.3392
514	0.3399
515	0.3406
516	0.3413
517	0.3420
518	0.3427
519	0.3435
520	0.3444
521	0.3452
522	0.3459
523	0.3466
524	0.3473
525	0.3480
526	0.3488
527	0.3496
528	0.3504
529	0.3512
530	0.3519
531	0.3525
532	0.3531
533	0.3538
534	0.3545
535	0.3552
536	0.3559
537	0.3565
538	0.3571
539	0.3577
540	0.3584
541	0.3591
542	0.3596
543	0.3602
544	0.3608
545	0.3615
546	0.3620
547	0.3626
548	0.3632
549	0.3638
550	0.3645
551	0.3650
552	0.3655
553	0.3661
554	0.3667
555	0.3671
556	0.3677
557	0.3683
558	0.3689
559	0.3695
560	0.3699
561	0.3704
562	0.3710
563	0.3715
564	0.3720
565	0.3726
566	0.3731
567	0.3736
568	0.3741
569	0.3745
570	0.3750
571	0.3756
572	0.3760
573	0.3764
574	0.3769
575	0.3773
576	0.3777
577	0.3781
578	0.3786
579	0.3792
580	0.3796
581	0.3800
582	0.3804
583	0.3808
584	0.3811
585	0.3816
586	0.3820
587	0.3824
588	0.3829
589	0.3833
590	0.3836
591	0.3840
592	0.3844
593	0.3849
594	0.3853
595	0.3858
596	0.3862
597	0.3865
598	0.3868
599	0.3869
600	0.3869
601	0.3870
602	0.3870
603	0.3870
604	0.3872
605	0.3874
606	0.3877
607	0.3881
608	0.3885
609	0.3888
610	0.3891
611	0.3891
612	0.3891
613	0.3890
614	0.3888
615	0.3886
616	0.3885
617	0.3885
618	0.3885
619	0.3885
620	0.3887
621	0.3890
622	0.3895
623	0.3901
624	0.3907
625	0.3912
626	0.3915
627	0.3915
628	0.3915
629	0.3916
630	0.3917
631	0.3918
632	0.3921
633	0.3924
634	0.3927
635	0.3930
636	0.3935
637	0.3938
638	0.3942
639	0.3947
640	0.3952
641	0.3956
642	0.3958
643	0.3960
644	0.3962
645	0.3963
646	0.3964
647	0.3966
648	0.3968
649	0.3970
650	0.3971
651	0.3973
652	0.3976
653	0.3978
654	0.3980
655	0.3983
656	0.3987
657	0.3989
658	0.3992
659	0.3995
660	0.3998
661	0.4001
662	0.4004
663	0.4007
664	0.4009
665	0.4012
666	0.4015
667	0.4018
668	0.4021
669	0.4023
670	0.4026
671	0.4028
672	0.4032
673	0.4035
674	0.4037
675	0.4039
676	0.4041
677	0.4044
678	0.4047
679	0.4049
680	0.4051
681	0.4054
682	0.4056
683	0.4059
684	0.4062
685	0.4064
686	0.4067
687	0.4069
688	0.4071
689	0.4074
690	0.4076
691	0.4079
692	0.4082
693	0.4084
694	0.4086
695	0.4089
696	0.4092
697	0.4094
698	0.4096
699	0.4099
700	0.4102
701	0.4104
702	0.4107
703	0.4109
704	0.4112
705	0.4115
706	0.4117
707	0.4120
708	0.4123
709	0.4125
710	0.4128
711	0.4130
712	0.4133
713	0.4135
714	0.4137
715	0.4140
716	0.4143
717	0.4145
718	0.4148
719	0.4150
720	0.4153
721	0.4156
722	0.4159
723	0.4161
724	0.4164
725	0.4167
726	0.4169
727	0.4171
728	0.4174
729	0.4177
730	0.4179
731	0.4181
732	0.4184
733	0.4187
734	0.4189
735	0.4192
736	0.4194
737	0.4197
738	0.4200
739	0.4203
740	0.4207
741	0.4210
742	0.4213
743	0.4215
744	0.4218
745	0.4221
746	0.4225
747	0.4228
748	0.4232
749	0.4235
750	0.4238
751	0.4240
752	0.4243
753	0.4246
754	0.4249
755	0.4252
756	0.4257
757	0.4261
758	0.4264
759	0.4268
760	0.4271
761	0.4273
762	0.4276
763	0.4280
764	0.4282
765	0.4286
766	0.4289
767	0.4291
768	0.4293
769	0.4297
770	0.4300
771	0.4303
772	0.4306
773	0.4309
774	0.4311
775	0.4314
776	0.4316
777	0.4318
778	0.4321
779	0.4324
780	0.4326
781	0.4328
782	0.4330
783	0.4333
784	0.4336
785	0.4338
786	0.4340
787	0.4342
788	0.4345
789	0.4347
790	0.4349
791	0.4351
792	0.4354
793	0.4357
794	0.4358
795	0.4361
796	0.4364
797	0.4365
798	0.4367
799	0.4369
800	0.4371
801	0.4374
802	0.4376
803	0.4378
804	0.4381
805	0.4383
806	0.4386
807	0.4388
808	0.4389
809	0.4391
810	0.4393
811	0.4395
812	0.4398
813	0.4399
814	0.4401
815	0.4403
816	0.4406
817	0.4408
818	0.4409
819	0.4412
820	0.4414
821	0.4414
822	0.4417
823	0.4419
824	0.4421
825	0.4421
826	0.4423
827	0.4425
828	0.4426
829	0.4427
830	0.4428
831	0.4430
832	0.4431
833	0.4433
834	0.4434
835	0.4436
836	0.4438
837	0.4440
838	0.4441
839	0.4443
840	0.4445
841	0.4446
842	0.4446
843	0.4449
844	0.4452
845	0.4454
846	0.4456
847	0.4457
848	0.4459
849	0.4461
850	0.4462
851	0.4463
852	0.4466
853	0.4467
854	0.4469
855	0.4471
856	0.4473
857	0.4474
858	0.4475
859	0.4478
860	0.4480
861	0.4481
862	0.4482
863	0.4485
864	0.4488
865	0.4489
866	0.4491
867	0.4492
868	0.4493
869	0.4495
870	0.4498
871	0.4499
872	0.4500
873	0.4502
874	0.4504
875	0.4505
876	0.4507
877	0.4508
878	0.4510
879	0.4513
880	0.4514
881	0.4516
882	0.4517
883	0.4519
884	0.4519
885	0.4521
886	0.4523
887	0.4525
888	0.4527
889	0.4529
890	0.4529
891	0.4532
892	0.4533
893	0.4534
894	0.4535
895	0.4538
896	0.4540
897	0.4541
898	0.4542
899	0.4543
900	0.4544
901	0.4545
902	0.4547
903	0.4549
904	0.4549
905	0.4549
906	0.4550
907	0.4552
908	0.4553
909	0.4555
910	0.4555
911	0.4555
912	0.4557
913	0.4557
914	0.4558
915	0.4559
916	0.4560
917	0.4560
918	0.4560
919	0.4560
920	0.4559
921	0.4559
922	0.4558
923	0.4558
924	0.4557
925	0.4557
926	0.4556
927	0.4556
928	0.4554
929	0.4553
930	0.4550
931	0.4549
932	0.4547
933	0.4544
934	0.4540
935	0.4538
936	0.4537
937	0.4536
938	0.4534
939	0.4530
940	0.4526
941	0.4524
942	0.4520
943	0.4515
944	0.4511
945	0.4507
946	0.4502
947	0.4497
948	0.4490
949	0.4483
950	0.4477
951	0.4472
952	0.4462
953	0.4455
954	0.4449
955	0.4443
956	0.4436
957	0.4432
958	0.4428
959	0.4423
960	0.4421
961	0.4419
962	0.4417
963	0.4416
964	0.4416
965	0.4416
966	0.4416
967	0.4418
968	0.4418
969	0.4418
970	0.4418
971	0.4421
972	0.4424
973	0.4425
974	0.4423
975	0.4425
976	0.4428
977	0.4430
978	0.4431
979	0.4435
980	0.4438
981	0.4440
982	0.4442
983	0.4445
984	0.4450
985	0.4455
986	0.4457
987	0.4462
988	0.4467
989	0.4466
990	0.4470
991	0.4473
992	0.4477
993	0.4484
994	0.4488
995	0.4492
996	0.4496
997	0.4498
998	0.4503
999	0.4508
1000	0.4510
1001	0.4491
1002	0.4497
1003	0.4505
1004	0.4511
1005	0.4512
1006	0.4513
1007	0.4517
1008	0.4520
1009	0.4527
1010	0.4536
1011	0.4541
1012	0.4543
1013	0.4546
1014	0.4546
1015	0.4548
1016	0.4550
1017	0.4556
1018	0.4562
1019	0.4565
1020	0.4571
1021	0.4576
1022	0.4581
1023	0.4587
1024	0.4592
1025	0.4599
1026	0.4605
1027	0.4608
1028	0.4614
1029	0.4622
1030	0.4626
1031	0.4629
1032	0.4635
1033	0.4639
1034	0.4642
1035	0.4644
1036	0.4646
1037	0.4651
1038	0.4655
1039	0.4656
1040	0.4661
1041	0.4668
1042	0.4669
1043	0.4673
1044	0.4680
1045	0.4685
1046	0.4690
1047	0.4693
1048	0.4697
1049	0.4700
1050	0.4703
1051	0.4704
1052	0.4705
1053	0.4707
1054	0.4707
1055	0.4706
1056	0.4710
1057	0.4713
1058	0.4714
1059	0.4719
1060	0.4721
1061	0.4722
1062	0.4724
1063	0.4725
1064	0.4727
1065	0.4730
1066	0.4730
1067	0.4731
1068	0.4736
1069	0.4737
1070	0.4738
1071	0.4743
1072	0.4744
1073	0.4744
1074	0.4746
1075	0.4746
1076	0.4745
1077	0.4747
1078	0.4750
1079	0.4753
1080	0.4753
1081	0.4754
1082	0.4755
1083	0.4755
1084	0.4752
1085	0.4752
1086	0.4752
1087	0.4751
1088	0.4755
1089	0.4758
1090	0.4757
1091	0.4757
1092	0.4758
1093	0.4754
1094	0.4752
1095	0.4751
1096	0.4749
1097	0.4748
1098	0.4747
1099	0.4747
1100	0.4747
1101	0.4745
1102	0.4744
1103	0.4745
1104	0.4744
1105	0.4742
1106	0.4740
1107	0.4737
1108	0.4735
1109	0.4734
1110	0.4734
1111	0.4733
1112	0.4732
1113	0.4731
1114	0.4728
1115	0.4726
1116	0.4724
1117	0.4723
1118	0.4721
1119	0.4719
1120	0.4717
1121	0.4713
1122	0.4708
1123	0.4704
1124	0.4698
1125	0.4693
1126	0.4689
1127	0.4684
1128	0.4679
1129	0.4671
1130	0.4661
1131	0.4650
1132	0.4636
1133	0.4623
1134	0.4610
1135	0.4596
1136	0.4580
1137	0.4564
1138	0.4547
1139	0.4529
1140	0.4511
1141	0.4494
1142	0.4475
1143	0.4455
1144	0.4435
1145	0.4415
1146	0.4397
1147	0.4381
1148	0.4364
1149	0.4348
1150	0.4333
1151	0.4318
1152	0.4304
1153	0.4291
1154	0.4280
1155	0.4271
1156	0.4263
1157	0.4256
1158	0.4251
1159	0.4246
1160	0.4241
1161	0.4238
1162	0.4233
1163	0.4228
1164	0.4224
1165	0.4222
1166	0.4222
1167	0.4223
1168	0.4223
1169	0.4221
1170	0.4220
1171	0.4219
1172	0.4219
1173	0.4219
1174	0.4219
1175	0.4219
1176	0.4217
1177	0.4217
1178	0.4218
1179	0.4218
1180	0.4218
1181	0.4218
1182	0.4216
1183	0.4215
1184	0.4215
1185	0.4214
1186	0.4215
1187	0.4216
1188	0.4215
1189	0.4214
1190	0.4213
1191	0.4213
1192	0.4213
1193	0.4212
1194	0.4212
1195	0.4212
1196	0.4213
1197	0.4214
1198	0.4215
1199	0.4216
1200	0.4217
1201	0.4218
1202	0.4219
1203	0.4220
1204	0.4221
1205	0.4222
1206	0.4223
1207	0.4225
1208	0.4227
1209	0.4228
1210	0.4230
1211	0.4231
1212	0.4233
1213	0.4234
1214	0.4236
1215	0.4238
1216	0.4241
1217	0.4243
1218	0.4245
1219	0.4247
1220	0.4248
1221	0.4250
1222	0.4252
1223	0.4255
1224	0.4256
1225	0.4258
1226	0.4259
1227	0.4260
1228	0.4263
1229	0.4268
1230	0.4269
1231	0.4270
1232	0.4271
1233	0.4272
1234	0.4274
1235	0.4279
1236	0.4281
1237	0.4284
1238	0.4285
1239	0.4286
1240	0.4287
1241	0.4290
1242	0.4291
1243	0.4294
1244	0.4296
1245	0.4297
1246	0.4298
1247	0.4299
1248	0.4301
1249	0.4301
1250	0.4302
1251	0.4302
1252	0.4302
1253	0.4303
1254	0.4306
1255	0.4309
1256	0.4310
1257	0.4312
1258	0.4313
1259	0.4314
1260	0.4314
1261	0.4314
1262	0.4315
1263	0.4316
1264	0.4316
1265	0.4316
1266	0.4315
1267	0.4315
1268	0.4314
1269	0.4314
1270	0.4314
1271	0.4313
1272	0.4312
1273	0.4310
1274	0.4307
1275	0.4303
1276	0.4300
1277	0.4299
1278	0.4297
1279	0.4295
1280	0.4293
1281	0.4291
1282	0.4288
1283	0.4284
1284	0.4280
1285	0.4276
1286	0.4272
1287	0.4268
1288	0.4264
1289	0.4259
1290	0.4254
1291	0.4248
1292	0.4242
1293	0.4236
1294	0.4230
1295	0.4223
1296	0.4216
1297	0.4208
1298	0.4201
1299	0.4194
1300	0.4187
1301	0.4178
1302	0.4169
1303	0.4161
1304	0.4151
1305	0.4142
1306	0.4133
1307	0.4123
1308	0.4113
1309	0.4102
1310	0.4092
1311	0.4081
1312	0.4070
1313	0.4058
1314	0.4047
1315	0.4034
1316	0.4022
1317	0.4009
1318	0.3995
1319	0.3981
1320	0.3965
1321	0.3951
1322	0.3936
1323	0.3921
1324	0.3906
1325	0.3891
1326	0.3874
1327	0.3859
1328	0.3843
1329	0.3826
1330	0.3809
1331	0.3793
1332	0.3777
1333	0.3762
1334	0.3746
1335	0.3732
1336	0.3716
1337	0.3700
1338	0.3684
1339	0.3668
1340	0.3653
1341	0.3639
1342	0.3624
1343	0.3610
1344	0.3596
1345	0.3579
1346	0.3564
1347	0.3550
1348	0.3536
1349	0.3525
1350	0.3513
1351	0.3501
1352	0.3488
1353	0.3475
1354	0.3462
1355	0.3448
1356	0.3436
1357	0.3425
1358	0.3414
1359	0.3402
1360	0.3390
1361	0.3374
1362	0.3360
1363	0.3345
1364	0.3330
1365	0.3313
1366	0.3296
1367	0.3278
1368	0.3258
1369	0.3238
1370	0.3218
1371	0.3196
1372	0.3174
1373	0.3149
1374	0.3122
1375	0.3094
1376	0.3063
1377	0.3032
1378	0.2999
1379	0.2963
1380	0.2926
1381	0.2887
1382	0.2845
1383	0.2802
1384	0.2756
1385	0.2710
1386	0.2664
1387	0.2617
1388	0.2572
1389	0.2526
1390	0.2480
1391	0.2435
1392	0.2391
1393	0.2346
1394	0.2302
1395	0.2259
1396	0.2218
1397	0.2177
1398	0.2138
1399	0.2101
1400	0.2065
1401	0.2031
1402	0.1999
1403	0.1968
1404	0.1940
1405	0.1914
1406	0.1889
1407	0.1865
1408	0.1842
1409	0.1820
1410	0.1801
1411	0.1784
1412	0.1768
1413	0.1754
1414	0.1740
1415	0.1725
1416	0.1713
1417	0.1703
1418	0.1693
1419	0.1685
1420	0.1677
1421	0.1670
1422	0.1663
1423	0.1655
1424	0.1649
1425	0.1642
1426	0.1636
1427	0.1631
1428	0.1627
1429	0.1623
1430	0.1619
1431	0.1616
1432	0.1613
1433	0.1611
1434	0.1609
1435	0.1607
1436	0.1605
1437	0.1603
1438	0.1599
1439	0.1597
1440	0.1595
1441	0.1593
1442	0.1593
1443	0.1592
1444	0.1592
1445	0.1592
1446	0.1592
1447	0.1592
1448	0.1592
1449	0.1592
1450	0.1592
1451	0.1592
1452	0.1593
1453	0.1593
1454	0.1594
1455	0.1595
1456	0.1596
1457	0.1598
1458	0.1599
1459	0.1601
1460	0.1603
1461	0.1605
1462	0.1607
1463	0.1609
1464	0.1612
1465	0.1615
1466	0.1619
1467	0.1624
1468	0.1629
1469	0.1634
1470	0.1640
1471	0.1645
1472	0.1651
1473	0.1657
1474	0.1663
1475	0.1670
1476	0.1676
1477	0.1683
1478	0.1690
1479	0.1697
1480	0.1703
1481	0.1710
1482	0.1719
1483	0.1727
1484	0.1736
1485	0.1745
1486	0.1752
1487	0.1759
1488	0.1767
1489	0.1774
1490	0.1781
1491	0.1789
1492	0.1797
1493	0.1804
1494	0.1813
1495	0.1823
1496	0.1833
1497	0.1843
1498	0.1852
1499	0.1861
1500	0.1871
1501	0.1880
1502	0.1889
1503	0.1899
1504	0.1908
1505	0.1918
1506	0.1927
1507	0.1935
1508	0.1945
1509	0.1955
1510	0.1964
1511	0.1974
1512	0.1984
1513	0.1994
1514	0.2004
1515	0.2014
1516	0.2024
1517	0.2033
1518	0.2043
1519	0.2053
1520	0.2063
1521	0.2073
1522	0.2083
1523	0.2091
1524	0.2100
1525	0.2109
1526	0.2118
1527	0.2129
1528	0.2139
1529	0.2149
1530	0.2159
1531	0.2167
1532	0.2176
1533	0.2186
1534	0.2196
1535	0.2206
1536	0.2216
1537	0.2226
1538	0.2236
1539	0.2247
1540	0.2257
1541	0.2266
1542	0.2276
1543	0.2286
1544	0.2295
1545	0.2304
1546	0.2314
1547	0.2324
1548	0.2333
1549	0.2341
1550	0.2350
1551	0.2358
1552	0.2366
1553	0.2375
1554	0.2383
1555	0.2392
1556	0.2401
1557	0.2412
1558	0.2421
1559	0.2430
1560	0.2439
1561	0.2446
1562	0.2454
1563	0.2461
1564	0.2470
1565	0.2478
1566	0.2487
1567	0.2496
1568	0.2505
1569	0.2514
1570	0.2522
1571	0.2530
1572	0.2536
1573	0.2543
1574	0.2549
1575	0.2556
1576	0.2564
1577	0.2573
1578	0.2580
1579	0.2586
1580	0.2592
1581	0.2599
1582	0.2606
1583	0.2613
1584	0.2621
1585	0.2627
1586	0.2633
1587	0.2640
1588	0.2646
1589	0.2652
1590	0.2657
1591	0.2663
1592	0.2669
1593	0.2676
1594	0.2683
1595	0.2688
1596	0.2693
1597	0.2697
1598	0.2701
1599	0.2707
1600	0.2712
1601	0.2718
1602	0.2724
1603	0.2730
1604	0.2736
1605	0.2740
1606	0.2745
1607	0.2751
1608	0.2756
1609	0.2761
1610	0.2766
1611	0.2771
1612	0.2775
1613	0.2779
1614	0.2785
1615	0.2789
1616	0.2794
1617	0.2798
1618	0.2802
1619	0.2805
1620	0.2810
1621	0.2815
1622	0.2820
1623	0.2825
1624	0.2829
1625	0.2832
1626	0.2836
1627	0.2840
1628	0.2844
1629	0.2847
1630	0.2849
1631	0.2853
1632	0.2856
1633	0.2859
1634	0.2863
1635	0.2865
1636	0.2867
1637	0.2869
1638	0.2873
1639	0.2876
1640	0.2879
1641	0.2882
1642	0.2886
1643	0.2890
1644	0.2892
1645	0.2893
1646	0.2895
1647	0.2897
1648	0.2901
1649	0.2906
1650	0.2909
1651	0.2909
1652	0.2911
1653	0.2913
1654	0.2916
1655	0.2921
1656	0.2923
1657	0.2924
1658	0.2926
1659	0.2926
1660	0.2926
1661	0.2928
1662	0.2929
1663	0.2929
1664	0.2930
1665	0.2932
1666	0.2933
1667	0.2935
1668	0.2936
1669	0.2935
1670	0.2936
1671	0.2939
1672	0.2940
1673	0.2941
1674	0.2942
1675	0.2942
1676	0.2943
1677	0.2944
1678	0.2944
1679	0.2943
1680	0.2944
1681	0.2948
1682	0.2949
1683	0.2950
1684	0.2950
1685	0.2948
1686	0.2947
1687	0.2947
1688	0.2946
1689	0.2943
1690	0.2942
1691	0.2944
1692	0.2944
1693	0.2943
1694	0.2942
1695	0.2939
1696	0.2938
1697	0.2939
1698	0.2938
1699	0.2935
1700	0.2933
1701	0.2930
1702	0.2929
1703	0.2928
1704	0.2925
1705	0.2921
1706	0.2919
1707	0.2916
1708	0.2916
1709	0.2917
1710	0.2914
1711	0.2912
1712	0.2910
1713	0.2908
1714	0.2906
1715	0.2903
1716	0.2898
1717	0.2892
1718	0.2889
1719	0.2885
1720	0.2880
1721	0.2876
1722	0.2870
1723	0.2864
1724	0.2861
1725	0.2855
1726	0.2851
1727	0.2847
1728	0.2841
1729	0.2837
1730	0.2833
1731	0.2827
1732	0.2821
1733	0.2816
1734	0.2808
1735	0.2803
1736	0.2800
1737	0.2795
1738	0.2789
1739	0.2782
1740	0.2771
1741	0.2763
1742	0.2758
1743	0.2755
1744	0.2751
1745	0.2746
1746	0.2736
1747	0.2726
1748	0.2717
1749	0.2709
1750	0.2704
1751	0.2698
1752	0.2690
1753	0.2681
1754	0.2672
1755	0.2664
1756	0.2656
1757	0.2651
1758	0.2642
1759	0.2634
1760	0.2627
1761	0.2619
1762	0.2614
1763	0.2608
1764	0.2604
1765	0.2598
1766	0.2593
1767	0.2588
1768	0.2578
1769	0.2571
1770	0.2564
1771	0.2555
1772	0.2552
1773	0.2549
1774	0.2544
1775	0.2540
1776	0.2531
1777	0.2525
1778	0.2521
1779	0.2517
1780	0.2513
1781	0.2508
1782	0.2528
1783	0.2524
1784	0.2517
1785	0.2510
1786	0.2505
1787	0.2505
1788	0.2503
1789	0.2502
1790	0.2500
1791	0.2511
1792	0.2504
1793	0.2491
1794	0.2490
1795	0.2490
1796	0.2486
1797	0.2486
1798	0.2497
1799	0.2500
1800	0.2493
1801	0.2493
1802	0.2485
1803	0.2466
1804	0.2456
1805	0.2457
1806	0.2459
1807	0.2472
1808	0.2501
1809	0.2524
1810	0.2528
1811	0.2525
1812	0.2517
1813	0.2504
1814	0.2499
1815	0.2502
1816	0.2501
1817	0.2496
1818	0.2500
1819	0.2499
1820	0.2495
1821	0.2496
1822	0.2495
1823	0.2491
1824	0.2484
1825	0.2476
1826	0.2464
1827	0.2456
1828	0.2458
1829	0.2464
1830	0.2474
1831	0.2483
1832	0.2482
1833	0.2472
1834	0.2457
1835	0.2446
1836	0.2433
1837	0.2421
1838	0.2412
1839	0.2406
1840	0.2402
1841	0.2397
1842	0.2393
1843	0.2391
1844	0.2381
1845	0.2367
1846	0.2356
1847	0.2347
1848	0.2333
1849	0.2315
1850	0.2301
1851	0.2286
1852	0.2270
1853	0.2259
1854	0.2246
1855	0.2224
1856	0.2190
1857	0.2165
1858	0.2137
1859	0.2112
1860	0.2089
1861	0.2068
1862	0.2051
1863	0.2026
1864	0.1995
1865	0.1978
1866	0.1954
1867	0.1925
1868	0.1897
1869	0.1875
1870	0.1844
1871	0.1804
1872	0.1769
1873	0.1733
1874	0.1696
1875	0.1663
1876	0.1637
1877	0.1601
1878	0.1563
1879	0.1525
1880	0.1477
1881	0.1440
1882	0.1408
1883	0.1370
1884	0.1345
1885	0.1320
1886	0.1295
1887	0.1275
1888	0.1252
1889	0.1230
1890	0.1206
1891	0.1183
1892	0.1157
1893	0.1125
1894	0.1096
1895	0.1071
1896	0.1047
1897	0.1024
1898	0.1005
1899	0.0985
1900	0.0962
1901	0.0945
1902	0.0930
1903	0.0920
1904	0.0915
