wave,Esky
400,495.79348
401,462.87909
402,498.30201
403,463.6013
404,502.28497
405,445.90427
406,437.51773
407,450.9129
408,460.21949
409,505.64976
410,412.07069
411,477.07371
412,500.75821
413,475.95375
414,488.08672
415,485.39933
416,473.95332
417,472.94247
418,461.35729
419,468.75431
420,439.95097
421,498.45137
422,484.61328
423,419.43795
424,453.62801
425,463.69524
426,437.39431
427,429.50489
428,442.71463
429,417.81829
430,337.39351
431,314.72397
432,486.79797
433,439.06351
434,397.04153
435,454.2922
436,478.75578
437,486.9069
438,433.96711
439,424.34993
440,468.27381
441,461.60008
442,481.44555
443,492.19225
444,481.43977
445,504.03304
446,439.93184
447,489.38791
448,497.72024
449,505.77772
450,500.44957
451,535.49228
452,508.45886
453,466.11442
454,495.28939
455,485.66585
456,503.9296
457,502.99744
458,500.28645
459,487.76759
460,484.39516
461,501.16732
462,504.67725
463,507.15375
464,491.42731
465,480.88155
466,495.42998
467,462.00734
468,483.79798
469,489.33669
470,468.68809
471,472.84584
472,490.13736
473,475.19872
474,481.6627
475,490.21538
476,470.54212
477,463.14399
478,491.00458
479,470.8425
480,486.80473
481,473.26692
482,485.3273
483,472.99198
484,462.49834
485,465.0995
486,364.10658
487,409.20093
488,452.25209
489,422.48021
490,474.44325
491,455.73938
492,429.28243
493,455.35868
494,439.03261
495,466.76947
496,444.07523
497,450.70947
498,439.84412
499,436.27878
500,435.14466
501,416.43817
502,405.76296
503,435.12203
504,398.38743
505,429.45622
506,451.01323
507,422.06982
508,412.0317
509,438.61561
510,423.89557
511,422.66153
512,440.55815
513,411.91332
514,399.47701
515,412.73805
516,419.12214
517,325.94228
518,396.69281
519,370.61406
520,412.8539
521,400.35623
522,414.44002
523,381.8659
524,419.05811
525,412.49524
526,408.60845
527,349.54062
528,401.80673
529,416.7514
530,396.94965
531,423.07869
532,410.88907
533,370.41537
534,400.1932
535,399.88314
536,415.40483
537,380.34885
538,401.5503
539,393.71178
540,387.49257
541,364.92929
542,390.38316
543,378.45059
544,390.77821
545,384.98983
546,377.40863
547,389.66051
548,367.13199
549,388.61014
550,379.51152
551,376.09407
552,385.22278
553,370.96836
554,377.6955
555,382.35767
556,372.99482
557,356.59111
558,370.13209
559,347.6527
560,344.85891
561,374.9682
562,349.92294
563,357.23175
564,350.47586
565,356.84085
566,335.65549
567,352.57997
568,346.83071
569,335.5222
570,338.28858
571,323.33645
572,340.63325
573,341.53431
574,341.35802
575,333.83701
576,326.52638
577,337.91243
578,328.02725
579,325.52468
580,335.28161
581,331.70975
582,334.54109
583,338.04306
584,336.11116
585,333.33747
586,318.54857
587,329.12257
588,320.19986
589,273.31645
590,282.71591
591,307.19967
592,298.64867
593,303.58696
594,303.0715
595,293.87897
596,306.41537
597,306.92544
598,304.5339
599,300.96771
600,305.5464
601,305.61894
602,298.69793
603,305.44999
604,309.61932
605,310.19756
606,305.44981
607,305.80055
608,302.43581
609,299.82294
610,295.60135
611,299.11107
612,294.20951
613,297.49225
614,284.79725
