wave,Esun
400,391.08313
401,367.46808
402,398.74321
403,373.93095
404,408.3434
405,365.3786
406,361.23814
407,375.12422
408,385.82986
409,427.10062
410,350.66958
411,409.0073
412,432.45269
413,414.08791
414,427.72826
415,428.43668
416,421.31548
417,423.42211
418,415.95518
419,425.61495
420,402.23041
421,458.83539
422,449.16906
423,391.41715
424,426.18033
425,438.55544
426,416.41341
427,411.61447
428,427.05599
429,405.6459
430,329.69991
431,309.53139
432,481.78487
433,437.28188
434,397.95226
435,458.20207
436,485.82762
437,497.11467
438,445.76635
439,438.60284
440,486.97338
441,482.92676
442,506.86252
443,521.86331
444,513.00594
445,540.344
446,474.37926
447,530.47584
448,542.53087
449,554.38214
450,551.51391
451,593.38613
452,566.53805
453,522.24643
454,557.97096
455,550.11802
456,573.91564
457,575.9297
458,575.90566
459,564.50112
460,563.59014
461,586.18132
462,593.37303
463,599.41449
464,583.88704
465,574.24259
466,594.62133
467,557.43049
468,586.76893
469,596.6237
470,574.54681
471,582.55597
472,606.95565
473,591.52724
474,602.71689
475,616.77487
476,595.3204
477,589.0683
478,627.35064
479,604.06118
480,627.0404
481,612.06827
482,630.28671
483,616.91241
484,605.9014
485,612.24017
486,481.31468
487,543.34524
488,603.18459
489,565.99467
490,638.28538
491,615.7508
492,582.46805
493,620.4605
494,600.73726
495,641.37295
496,612.67886
497,624.34985
498,611.73804
499,609.23566
500,610.1022
501,586.25235
502,573.91479
503,618.37772
504,571.42214
505,614.95448
506,648.80113
507,609.62823
508,596.66829
509,637.12525
510,617.6191
511,617.36623
512,645.55611
513,605.55828
514,589.26086
515,610.9084
516,622.45186
517,485.69911
518,593.11755
519,556.00659
520,621.7963
521,604.66138
522,628.08049
523,580.75998
524,639.79939
525,632.0331
526,628.08623
527,539.50861
528,622.15238
529,647.73452
530,619.23732
531,662.41424
532,645.66308
533,584.1994
534,633.42682
535,635.21576
536,662.22721
537,608.584
538,644.90085
539,634.75047
540,627.35409
541,593.87651
542,637.74901
543,619.59899
544,642.90585
545,635.1761
546,625.54
547,647.43477
548,611.82069
549,649.75518
550,636.95136
551,633.03566
552,651.55483
553,630.02331
554,644.07665
555,654.726
556,641.40809
557,615.78821
558,641.90377
559,605.53231
560,603.31741
561,658.83527
562,617.53291
563,633.20528
564,623.95036
565,638.11539
566,602.89048
567,636.28884
568,629.51088
569,613.93149
570,620.97228
571,594.8341
572,630.67228
573,634.82219
574,637.03392
575,625.85237
576,614.3066
577,638.21197
578,621.346
579,618.36109
580,638.79853
581,633.79254
582,641.14348
583,649.85476
584,648.396
585,645.27068
586,619.17203
587,642.96785
588,632.48291
589,547.47747
590,567.7572
591,616.38189
592,602.04719
593,611.7185
594,613.03913
595,599.20344
596,622.25791
597,625.67325
598,621.37523
599,615.25737
600,625.33453
601,626.1698
602,613.79387
603,629.39546
604,639.70557
605,643.04138
606,635.27292
607,638.12174
608,633.253
609,629.87545
610,623.0727
611,632.55211
612,624.2773
613,633.37492
614,608.38597
615,634.20979
616,604.56507
617,609.3812
618,628.91606
619,623.32128
620,636.98918
621,643.17611
622,620.02978
623,618.38732
624,627.78136
625,610.12457
626,610.71395
627,624.81361
628,598.84619
629,618.39695
630,601.95793
631,625.64308
632,597.65254
633,628.96841
634,614.4857
635,626.14665
636,615.03943
637,629.3512
638,635.22187
639,637.23467
640,614.60693
641,618.72687
642,618.99686
643,629.11569
644,627.29887
645,625.64618
646,607.25965
647,608.7195
648,596.76878
649,601.45161
650,581.48918
651,627.26493
652,595.13805
653,617.64071
654,621.96438
655,595.37835
656,514.9418
657,541.3898
658,608.27134
659,613.328
660,615.90434
661,623.33436
662,633.59476
663,629.55153
664,621.01473
665,627.45659
666,631.20823
667,624.94914
668,625.34646
669,635.27393
670,628.61005
671,626.41535
672,614.89983
673,627.40372
674,626.84191
675,621.55608
676,628.80984
677,620.80623
678,629.81793
679,624.21751
680,622.42114
681,620.73365
682,622.56552
683,621.9517
684,607.4621
685,618.63594
686,606.81718
687,455.56166
688,506.59482
689,521.70854
690,529.63752
691,561.51145
692,565.97693
693,551.33617
694,536.05461
695,557.55045
696,555.9947
697,600.6203
698,581.36473
699,569.18455
700,564.46203
701,548.37226
702,556.93941
703,558.93676
704,573.25173
705,579.62835
706,583.74282
707,582.02334
708,589.97184
709,581.18227
710,588.23019
711,587.30283
712,582.7701
713,582.80005
714,585.27706
715,564.40586
716,569.50632
717,461.20971
718,428.08477
719,386.51857
720,396.16657
721,462.50323
722,540.98391
723,487.88997
724,445.02512
725,436.46984
726,457.83557
727,465.77264
728,437.43295
729,454.73039
730,484.3445
731,452.3703
732,503.02618
733,528.35587
734,549.06002
735,536.15202
736,537.18383
737,539.12533
738,556.31245
739,538.10728
740,554.85178
741,553.83535
742,555.43522
743,567.26682
744,571.50044
745,566.87846
746,570.30394
747,576.81153
748,570.84288
749,572.18228
750,563.99414
751,558.92882
752,573.78808
753,559.18722
754,572.83049
755,568.68985
756,563.37636
757,566.74651
758,567.584
759,553.51373
760,169.60823
761,107.40727
762,352.50735
763,204.34466
764,285.18337
765,349.95307
766,407.07032
767,466.12443
768,529.87873
769,533.78794
770,544.13825
771,551.73692
772,545.30107
773,549.14745
774,550.92938
775,540.34941
776,552.56887
777,551.37777
778,539.97291
779,549.20075
780,543.05042
781,543.76809
782,550.62001
783,541.43918
784,540.59388
785,541.54881
786,541.66736
787,531.90096
788,523.20222
789,522.34451
790,503.5174
791,515.55603
792,508.37238
793,500.50771
794,519.06115
795,511.1176
796,498.28002
797,506.62294
798,522.44204
799,515.36196
800,493.81396
801,504.42641
802,504.00578
803,493.67736
804,503.61518
805,494.82141
806,513.27172
807,509.26254
808,508.56905
809,497.0822
810,482.28328
811,487.19766
812,465.96081
813,457.70622
814,392.63307
815,384.73101
816,364.81506
817,372.88923
818,360.18518
819,403.3565
820,369.75365
821,462.10441
822,430.70632
823,277.88658
824,428.61157
825,445.55866
826,429.08429
827,453.36173
828,368.746
829,430.99529
830,421.42337
831,421.33252
832,404.48989
833,443.94249
834,421.74915
835,466.88042
836,444.90846
837,475.86197
838,465.25743
839,466.36854
840,478.08297
841,472.90923
842,479.15658
843,480.59868
844,469.01599
845,480.41823
846,488.02607
847,480.14958
848,483.49827
849,484.0084
850,425.12363
851,477.08431
852,468.61226
853,474.17612
854,385.75719
855,425.82083
856,467.50341
857,478.98925
858,476.04304
859,477.51963
860,469.59127
861,471.82573
862,473.83841
863,479.63549
864,478.85312
865,468.83663
866,407.69962
867,432.4252
868,464.05882
869,461.95532
870,471.70685
871,470.46624
872,466.85269
873,468.38703
874,461.53404
875,456.44946
876,464.06036
877,463.65003
878,459.72606
879,462.48151
880,459.82484
881,436.41266
882,463.75069
883,456.10195
884,457.16875
885,460.01659
886,448.36045
887,439.89963
888,447.93611
889,458.58182
890,447.33953
891,448.89428
892,442.47141
893,413.4959
894,412.82503
895,378.27082
896,360.88443
897,302.77985
898,329.89561
899,233.96987
900,342.40233
901,270.92265
902,318.77328
903,298.03811
904,397.76375
905,393.55525
906,356.5683
907,300.53985
908,285.65564
909,316.51411
910,279.9241
911,310.66645
912,311.73804
913,278.49885
914,283.05473
915,294.48462
916,266.74056
917,328.3475
918,253.12398
919,338.04977
920,344.7138
921,361.69578
922,318.87988
923,346.1642
924,320.18296
925,315.96035
926,314.58057
927,357.17892
928,250.20376
929,237.6595
930,176.77784
931,157.51691
932,111.51127
933,82.121838
934,39.55816
935,99.251841
936,47.133693
937,62.22959
938,65.917091
939,159.24467
940,199.65719
941,136.28283
942,155.39537
943,102.89114
944,113.07235
945,144.85851
946,72.74156
947,140.87379
948,108.62298
949,201.10047
950,41.739968
951,228.09381
952,93.277526
953,132.2171
954,181.66574
955,146.97704
956,142.36693
957,118.40967
958,205.76493
959,157.86699
960,173.39191
961,191.9981
962,191.19215
963,220.3065
964,196.80613
965,224.21766
966,214.12882
967,224.46964
968,308.75923
969,320.88278
970,302.8631
971,349.05832
972,330.69624
973,282.85061
974,269.44034
975,279.7818
976,266.66506
977,298.52702
978,298.54883
979,303.62957
980,286.96004
981,348.91666
982,334.85894
983,317.34979
984,368.31663
985,328.95795
986,370.07645
987,364.5056
988,362.33014
989,370.93352
990,362.8864
991,375.55011
992,377.00548
993,363.81315
994,376.83735
995,375.77191
996,374.89003
997,376.47973
998,375.13048
999,373.90059
1000,367.16224
1001,374.47117
1002,363.7202
1003,368.29523
1004,363.47926
1005,343.7422
1006,358.5484
1007,366.90444
1008,365.90592
1009,362.204
1010,361.59637
1011,367.02754
1012,364.46766
1013,364.78487
1014,367.28316
1015,360.13485
1016,362.4161
1017,358.55662
1018,364.29112
1019,349.44745
1020,359.21852
1021,359.57993
1022,353.80523
1023,359.77519
1024,353.51419
1025,359.82737
1026,358.73687
1027,357.5364
1028,357.76552
1029,351.07471
1030,357.60269
1031,355.66329
1032,355.71607
1033,348.27543
1034,353.95591
1035,348.58527
1036,353.63992
1037,345.9165
1038,350.42158
1039,351.56649
1040,348.12715
1041,349.49344
1042,350.45206
1043,344.56139
1044,348.19949
1045,346.89927
1046,336.96751
1047,343.2646
1048,346.71214
1049,344.63373
1050,342.71121
1051,342.74095
1052,340.55778
1053,341.21202
1054,337.01
1055,339.56823
1056,338.58821
1057,337.87362
1058,334.99702
1059,323.31725
1060,334.38286
1061,322.90174
1062,331.31341
1063,325.33133
1064,330.13133
1065,328.46123
1066,319.34229
1067,326.5423
1068,325.53729
1069,300.64496
1070,317.73853
1071,323.89066
1072,322.01548
1073,313.15769
