wave,n.sim1,n.sim2,n.sim3,n.sim4,n.sim5,n.sim6,n.sim7,n.sim8,n.sim9,n.sim10,n.sim11,n.sim12,n.sim13,n.sim14,n.sim15,n.sim16,n.sim17,n.sim18,n.sim19,n.sim20,n.sim21,n.sim22,n.sim23,n.sim24,n.sim25,n.sim26,n.sim27,n.sim28,n.sim29,n.sim30,n.sim31,n.sim32,n.sim33,n.sim34,n.sim35,n.sim36,n.sim37,n.sim38,n.sim39,n.sim40,n.sim41,n.sim42,n.sim43,n.sim44,n.sim45,n.sim46,n.sim47,n.sim48,n.sim49,n.sim50,n.sim51,n.sim52,n.sim53,n.sim54,n.sim55,n.sim56,n.sim57,n.sim58,n.sim59,n.sim60,n.sim61,n.sim62,n.sim63,n.sim64,n.sim65,n.sim66,n.sim67,n.sim68,n.sim69,n.sim70,n.sim71,n.sim72,n.sim73,n.sim74,n.sim75,n.sim76,n.sim77,n.sim78,n.sim79,n.sim80,n.sim81,n.sim82,n.sim83,n.sim84,n.sim85,n.sim86,n.sim87,n.sim88,n.sim89,n.sim90,n.sim91,n.sim92,n.sim93,n.sim94,n.sim95,n.sim96,n.sim97,n.sim98,n.sim99,n.sim100
640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
641,5.15855864353392e-06,1.49042074100357e-05,1.07835959725714e-05,4.35149464843582e-06,4.12156433745729e-06,1.19157299786028e-05,2.23765078379887e-05,4.44929012980459e-06,6.74827452359985e-06,1.10082284958438e-05,6.267136257796e-06,8.81213529811096e-06,6.95369524792773e-06,5.05641035644405e-06,6.91135529015479e-06,2.21107959866501e-05,3.48628690075396e-06,1.26917911154035e-05,8.29491742832158e-06,5.70681857508366e-06,1.56882240339311e-05,6.78818479418262e-06,7.13390202930021e-06,8.55949854891355e-06,7.90262599085094e-06,4.26222023295868e-06,3.22169259908805e-06,6.23343240692376e-05,2.21870392560604e-05,9.46789685178589e-06,1.38082746875921e-05,9.04501215003174e-06,3.42925469245809e-05,4.32413267689061e-06,3.73467391852247e-06,9.77351098846502e-07,5.13442840902983e-06,1.03898052123074e-05,6.27227375070725e-06,4.05945076060909e-06,2.37990026239737e-05,8.94533245770125e-06,8.77682628692749e-06,6.72895611658278e-06,7.1291239096683e-06,7.67738550882704e-06,4.52592621646385e-06,3.43961542037468e-06,1.34656636018233e-05,3.73264952114299e-06,2.48028361414276e-05,5.23012082782589e-06,1.04161779410261e-05,3.49992609754373e-05,1.99644431650987e-06,4.27186355050524e-06,1.36544940490103e-05,5.70778419814768e-06,9.20388556108725e-06,2.39425105767802e-06,3.56273538688618e-06,7.32738361862124e-06,5.42221591529643e-06,4.67199219124787e-06,6.59066312639492e-06,5.24945985519923e-05,6.29535441012803e-06,1.84145321860008e-06,9.97555666726994e-06,5.37646673676355e-06,6.24690537818585e-06,9.87556260876005e-06,1.02181648426318e-05,4.94782720457608e-06,2.72625535800955e-05,1.45023706458586e-05,5.34633844241539e-06,1.51891649950478e-05,2.08188405667625e-06,2.11195995190115e-05,4.3915546039107e-06,8.37744256038495e-06,5.63090260200052e-06,5.12742707998273e-07,8.70207998486883e-07,1.92958237415169e-06,4.99759132019506e-06,1.36165954148151e-05,5.24081841154301e-06,2.65718078642032e-06,1.26493170538594e-05,8.32232203029372e-06,4.19143464867819e-06,5.34712035580542e-07,6.31708631213325e-06,1.72426577547019e-06,1.04366945020373e-05,8.36247509929985e-06,1.77771347598682e-05,2.08113648863473e-05
642,1.02008845108936e-05,3.07698376901542e-05,2.15069049204658e-05,8.52938336479508e-06,8.13666094274631e-06,2.2658005797784e-05,4.46220984733779e-05,8.674661168663e-06,1.32482008631273e-05,2.10783993048855e-05,1.22741842156533e-05,1.74039098742902e-05,1.3590126189469e-05,9.94525632210465e-06,1.31044179881213e-05,4.31124681626323e-05,6.92728117527162e-06,2.49518023982693e-05,1.62921637292306e-05,1.12655566657803e-05,3.07854323687442e-05,1.34355928264467e-05,1.4277144041911e-05,1.68771782222769e-05,1.5536123240786e-05,8.38330652692304e-06,6.31393778702268e-06,0.000123845742520223,4.40944693718232e-05,1.9497822198789e-05,2.73035625678094e-05,1.77582505539778e-05,6.79190916546455e-05,8.52915214765007e-06,7.41681511466097e-06,1.92542432755841e-06,9.97081352683922e-06,2.10663712160468e-05,1.22108439728535e-05,8.02702040130992e-06,4.74346001576954e-05,1.76369939047564e-05,1.70444390512356e-05,1.3218722724927e-05,1.41511686451446e-05,1.51677462777706e-05,8.91917362526541e-06,6.78232228829963e-06,2.68205807326244e-05,7.33895448274121e-06,4.89990370961244e-05,1.03179449801868e-05,2.0660199515305e-05,7.00526012565775e-05,3.93933249965984e-06,8.43590101141001e-06,2.72403206269775e-05,1.12635683940307e-05,1.81628702389131e-05,4.76620762215095e-06,6.98776305183338e-06,1.42377674885843e-05,1.07434751139662e-05,9.24522493011446e-06,1.31180681301234e-05,0.000103553363452572,1.27076699245323e-05,3.64510743150039e-06,1.97442958937791e-05,1.05838254750883e-05,1.22060545366544e-05,1.87784944819048e-05,1.99055273346129e-05,9.74899412755465e-06,5.40135094660688e-05,2.84352175308997e-05,1.05398423152e-05,2.97748591321688e-05,4.10149455335147e-06,4.15137319007504e-05,8.47246400873867e-06,1.65238161161736e-05,1.11263622370474e-05,1.01560653997428e-06,1.71102374770622e-06,3.78727895970604e-06,9.85481247240775e-06,2.66929746765473e-05,1.01631287523416e-05,5.1498124085409e-06,2.47830559714455e-05,1.64153118779996e-05,8.31903775268936e-06,1.05633884312787e-06,1.24943623013619e-05,3.39513926537725e-06,2.05579940994746e-05,1.64162470469568e-05,3.48857031729375e-05,4.1436958037315e-05
643,1.5282182546614e-05,4.79701142997583e-05,3.25552385851516e-05,1.26616463540891e-05,1.21630663257058e-05,3.26277941780918e-05,6.74781008817109e-05,1.28149939639066e-05,1.96784751478123e-05,3.05754874582514e-05,1.81885677102994e-05,2.60399232545451e-05,2.00735062664118e-05,1.48041831424934e-05,1.88326433555525e-05,6.36208211779797e-05,1.04311290568479e-05,3.71540888243404e-05,2.42145364074363e-05,1.68340559203856e-05,4.61151796958209e-05,2.01395948451958e-05,2.155056942602e-05,2.51981699335673e-05,2.31247928628336e-05,1.24885966880064e-05,9.36601882043818e-06,0.000186827676309072,6.64217166891439e-05,3.01894305970725e-05,4.0886586470281e-05,2.6402651628196e-05,0.000101875049631717,1.27437632858267e-05,1.11625527303441e-05,2.87532109057713e-06,1.46838708132535e-05,3.2538561982815e-05,1.79764379718319e-05,1.20316011272459e-05,7.16940585927045e-05,2.63178802698323e-05,2.50616830117664e-05,1.96609058866499e-05,2.12892867379734e-05,2.26722700484951e-05,1.33160904708259e-05,1.01219586619095e-05,4.03622638586981e-05,1.09277893942934e-05,7.33094747140391e-05,1.54203234254109e-05,3.1054449884024e-05,0.00010634127868219,5.88070918431206e-06,1.26240184059327e-05,4.10204056328911e-05,1.6843139735216e-05,2.71364387669799e-05,7.18119414631437e-06,1.03785477211002e-05,2.0915824737194e-05,1.61326555718194e-05,1.38719036443033e-05,1.97477585978495e-05,0.000154676402558007,1.948763621389e-05,5.46202471128996e-06,2.95925063603028e-05,1.57617673598895e-05,1.80440662684369e-05,2.70774712900843e-05,2.9336531516956e-05,1.456670769458e-05,8.11203143977378e-05,4.21959936817697e-05,1.5733913102262e-05,4.42178399560202e-05,6.11744059780635e-06,6.16647419376739e-05,1.23555998176691e-05,2.46835178895414e-05,1.66585448061241e-05,1.52398805220685e-06,2.54681855425681e-06,5.62848377896652e-06,1.47179950098831e-05,3.96012762415628e-05,1.49368147501028e-05,7.55209478554909e-06,3.67714764446441e-05,2.45067498560854e-05,1.25154363201862e-05,1.57885091303808e-06,1.87278435675285e-05,5.06399407594369e-06,3.0649868605108e-05,2.43934921042274e-05,5.18290757316797e-05,6.24115698570637e-05
644,2.055765769523e-05,6.68782606982509e-05,4.4313908708097e-05,1.68762638213293e-05,1.63185569961746e-05,4.22260618400741e-05,9.16858440385314e-05,1.70091693628669e-05,2.62177935068849e-05,3.98644679870676e-05,2.41777105784616e-05,3.49847749648829e-05,2.65680489205441e-05,1.9770836063122e-05,2.43494866541011e-05,8.4251659682725e-05,1.41059767787776e-05,4.96727053693599e-05,3.22848329676478e-05,2.2570157987195e-05,6.2501020706543e-05,2.70975615988336e-05,2.90750215698146e-05,3.3767604596262e-05,3.08929359700225e-05,1.6703428522322e-05,1.24672189559689e-05,0.0002535735463919,8.98682075498777e-05,4.16423766026995e-05,5.4958069224636e-05,3.52411517890445e-05,0.000137155836297319,1.7096670964969e-05,1.50880159075003e-05,3.85814279234405e-06,1.9448315728098e-05,4.53152414842088e-05,2.37297830530356e-05,1.62020851435604e-05,9.73646439205403e-05,3.52308874815957e-05,3.30874028873619e-05,2.62471116633686e-05,2.87666307196993e-05,3.03921445626649e-05,1.78530249975665e-05,1.35523625993389e-05,5.43882254463386e-05,1.46080287652983e-05,9.84550208451208e-05,2.06941071318264e-05,4.19213142083702e-05,0.000145046551091046,7.8726190053287e-06,1.69681217572917e-05,5.52576749657403e-05,2.26222853692701e-05,3.63840758787899e-05,9.70453508306386e-06,1.38385541209452e-05,2.75462284917555e-05,2.17586352646663e-05,1.87042337615179e-05,2.66452781162373e-05,0.000207363823724566,2.68859429488782e-05,7.34326713055783e-06,3.98064767476165e-05,2.10499835360825e-05,2.3927559366565e-05,3.51411687039488e-05,3.8785621430674e-05,1.95641748312966e-05,0.00010945041511492,5.61821521251153e-05,2.10819522875096e-05,5.89788650112594e-05,8.18833129782159e-06,8.20549744222391e-05,1.61538336338871e-05,3.31009451026638e-05,2.23996162102142e-05,2.05328380097481e-06,3.40196372473749e-06,7.5085908542366e-06,1.9733470485866e-05,5.27136385662275e-05,1.97317601325334e-05,9.93822783663222e-06,4.8984838165341e-05,3.28244162775189e-05,1.69132573593215e-05,2.11621873570726e-06,2.5213545710476e-05,6.78220381339201e-06,4.09982878317336e-05,3.25263865323684e-05,6.91106229285661e-05,8.42699907497536e-05
645,2.61850976637054e-05,8.78147003651055e-05,5.71739869055179e-05,2.1301751061525e-05,2.07216246569051e-05,5.18855181861346e-05,0.000117983290944007,2.14025333757018e-05,3.30442097542688e-05,4.93251956707313e-05,3.04107602552883e-05,4.4504401869229e-05,3.32448580649573e-05,2.49831117116218e-05,2.9921479185719e-05,0.000105634615929517,1.80598066030459e-05,6.2886343768821e-05,4.07227789063403e-05,2.86292797887905e-05,8.07824157867254e-05,3.4507664872799e-05,3.69686741636175e-05,4.28317414582978e-05,3.90663154984325e-05,2.11539165023043e-05,1.57077040206893e-05,0.000326414112426855,0.000115131627206907,5.39258631261381e-05,6.99221277954912e-05,4.45422085575626e-05,0.00017475014113313,2.17173512803798e-05,1.93097192982441e-05,4.9051878941701e-06,2.4440041477846e-05,5.9898493970196e-05,2.96359652072065e-05,2.06680060401656e-05,0.000125244108124583,4.46192910354181e-05,4.13899195774497e-05,3.31716915073421e-05,3.68072197661789e-05,3.8528656000733e-05,2.26670870510871e-05,1.71689079300972e-05,6.91908508392142e-05,1.8489217024564e-05,0.000125159073015619,2.62969560475219e-05,5.35832324016168e-05,0.000187338201642343,9.96773928728975e-06,2.16007642802486e-05,7.02102420797634e-05,2.87792273655181e-05,4.6166945913794e-05,1.23981438871497e-05,1.74719392380312e-05,3.43157867886581e-05,2.77908880840881e-05,2.38966729955049e-05,3.39745359148796e-05,0.000263120255574701,3.5150735544643e-05,9.33886819931056e-06,5.06743200356741e-05,2.65888150241149e-05,3.00237324266184e-05,4.33509254312455e-05,4.85305706573223e-05,2.49097255720338e-05,0.000139879501881633,7.07946523802819e-05,2.67375205493362e-05,7.45210293233772e-05,1.03725364287078e-05,0.000103165836686825,1.99818363087973e-05,4.20219229525673e-05,2.85225265779769e-05,2.61900017730083e-06,4.3011316503017e-06,9.48330183399278e-06,2.50484101991866e-05,6.64095758541442e-05,2.47189329909771e-05,1.23833222425019e-05,6.17955924362901e-05,4.15979598611344e-05,2.16455397555767e-05,2.68242925012611e-06,3.21481318444123e-05,8.60153535294132e-06,5.18914169102672e-05,4.10498696285711e-05,8.72379677053509e-05,0.000107543733326135
646,3.23326212087181e-05,0.000110888656860078,7.15495842926207e-05,2.60687637296769e-05,2.54936217823044e-05,6.21658433460996e-05,0.0001470949406968,2.6166292663876e-05,4.03332084426638e-05,5.93970442817241e-05,3.70637585696116e-05,5.48700901831808e-05,4.03025994979566e-05,3.05799122441041e-05,3.58674564135538e-05,0.000128454632581466,2.23999449063983e-05,7.71922427972173e-05,4.97358116870521e-05,3.51571393448984e-05,0.000101862448099915,4.25712806006722e-05,4.5339022106291e-05,5.26413531054496e-05,4.78765416763492e-05,2.59692817656723e-05,1.9181170123435e-05,0.000407829488880225,0.000142902696557223,6.69872864954778e-05,8.61964556874155e-05,5.4596363873516e-05,0.000215619749781453,2.67383652143803e-05,2.39457195954325e-05,6.04854308484434e-06,2.98396522555626e-05,7.67632848042284e-05,3.58775051664816e-05,2.55614629460488e-05,0.000156172147155577,5.47278846934894e-05,5.02754587037986e-05,4.06399784333961e-05,4.56385396305171e-05,4.72834842983074e-05,2.78984328817014e-05,2.10731115691925e-05,8.50420168904871e-05,2.26835782781364e-05,0.000154155131456986,3.23897660396262e-05,6.6362863385381e-05,0.000234340114776997,1.22212781136464e-05,2.66570879557377e-05,8.61169706501951e-05,3.5501927480317e-05,5.67529316352373e-05,1.53102900207409e-05,2.13856291006384e-05,4.14198473006286e-05,3.44012715847504e-05,2.96126882041836e-05,4.18929037950843e-05,0.000323468409795612,4.45199823942069e-05,1.14947471772249e-05,6.24914464011444e-05,3.25212023465639e-05,3.65021032543705e-05,5.2138732328109e-05,5.88624709406263e-05,3.0792182385862e-05,0.000173316239058683,8.64484799374104e-05,3.28548153440757e-05,9.1316777841199e-05,1.2727468435895e-05,0.000125474986223497,2.39614756866813e-05,5.1697988535682e-05,3.5203362948774e-05,3.2370829111829e-06,5.27019906032143e-06,1.16095488714036e-05,3.08133444310152e-05,8.10981052978619e-05,3.00736388713253e-05,1.49661317299665e-05,7.55849570037191e-05,5.10645029492328e-05,2.68469699037493e-05,3.29153518966379e-06,3.97308551410076e-05,1.05753286457972e-05,6.36262022441031e-05,5.02099328337661e-05,0.000106735742800918,0.000132751199023313
647,3.91709298493751e-05,0.000136156553762996,8.78605718593591e-05,3.13084925707839e-05,3.07566160396933e-05,7.36584601316508e-05,0.000179741926420198,3.14781190516808e-05,4.82596318094636e-05,7.05342673407986e-05,4.43144709486846e-05,6.6354463460254e-05,4.79468294891504e-05,3.67003911988e-05,4.25193298410521e-05,0.000153410479904298,2.72335540942706e-05,9.29922779887923e-05,5.95282967650873e-05,4.22970299495315e-05,0.000126660106504093,5.14905857530688e-05,5.42908905988328e-05,6.34483404579516e-05,5.75566865551096e-05,3.12795221164662e-05,2.29821959434818e-05,0.000500337128920331,0.000173870395408844,8.0743591393213e-05,0.000104202140539965,6.56996807813516e-05,0.000260719721924746,3.22930449710462e-05,2.91144590021086e-05,7.32049211002535e-06,3.5828930000961e-05,9.63777996281289e-05,4.26412823483471e-05,3.10151963749661e-05,0.000190998942956107,6.5801841784704e-05,6.0059722068763e-05,4.88600508469978e-05,5.5488942710131e-05,5.68584078297844e-05,3.36879803409021e-05,2.53680262030076e-05,0.000102208473330693,2.73040065513706e-05,0.000186179222076973,3.91342419550285e-05,8.05829208333665e-05,0.000287164700256351,1.46890762575678e-05,3.22728819562368e-05,0.000103211911907519,4.2980782391782e-05,6.84115954123132e-05,1.84858319478612e-05,2.56872419974511e-05,4.90558926094784e-05,4.17622392370899e-05,3.60179985315166e-05,5.05561192010879e-05,0.000389935518840682,5.52291076350613e-05,1.38557947613951e-05,7.55550903198747e-05,3.89907359015391e-05,4.35327694581429e-05,6.1949243287771e-05,7.00757435648542e-05,3.74054908505366e-05,0.000210677534531078,0.000103562126779341,3.9588193322547e-05,0.000109840892994384,1.53103004323435e-05,0.000149459143064244,2.82164188600402e-05,6.23821069232891e-05,4.26189965896432e-05,3.92358756736286e-06,6.3353437687233e-06,1.39445717458107e-05,3.7179643208107e-05,9.7195619837166e-05,3.59722676831058e-05,1.77663207873589e-05,9.07363412247237e-05,6.14630362899816e-05,3.26526460759654e-05,3.95760573628404e-06,4.81616162862971e-05,1.2757316912162e-05,7.65017855547552e-05,6.02553306248189e-05,0.000128132833403434,0.000160407511484986
648,4.68707251047829e-05,0.000163674814653686,0.000106526820595687,3.71521283298448e-05,3.66326750963927e-05,8.69547913544701e-05,0.000216645381237489,3.75156843634074e-05,5.69983220920616e-05,8.31911183687076e-05,5.23406628197602e-05,7.9230145253964e-05,5.63831043081473e-05,4.34837021139407e-05,5.02090109716606e-05,0.000181200928163739,3.26677965720985e-05,0.00011068832487779,7.030459959575e-05,5.01922448967024e-05,0.00015609437985724,6.14677573006045e-05,6.39291048422405e-05,7.55046044360384e-05,6.83398221860507e-05,3.72146353587262e-05,2.72053601601056e-05,0.000606454485715495,0.000208723703569788,9.51117225018382e-05,0.000124360269992698,7.81482223255165e-05,0.000311005117245467,3.85147227544535e-05,3.49343797213152e-05,8.75331871537172e-06,4.25896566537541e-05,0.00011921022408372,5.01141761702887e-05,3.71619468406734e-05,0.000230574677468758,7.80863356379564e-05,7.10584114746971e-05,5.80399871536146e-05,6.65867814024376e-05,6.74552049695605e-05,4.01766472801815e-05,3.01567045179253e-05,0.000120956969890368,3.24633958696219e-05,0.000221967370783335,4.66920886406177e-05,9.65661184192766e-05,0.000346924367841751,1.74269744922228e-05,3.85839354542235e-05,0.00012172911708222,5.14061887780282e-05,8.14124996142153e-05,2.19696281325342e-05,3.04843962171538e-05,5.74214052970189e-05,5.00462445115432e-05,4.32783231214664e-05,6.01199195771273e-05,0.000464048815163296,6.75135354046978e-05,1.64669016489154e-05,9.01624862677123e-05,4.61410060871501e-05,5.12858286462573e-05,7.3227112203463e-05,8.24648098142741e-05,4.49435965438133e-05,0.000252880296183824,0.000122554084888912,4.70920111355692e-05,0.000130568157212591,1.81782055310132e-05,0.000175595027241053,3.28703329213749e-05,7.43272431866699e-05,5.09462987676219e-05,4.69456971058257e-06,7.52274358943394e-06,1.65456102365557e-05,4.42986765572174e-05,0.000115118512411842,4.25912093358469e-05,2.08635539030118e-05,0.0001076331544564,7.30325506315482e-05,3.91976665443512e-05,4.69471007195064e-06,5.76403159663162e-05,1.52012333722377e-05,9.08173085637372e-05,7.14348174785949e-05,0.000151958124701064,0.000191027794354849
649,5.55897946819053e-05,0.000193763863011621,0.00012793940211782,4.37281863018688e-05,4.32402906551548e-05,0.000102487546416961,0.000258543268148839,4.4424334609214e-05,6.67273331043819e-05,9.77474521448482e-05,6.13114816179868e-05,9.37630724282362e-05,6.57825278680387e-05,5.10677416171577e-05,5.9203031107331e-05,0.000212455609612437,3.8810654601867e-05,0.000130659075199703,8.22844456755154e-05,5.8998201108993e-05,0.00019100472854517,7.27009670287182e-05,7.43718385268366e-05,8.90564042876466e-05,8.04517115052525e-05,4.39007359648865e-05,3.19408286003808e-05,0.000728512318923866,0.000248160306292937,0.000110160882731822,0.000147074961010229,9.22104460270502e-05,0.000367464625225295,4.5532874659905e-05,4.15219964051666e-05,1.03783213621944e-05,5.02977254204154e-05,0.00014576264242097,5.84612726230485e-05,4.41312479330831e-05,0.00027569710267691,9.18246417486179e-05,8.35398478210285e-05,6.83741388055054e-05,7.91560748832935e-05,7.92751618980888e-05,4.75015435451395e-05,3.55345203434551e-05,0.000141579891913181,3.82712906616984e-05,0.000262242975102321,5.52209660444823e-05,0.000114634896056385,0.000414788900692394,2.04876501421915e-05,4.57228016644592e-05,0.000141926699628535,6.09563687083806e-05,9.60168085803945e-05,2.58235920295103e-05,3.58812487464092e-05,6.67031933996392e-05,5.94227612996916e-05,5.15481196877795e-05,7.07482141527952e-05,0.000547312927385908,8.16214111182626e-05,1.93781013497924e-05,0.000106601747224611,5.41123539238446e-05,5.99284794142936e-05,8.63536777829321e-05,9.63074432704414e-05,5.35748295000214e-05,0.000300800214280938,0.00014382531378547,5.55198294615357e-05,0.000153961665521311,2.13895535072147e-05,0.000204364046086303,3.80378887220901e-05,8.77792225228507e-05,6.03582196113693e-05,5.56553573186468e-06,8.8570709136068e-06,1.9468365992115e-05,5.23176157771765e-05,0.000135246297225493,5.01014319208923e-05,2.43329417576366e-05,0.000126647848001501,8.60026946927669e-05,4.66150701943883e-05,5.51683513565427e-06,6.83636172952732e-05,1.79588449012436e-05,0.000106860936401965,8.39833326922854e-05,0.000178719239635564,0.000225143560243651
