Input,Value,Set
Cab,40,PROSPECT
Cca,10,PROSPECT
Cdm,0.012,PROSPECT
Cw,0.009,PROSPECT
Cs,0,PROSPECT
Cant,1,PROSPECT
Cp,0,PROSPECT
Cbc,0,PROSPECT
N,1.5,PROSPECT
rho_thermal,0.01,PROSPECT
tau_thermal,0.01,PROSPECT
Vcmax25,60,Leaf_Biochemical
BallBerrySlope,8,Leaf_Biochemical
BallBerry0,0.01,Leaf_Biochemical
Type,C3,Leaf_Biochemical
kV,0.64,Leaf_Biochemical
Rdparam,0.015,Leaf_Biochemical
Kn0,2.48,Leaf_Biochemical
Knalpha,2.83,Leaf_Biochemical
Knbeta,0.114,Leaf_Biochemical
Tyear,15,Leaf_Biochemical_magnani
beta,0.51,Leaf_Biochemical_magnani
kNPQs,0,Leaf_Biochemical_magnani
qLs,1,Leaf_Biochemical_magnani
stressfactor,1,Leaf_Biochemical_magnani
fqe,0.01,Fluorescence
spectrum,1,Soil
rss,500,Soil
rs_thermal,0.06,Soil
cs,1180,Soil
rhos,1800,Soil
lambdas,1.55,Soil
SMC,25,Soil
BSMBrightness,0.5,Soil
BSMlat,25,Soil
BSMlon,45,Soil
LAI,3,Canopy
hc,2,Canopy
LIDFa,-0.35,Canopy
LIDFb,-0.15,Canopy
leafwidth,0.1,Canopy
Cv,1,Canopy
crowndiameter,1,Canopy
z,5,Meteo
Rin,600,Meteo
Ta,20,Meteo
Rli,300,Meteo
p,970,Meteo
ea,15,Meteo
u,2,Meteo
Ca,410,Meteo
Oa,209,Meteo
zo,0.25,Aerodynamic
d,1.34,Aerodynamic
Cd,0.3,Aerodynamic
rb,10,Aerodynamic
CR,0.35,Aerodynamic
CD1,20.6,Aerodynamic
Psicor,0.2,Aerodynamic
CSSOIL,0.01,Aerodynamic
rbs,10,Aerodynamic
rwc,0,Aerodynamic
startDOY,201860101,timeseries
endDOY,201830412,timeseries
LAT,51.55,timeseries
LON,5.55,timeseries
timezn,1,timeseries
tts,30,Angles
tto,0,Angles
psi,0,Angles
