Wvl	R
400	0.0315
401	0.0325
402	0.0319
403	0.0351
404	0.0295
405	0.0231
406	0.0233
407	0.0279
408	0.0318
409	0.0321
410	0.0286
411	0.0327
412	0.0328
413	0.0275
414	0.0303
415	0.0313
416	0.0320
417	0.0348
418	0.0375
419	0.0355
420	0.0329
421	0.0379
422	0.0384
423	0.0372
424	0.0368
425	0.0369
426	0.0388
427	0.0393
428	0.0365
429	0.0401
430	0.0399
431	0.0360
432	0.0385
433	0.0406
434	0.0415
435	0.0413
436	0.0386
437	0.0401
438	0.0430
439	0.0411
440	0.0434
441	0.0441
442	0.0419
443	0.0433
444	0.0437
445	0.0428
446	0.0418
447	0.0444
448	0.0461
449	0.0467
450	0.0486
451	0.0472
452	0.0463
453	0.0477
454	0.0455
455	0.0443
456	0.0450
457	0.0469
458	0.0487
459	0.0482
460	0.0461
461	0.0476
462	0.0483
463	0.0476
464	0.0467
465	0.0482
466	0.0487
467	0.0483
468	0.0494
469	0.0497
470	0.0494
471	0.0491
472	0.0481
473	0.0486
474	0.0501
475	0.0509
476	0.0512
477	0.0514
478	0.0515
479	0.0507
480	0.0503
481	0.0501
482	0.0503
483	0.0536
484	0.0552
485	0.0542
486	0.0527
487	0.0534
488	0.0543
489	0.0545
490	0.0549
491	0.0554
492	0.0561
493	0.0570
494	0.0569
495	0.0569
496	0.0574
497	0.0577
498	0.0579
499	0.0581
500	0.0583
501	0.0590
502	0.0597
503	0.0609
504	0.0628
505	0.0615
506	0.0613
507	0.0634
508	0.0626
509	0.0623
510	0.0626
511	0.0627
512	0.0638
513	0.0643
514	0.0642
515	0.0654
516	0.0661
517	0.0667
518	0.0674
519	0.0683
520	0.0689
521	0.0693
522	0.0697
523	0.0695
524	0.0697
525	0.0707
526	0.0719
527	0.0717
528	0.0716
529	0.0731
530	0.0731
531	0.0731
532	0.0737
533	0.0746
534	0.0752
535	0.0759
536	0.0769
537	0.0775
538	0.0778
539	0.0782
540	0.0793
541	0.0803
542	0.0810
543	0.0811
544	0.0805
545	0.0811
546	0.0823
547	0.0831
548	0.0838
549	0.0844
550	0.0850
551	0.0854
552	0.0859
553	0.0864
554	0.0867
555	0.0875
556	0.0884
557	0.0894
558	0.0898
559	0.0899
560	0.0906
561	0.0915
562	0.0917
563	0.0927
564	0.0937
565	0.0938
566	0.0946
567	0.0953
568	0.0957
569	0.0958
570	0.0966
571	0.0976
572	0.0984
573	0.0989
574	0.0996
575	0.1004
576	0.1008
577	0.1010
578	0.1011
579	0.1016
580	0.1024
581	0.1028
582	0.1031
583	0.1037
584	0.1040
585	0.1046
586	0.1055
587	0.1062
588	0.1064
589	0.1064
