ID,Name,Origin,Refl_file,Specular,m_w,m_d,m_sh,SMCg,Clay,Fine_silt,Coarse_silt,Silt,Fine_sand,Coarse_sand,Sand,Fine_dirt,Gravels,Rocks,OM,CaCO3,Fe,Clay_minerals,Quartz,Feldspars,Calcite,Dolomite,Goethite,Hematite,L,eps,d,K,a,psi,Slope,Intercept
1,petri1,724-Lebna 57,dup20_001.csv,0,82.44,59.65,19.71,57.06,738,nan,nan,194,nan,nan,68,nan,nan,nan,14.4,117,1.35,nan,nan,nan,nan,nan,nan,nan,0.0410,0.43,0.0000,62.77,5.03,196.84,1.0656,0.0214
1,petri1,724-Lebna 58,dup20_002.csv,0,79.32,59.65,19.71,49.25,738,nan,nan,194,nan,nan,68,nan,nan,nan,14.4,117,1.35,nan,nan,nan,nan,nan,nan,nan,0.0356,0.41,0.0000,62.77,5.03,196.84,1.0656,0.0214
1,petri1,724-Lebna 59,dup20_003.csv,0,77.65,59.65,19.71,45.07,738,nan,nan,194,nan,nan,68,nan,nan,nan,14.4,117,1.35,nan,nan,nan,nan,nan,nan,nan,0.0340,0.40,0.0000,62.77,5.03,196.84,1.0656,0.0214
1,petri1,724-Lebna 60,dup20_004.csv,0,75.76,59.65,19.71,40.34,738,nan,nan,194,nan,nan,68,nan,nan,nan,14.4,117,1.35,nan,nan,nan,nan,nan,nan,nan,0.0308,0.38,0.0000,62.77,5.03,196.84,1.0656,0.0214
1,petri1,724-Lebna 61,dup20_005.csv,0,74.11,59.65,19.71,36.20,738,nan,nan,194,nan,nan,68,nan,nan,nan,14.4,117,1.35,nan,nan,nan,nan,nan,nan,nan,0.0284,0.35,0.0000,62.77,5.03,196.84,1.0656,0.0214
1,petri1,724-Lebna 62,dup20_006.csv,0,72.27,59.65,19.71,31.60,738,nan,nan,194,nan,nan,68,nan,nan,nan,14.4,117,1.35,nan,nan,nan,nan,nan,nan,nan,0.0251,0.33,0.0000,62.77,5.03,196.84,1.0656,0.0214
1,petri1,724-Lebna 63,dup20_007.csv,0,70.57,59.65,19.71,27.34,738,nan,nan,194,nan,nan,68,nan,nan,nan,14.4,117,1.35,nan,nan,nan,nan,nan,nan,nan,0.0177,0.34,0.0000,62.77,5.03,196.84,1.0656,0.0214
1,petri1,724-Lebna 64,dup20_008.csv,0,65.42,59.65,19.71,14.45,738,nan,nan,194,nan,nan,68,nan,nan,nan,14.4,117,1.35,nan,nan,nan,nan,nan,nan,nan,0.0075,0.33,0.0345,62.77,5.03,196.84,1.0656,0.0214
1,petri1,724-Lebna 65,dup20_009.csv,0,59.65,59.65,19.71,0.00,738,nan,nan,194,nan,nan,68,nan,nan,nan,14.4,117,1.35,nan,nan,nan,nan,nan,nan,nan,0.0000,0.00,0.0000,62.77,5.03,196.84,1.0656,0.0214
2,petri2,Atacama,dup20_010.csv,0,82.19,73.79,19.71,15.53,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,69.4,10.5,6.1,12.4,0,0,1.6,0.0156,0.61,0.0174,15.88,8.72,2460.46,1.0870,0.0043
2,petri2,Atacama,dup20_011.csv,0,81.18,73.79,19.71,13.66,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,69.4,10.5,6.1,12.4,0,0,1.6,0.0017,0.75,0.0000,15.88,8.72,2460.46,1.0870,0.0043
2,petri2,Atacama,dup20_012.csv,0,79.75,73.79,19.71,11.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,69.4,10.5,6.1,12.4,0,0,1.6,0.0015,0.69,0.0000,15.88,8.72,2460.46,1.0870,0.0043
2,petri2,Atacama,dup20_013.csv,0,78.23,73.79,19.71,8.21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,69.4,10.5,6.1,12.4,0,0,1.6,0.0021,0.47,0.1188,15.88,8.72,2460.46,1.0870,0.0043
2,petri2,Atacama,dup20_014.csv,0,77.02,73.79,19.71,5.97,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,69.4,10.5,6.1,12.4,0,0,1.6,0.0035,0.29,0.2156,15.88,8.72,2460.46,1.0870,0.0043
