Wvl	R
362	0.0611
363	0.0572
364	0.0533
365	0.0494
366	0.0456
367	0.0417
368	0.0378
369	0.0339
370	0.0300
371	0.0329
372	0.0358
373	0.0387
374	0.0416
375	0.0445
376	0.0473
377	0.0502
378	0.0531
379	0.0524
380	0.0518
381	0.0511
382	0.0504
383	0.0497
384	0.0490
385	0.0483
386	0.0477
387	0.0467
388	0.0458
389	0.0448
390	0.0439
391	0.0429
392	0.0419
393	0.0410
394	0.0400
395	0.0393
396	0.0386
397	0.0379
398	0.0371
399	0.0364
400	0.0357
401	0.0349
402	0.0342
403	0.0378
404	0.0413
405	0.0449
406	0.0484
407	0.0520
408	0.0556
409	0.0591
410	0.0627
411	0.0616
412	0.0606
413	0.0596
414	0.0586
415	0.0576
416	0.0565
417	0.0555
418	0.0545
419	0.0550
420	0.0555
421	0.0561
422	0.0566
423	0.0571
424	0.0577
425	0.0582
426	0.0587
427	0.0593
428	0.0599
429	0.0605
430	0.0611
431	0.0617
432	0.0623
433	0.0629
434	0.0635
435	0.0628
436	0.0621
437	0.0615
438	0.0608
439	0.0601
440	0.0594
441	0.0587
442	0.0581
443	0.0598
444	0.0616
445	0.0634
446	0.0652
447	0.0670
448	0.0688
449	0.0706
450	0.0724
451	0.0722
452	0.0721
453	0.0720
454	0.0719
455	0.0717
456	0.0716
457	0.0715
458	0.0714
459	0.0716
460	0.0718
461	0.0720
462	0.0722
463	0.0724
464	0.0726
465	0.0728
466	0.0731
467	0.0731
468	0.0732
469	0.0732
470	0.0733
471	0.0734
472	0.0734
473	0.0735
474	0.0736
475	0.0735
476	0.0734
477	0.0734
478	0.0733
479	0.0732
480	0.0731
481	0.0731
482	0.0730
483	0.0740
484	0.0750
485	0.0761
486	0.0771
487	0.0781
488	0.0791
489	0.0801
490	0.0811
491	0.0817
492	0.0822
493	0.0827
494	0.0832
495	0.0837
496	0.0842
497	0.0848
498	0.0853
499	0.0859
500	0.0866
501	0.0872
502	0.0879
503	0.0885
504	0.0892
505	0.0898
506	0.0905
507	0.0912
508	0.0920
509	0.0928
510	0.0935
511	0.0943
512	0.0951
513	0.0959
514	0.0966
515	0.0973
516	0.0980
517	0.0987
518	0.0994
519	0.1001
520	0.1009
521	0.1016
522	0.1023
523	0.1029
524	0.1036
525	0.1043
526	0.1050
527	0.1056
528	0.1063
529	0.1070
530	0.1076
531	0.1082
532	0.1087
533	0.1093
534	0.1098
535	0.1104
536	0.1109
537	0.1115
538	0.1120
539	0.1128
540	0.1136
541	0.1144
542	0.1152
543	0.1160
544	0.1168
545	0.1175
546	0.1183
547	0.1191
548	0.1198
549	0.1206
550	0.1213
551	0.1220
552	0.1228
553	0.1235
554	0.1243
555	0.1251
556	0.1258
557	0.1266
558	0.1274
559	0.1282
560	0.1290
