Wvl	R
350	0.0530
351	0.0632
352	0.0617
353	0.0548
354	0.0502
355	0.0516
356	0.0566
357	0.0647
358	0.0580
359	0.0541
360	0.0540
361	0.0538
362	0.0545
363	0.0559
364	0.0584
365	0.0557
366	0.0539
367	0.0553
368	0.0558
369	0.0565
370	0.0570
371	0.0556
372	0.0552
373	0.0564
374	0.0602
375	0.0589
376	0.0590
377	0.0624
378	0.0608
379	0.0617
380	0.0638
381	0.0623
382	0.0625
383	0.0632
384	0.0635
385	0.0626
386	0.0642
387	0.0686
388	0.0669
389	0.0668
390	0.0679
391	0.0702
392	0.0696
393	0.0692
394	0.0704
395	0.0713
396	0.0716
397	0.0713
398	0.0727
399	0.0732
400	0.0733
401	0.0740
402	0.0744
403	0.0749
404	0.0758
405	0.0761
406	0.0765
407	0.0771
408	0.0777
409	0.0779
410	0.0779
411	0.0774
412	0.0791
413	0.0803
414	0.0802
415	0.0798
416	0.0796
417	0.0795
418	0.0808
419	0.0817
420	0.0821
421	0.0817
422	0.0828
423	0.0836
424	0.0842
425	0.0849
426	0.0856
427	0.0861
428	0.0860
429	0.0869
430	0.0877
431	0.0880
432	0.0890
433	0.0899
434	0.0907
435	0.0914
436	0.0920
437	0.0927
438	0.0938
439	0.0940
440	0.0946
441	0.0959
442	0.0964
443	0.0969
444	0.0974
445	0.0980
446	0.0986
447	0.0991
448	0.0995
449	0.1002
450	0.1009
451	0.1014
452	0.1016
453	0.1018
454	0.1020
455	0.1024
456	0.1027
457	0.1031
458	0.1038
459	0.1039
460	0.1040
461	0.1043
462	0.1042
463	0.1045
464	0.1049
465	0.1047
466	0.1048
467	0.1051
468	0.1055
469	0.1057
470	0.1059
471	0.1061
472	0.1064
473	0.1067
474	0.1071
475	0.1072
476	0.1079
477	0.1084
478	0.1087
479	0.1089
480	0.1092
481	0.1096
482	0.1102
483	0.1108
484	0.1114
485	0.1120
486	0.1124
487	0.1128
488	0.1134
489	0.1145
490	0.1151
491	0.1156
492	0.1165
493	0.1171
494	0.1177
495	0.1185
496	0.1194
