ID,Name,Origin,Refl_file,Specular,Refl_file_all_config,m_w,m_d,m_sh,SMCg,Clay,Silt,Sand,OM,CaCO3,Fe,CO,L,eps,d,K,a,psi,Slope,Intercept
1,Soil 1,nan,liu02_001.csv,1,liu02_all_config_001.csv,186.1,124.3,12.0,55.0,260,308,432,28.5,10,4.33,16,0.0427,0.47,0.0115,60.50,2.48,145.00,1.0740,0.0104
1,Soil 1,nan,liu02_002.csv,0,liu02_all_config_002.csv,169.9,124.3,12.0,40.6,260,308,432,28.5,10,4.33,16,0.0050,0.94,0.0009,60.50,2.48,145.00,1.0740,0.0104
1,Soil 1,nan,liu02_003.csv,0,liu02_all_config_003.csv,140.1,124.3,12.0,14.1,260,308,432,28.5,10,4.33,16,0.0151,0.36,0.0660,60.50,2.48,145.00,1.0740,0.0104
1,Soil 1,nan,liu02_004.csv,0,liu02_all_config_004.csv,124.3,124.3,12.0,0.0,260,308,432,28.5,10,4.33,16,0.0000,0.00,0.0000,60.50,2.48,145.00,1.0740,0.0104
2,Soil 2,nan,liu02_005.csv,1,liu02_all_config_005.csv,196.8,139.5,12.0,44.9,453,329,218,30.6,3,3.48,17.2,0.0238,0.41,0.0000,49.39,8.45,348.36,1.1099,0.0052
2,Soil 2,nan,liu02_006.csv,1,liu02_all_config_006.csv,176.6,139.5,12.0,29.1,453,329,218,30.6,3,3.48,17.2,0.0198,0.44,0.0176,49.39,8.45,348.36,1.1099,0.0052
2,Soil 2,nan,liu02_007.csv,0,liu02_all_config_007.csv,150.9,139.5,12.0,8.9,453,329,218,30.6,3,3.48,17.2,0.0016,0.80,0.0000,49.39,8.45,348.36,1.1099,0.0052
2,Soil 2,nan,liu02_008.csv,0,liu02_all_config_008.csv,139.5,139.5,12.0,0.0,453,329,218,30.6,3,3.48,17.2,0.0000,0.00,0.0000,49.39,8.45,348.36,1.1099,0.0052
3,Soil 3,nan,liu02_009.csv,1,liu02_all_config_009.csv,196.3,141.2,12.0,42.6,265,300,435,28.7,9,4.56,16.7,0.0384,0.47,0.0155,42.61,6.90,569.37,1.1080,0.0055
3,Soil 3,nan,liu02_010.csv,0,liu02_all_config_010.csv,181,141.2,12.0,30.8,265,300,435,28.7,9,4.56,16.7,0.0052,0.97,0.0154,42.61,6.90,569.37,1.1080,0.0055
3,Soil 3,nan,liu02_011.csv,0,liu02_all_config_011.csv,152.7,141.2,12.0,8.9,265,300,435,28.7,9,4.56,16.7,0.0034,0.31,0.0000,42.61,6.90,569.37,1.1080,0.0055
3,Soil 3,nan,liu02_012.csv,0,liu02_all_config_012.csv,141.2,141.2,12.0,0.0,265,300,435,28.7,9,4.56,16.7,0.0000,0.00,0.0000,42.61,6.90,569.37,1.1080,0.0055
4,Soil 4,nan,liu02_013.csv,1,liu02_all_config_013.csv,175.9,125.4,12.0,44.5,162,503,335,16,1,2.41,9.3,0.0305,0.49,0.0226,40.30,20.70,1058.60,1.0755,0.0223
4,Soil 4,nan,liu02_014.csv,0,liu02_all_config_014.csv,166.3,125.4,12.0,36.1,162,503,335,16,1,2.41,9.3,0.0318,0.50,0.0575,40.30,20.70,1058.60,1.0755,0.0223
4,Soil 4,nan,liu02_015.csv,0,liu02_all_config_015.csv,142.8,125.4,12.0,15.3,162,503,335,16,1,2.41,9.3,0.0024,1.00,0.0511,40.30,20.70,1058.60,1.0755,0.0223
4,Soil 4,nan,liu02_016.csv,0,liu02_all_config_016.csv,125.4,125.4,12.0,0.0,162,503,335,16,1,2.41,9.3,0.0000,0.00,0.0000,40.30,20.70,1058.60,1.0755,0.0223
5,Soil 5,HuBei(China),liu02_017.csv,1,liu02_all_config_017.csv,193.6,140,12.0,41.9,213,615,171,10.5,76,3.75,6.1,0.0023,0.88,0.0000,37.49,202492.09,8265.59,1.0602,0.0053
5,Soil 5,HuBei(China),liu02_018.csv,0,liu02_all_config_018.csv,182.1,140,12.0,32.9,213,615,171,10.5,76,3.75,6.1,0.0025,1.00,0.1077,37.49,202492.09,8265.59,1.0602,0.0053
5,Soil 5,HuBei(China),liu02_019.csv,0,liu02_all_config_019.csv,159,140,12.0,14.8,213,615,171,10.5,76,3.75,6.1,0.0014,1.00,0.1462,37.49,202492.09,8265.59,1.0602,0.0053
5,Soil 5,HuBei(China),liu02_020.csv,0,liu02_all_config_020.csv,140,140,12.0,0.0,213,615,171,10.5,76,3.75,6.1,0.0000,0.00,0.0000,37.49,202492.09,8265.59,1.0602,0.0053
6,Soil 6,Uk6,liu02_021.csv,1,liu02_all_config_021.csv,194.1,141.2,12.0,40.9,115,219,666,29.8,1,2.2,17.3,0.0484,0.55,0.0204,43.31,6.10,173.39,1.1648,0.0117
6,Soil 6,Uk6,liu02_022.csv,0,liu02_all_config_022.csv,183.5,141.2,12.0,32.7,115,219,666,29.8,1,2.2,17.3,0.0311,0.54,0.0461,43.31,6.10,173.39,1.1648,0.0117
6,Soil 6,Uk6,liu02_023.csv,0,liu02_all_config_023.csv,159.2,141.2,12.0,13.9,115,219,666,29.8,1,2.2,17.3,0.0136,0.45,0.0863,43.31,6.10,173.39,1.1648,0.0117
6,Soil 6,Uk6,liu02_024.csv,0,liu02_all_config_024.csv,141.2,141.2,12.0,0.0,115,219,666,29.8,1,2.2,17.3,0.0000,0.00,0.0000,43.31,6.10,173.39,1.1648,0.0117
7,Soil 7,XinJiang(China),liu02_025.csv,1,liu02_all_config_025.csv,213.1,171.8,12.0,25.8,107,341,552,4.6,193,2.27,2.7,0.0466,0.25,0.0032,25.80,12.77,1102.29,1.0491,0.0097
7,Soil 7,XinJiang(China),liu02_026.csv,0,liu02_all_config_026.csv,200.6,171.8,12.0,18.0,107,341,552,4.6,193,2.27,2.7,0.0031,1.00,0.1046,25.80,12.77,1102.29,1.0491,0.0097
7,Soil 7,XinJiang(China),liu02_027.csv,0,liu02_all_config_027.csv,177.4,171.8,12.0,3.5,107,341,552,4.6,193,2.27,2.7,0.0055,0.12,0.1218,25.80,12.77,1102.29,1.0491,0.0097
7,Soil 7,XinJiang(China),liu02_028.csv,0,liu02_all_config_028.csv,171.8,171.8,12.0,0.0,107,341,552,4.6,193,2.27,2.7,0.0000,0.00,0.0000,25.80,12.77,1102.29,1.0491,0.0097
8,Soil 8,nan,liu02_029.csv,1,liu02_all_config_029.csv,188.6,130,12.0,49.7,361,565,74,33.2,1,3.05,19.3,0.0361,0.39,0.0132,54.67,9.34,237.86,1.1994,0.0031
8,Soil 8,nan,liu02_030.csv,0,liu02_all_config_030.csv,164,130,12.0,28.8,361,565,74,33.2,1,3.05,19.3,0.0257,0.48,0.0626,54.67,9.34,237.86,1.1994,0.0031
8,Soil 8,nan,liu02_031.csv,0,liu02_all_config_031.csv,140.5,130,12.0,8.9,361,565,74,33.2,1,3.05,19.3,0.0057,0.20,0.1068,54.67,9.34,237.86,1.1994,0.0031
8,Soil 8,nan,liu02_032.csv,0,liu02_all_config_032.csv,130,130,12.0,0.0,361,565,74,33.2,1,3.05,19.3,0.0000,0.00,0.0000,54.67,9.34,237.86,1.1994,0.0031
9,Soil 9,HaiNan(China),liu02_033.csv,1,liu02_all_config_033.csv,183.3,125.3,12.0,51.2,162,282,556,32.9,4,1.04,19.1,0.0494,0.58,0.0271,56.32,3.47,113.74,1.1333,0.0231
9,Soil 9,HaiNan(China),liu02_034.csv,0,liu02_all_config_034.csv,172.2,125.3,12.0,41.4,162,282,556,32.9,4,1.04,19.1,0.0364,0.58,0.0513,56.32,3.47,113.74,1.1333,0.0231
