Wvl	R
350	0.0438
351	0.0453
352	0.0463
353	0.0465
354	0.0469
355	0.0535
356	0.0560
357	0.0568
358	0.0577
359	0.0604
360	0.0618
361	0.0611
362	0.0615
363	0.0629
364	0.0646
365	0.0625
366	0.0616
367	0.0619
368	0.0645
369	0.0659
370	0.0664
371	0.0659
372	0.0673
373	0.0670
374	0.0653
375	0.0671
376	0.0688
377	0.0702
378	0.0702
379	0.0718
380	0.0724
381	0.0712
382	0.0727
383	0.0735
384	0.0736
385	0.0749
386	0.0754
387	0.0756
388	0.0760
389	0.0767
390	0.0773
391	0.0771
392	0.0785
393	0.0793
394	0.0794
395	0.0809
396	0.0813
397	0.0812
398	0.0820
399	0.0834
400	0.0843
401	0.0842
402	0.0855
403	0.0861
404	0.0857
405	0.0864
406	0.0869
407	0.0876
408	0.0892
409	0.0901
410	0.0904
411	0.0898
412	0.0904
413	0.0910
414	0.0915
415	0.0924
416	0.0929
417	0.0932
418	0.0941
419	0.0948
420	0.0954
421	0.0961
422	0.0962
423	0.0966
424	0.0973
425	0.0981
426	0.0986
427	0.0989
428	0.0999
429	0.1004
430	0.1009
431	0.1017
432	0.1023
433	0.1028
434	0.1036
435	0.1038
436	0.1043
437	0.1049
438	0.1054
439	0.1059
440	0.1065
441	0.1072
442	0.1077
443	0.1081
444	0.1083
445	0.1088
446	0.1093
447	0.1099
448	0.1107
449	0.1111
450	0.1114
451	0.1118
452	0.1122
453	0.1126
454	0.1129
455	0.1135
456	0.1139
457	0.1142
458	0.1145
459	0.1149
460	0.1152
461	0.1156
462	0.1160
463	0.1165
464	0.1170
465	0.1174
466	0.1178
467	0.1182
468	0.1183
469	0.1187
470	0.1191
471	0.1195
472	0.1200
473	0.1204
474	0.1207
475	0.1209
476	0.1213
477	0.1219
478	0.1224
479	0.1229
480	0.1232
481	0.1238
482	0.1241
483	0.1245
484	0.1250
485	0.1253
486	0.1257
487	0.1262
488	0.1267
489	0.1272
490	0.1277
491	0.1281
492	0.1286
493	0.1291
494	0.1296
495	0.1301
496	0.1306
497	0.1311
498	0.1317
499	0.1322
500	0.1326
501	0.1331
502	0.1336
503	0.1341
504	0.1347
505	0.1353
506	0.1358
507	0.1363
508	0.1368
509	0.1373
510	0.1378
511	0.1382
512	0.1388
513	0.1394
514	0.1401
515	0.1407
516	0.1412
517	0.1416
518	0.1421
519	0.1426
520	0.1432
521	0.1439
522	0.1443
523	0.1447
524	0.1453
525	0.1458
526	0.1463
527	0.1470
528	0.1475
529	0.1481
530	0.1486
531	0.1492
532	0.1497
533	0.1502
534	0.1507
535	0.1512
536	0.1517
537	0.1523
538	0.1527
539	0.1533
540	0.1539
541	0.1545
542	0.1550
543	0.1555
544	0.1559
545	0.1564
546	0.1570
547	0.1576
548	0.1581
549	0.1587
550	0.1592
551	0.1596
552	0.1602
553	0.1607
554	0.1612
555	0.1618
556	0.1623
557	0.1628
558	0.1634
559	0.1640
560	0.1645
561	0.1651
562	0.1656
563	0.1660
564	0.1666
565	0.1672
566	0.1677
567	0.1682
568	0.1687
569	0.1693
570	0.1699
571	0.1704
572	0.1709
573	0.1714
574	0.1720
575	0.1725
576	0.1730
577	0.1737
578	0.1741
579	0.1746
580	0.1752
581	0.1758
582	0.1763
583	0.1768
584	0.1773
585	0.1779
586	0.1784
587	0.1789
588	0.1795
589	0.1802
590	0.1808
591	0.1816
592	0.1823
593	0.1830
594	0.1834
595	0.1838
596	0.1843
597	0.1847
598	0.1852
599	0.1856
600	0.1861
601	0.1864
602	0.1868
603	0.1873
604	0.1877
605	0.1882
606	0.1889
607	0.1897
608	0.1905
609	0.1911
610	0.1917
611	0.1923
612	0.1930
613	0.1937
614	0.1943
615	0.1948
616	0.1952
617	0.1957
618	0.1963
619	0.1969
620	0.1975
621	0.1979
622	0.1983
623	0.1989
624	0.1995
625	0.2001
626	0.2008
627	0.2015
628	0.2021
629	0.2028
630	0.2035
631	0.2041
632	0.2048
633	0.2056
634	0.2062
635	0.2069
636	0.2076
637	0.2083
638	0.2090
639	0.2097
640	0.2105
641	0.2113
642	0.2120
643	0.2127
644	0.2134
645	0.2141
646	0.2149
647	0.2157
648	0.2165
649	0.2172
650	0.2179
651	0.2186
652	0.2194
653	0.2201
654	0.2210
655	0.2217
656	0.2224
657	0.2233
658	0.2240
659	0.2247
660	0.2256
661	0.2264
662	0.2272
663	0.2279
664	0.2287
665	0.2294
666	0.2302
667	0.2311
668	0.2319
669	0.2327
670	0.2335
671	0.2343
672	0.2351
673	0.2359
674	0.2367
675	0.2375
676	0.2383
677	0.2391
678	0.2399
679	0.2408
680	0.2415
681	0.2423
682	0.2432
683	0.2441
684	0.2449
685	0.2457
686	0.2465
687	0.2473
688	0.2481
689	0.2490
690	0.2498
691	0.2506
692	0.2514
693	0.2523
694	0.2531
695	0.2539
696	0.2547
697	0.2555
698	0.2563
699	0.2571
700	0.2580
701	0.2587
702	0.2596
703	0.2605
704	0.2613
705	0.2621
706	0.2629
707	0.2638
708	0.2646
709	0.2654
710	0.2663
711	0.2671
712	0.2679
713	0.2687
714	0.2696
715	0.2704
716	0.2712
717	0.2720
718	0.2728
719	0.2736
720	0.2745
721	0.2753
722	0.2761
723	0.2769
724	0.2778
725	0.2786
726	0.2794
727	0.2803
728	0.2811
729	0.2819
730	0.2827
731	0.2836
732	0.2844
733	0.2852
734	0.2860
735	0.2868
736	0.2877
737	0.2885
738	0.2893
739	0.2902
740	0.2910
741	0.2919
742	0.2927
743	0.2935
744	0.2943
745	0.2951
746	0.2960
747	0.2969
748	0.2977
749	0.2985
750	0.2993
751	0.3001
752	0.3009
753	0.3017
754	0.3025
755	0.3034
756	0.3043
757	0.3051
758	0.3058
759	0.3066
760	0.3075
761	0.3082
762	0.3090
763	0.3099
764	0.3107
765	0.3115
766	0.3123
767	0.3132
768	0.3138
769	0.3144
770	0.3153
771	0.3161
772	0.3169
773	0.3176
774	0.3184
775	0.3192
776	0.3200
777	0.3207
778	0.3216
779	0.3224
780	0.3231
781	0.3239
782	0.3247
783	0.3253
784	0.3262
785	0.3270
786	0.3277
787	0.3284
788	0.3291
789	0.3298
790	0.3307
791	0.3313
792	0.3321
793	0.3329
794	0.3336
795	0.3343
796	0.3351
797	0.3358
798	0.3365
799	0.3372
800	0.3379
801	0.3387
802	0.3394
803	0.3401
804	0.3407
805	0.3414
806	0.3421
807	0.3430
808	0.3438
809	0.3445
810	0.3452
811	0.3458
812	0.3465
813	0.3470
814	0.3479
815	0.3487
816	0.3495
817	0.3501
818	0.3509
819	0.3517
820	0.3522
821	0.3530
822	0.3536
823	0.3542
824	0.3549
825	0.3557
826	0.3563
827	0.3569
828	0.3575
829	0.3582
830	0.3589
831	0.3596
832	0.3603
833	0.3611
834	0.3617
835	0.3623
836	0.3631
837	0.3637
838	0.3644
839	0.3652
840	0.3659
841	0.3664
842	0.3669
843	0.3677
844	0.3683
845	0.3690
846	0.3697
847	0.3703
848	0.3709
849	0.3715
850	0.3721
851	0.3727
852	0.3735
853	0.3742
854	0.3749
855	0.3755
856	0.3762
857	0.3767
858	0.3773
859	0.3779
860	0.3787
861	0.3795
862	0.3802
863	0.3808
864	0.3813
865	0.3818
866	0.3825
867	0.3831
868	0.3837
869	0.3843
870	0.3850
871	0.3856
872	0.3862
873	0.3868
874	0.3874
875	0.3881
876	0.3887
877	0.3893
878	0.3899
879	0.3906
880	0.3911
881	0.3917
882	0.3924
883	0.3932
884	0.3936
885	0.3940
886	0.3946
887	0.3953
888	0.3960
889	0.3968
890	0.3971
891	0.3978
892	0.3985
893	0.3989
894	0.3995
895	0.4002
896	0.4009
897	0.4011
898	0.4017
899	0.4025
900	0.4026
901	0.4033
902	0.4041
903	0.4047
904	0.4051
905	0.4057
906	0.4067
907	0.4070
908	0.4075
909	0.4081
910	0.4089
911	0.4093
912	0.4096
913	0.4102
914	0.4108
915	0.4115
916	0.4121
917	0.4126
918	0.4132
919	0.4138
920	0.4144
921	0.4148
922	0.4152
923	0.4160
924	0.4164
925	0.4168
926	0.4174
927	0.4182
928	0.4188
929	0.4191
930	0.4194
931	0.4199
932	0.4205
933	0.4211
934	0.4218
935	0.4223
936	0.4226
937	0.4231
938	0.4236
939	0.4240
940	0.4244
941	0.4253
942	0.4261
943	0.4259
944	0.4266
945	0.4275
946	0.4279
947	0.4283
948	0.4287
949	0.4291
950	0.4300
951	0.4306
952	0.4311
953	0.4313
954	0.4318
955	0.4322
956	0.4328
957	0.4332
958	0.4336
959	0.4339
960	0.4351
961	0.4357
962	0.4361
963	0.4368
964	0.4370
965	0.4370
966	0.4371
967	0.4379
968	0.4385
969	0.4386
970	0.4392
971	0.4399
972	0.4407
973	0.4406
974	0.4410
975	0.4416
976	0.4416
977	0.4418
978	0.4427
979	0.4436
980	0.4444
981	0.4451
982	0.4454
983	0.4456
984	0.4457
985	0.4459
986	0.4463
987	0.4468
988	0.4474
989	0.4479
990	0.4482
991	0.4486
992	0.4491
993	0.4497
994	0.4503
995	0.4510
996	0.4517
997	0.4523
998	0.4527
999	0.4528
1000	0.4528
1001	0.4534
1002	0.4541
1003	0.4545
