Wvl	R
350	0.0374
351	0.0365
352	0.0357
353	0.0349
354	0.0340
355	0.0332
356	0.0324
357	0.0315
358	0.0307
359	0.0299
360	0.0290
361	0.0289
362	0.0288
363	0.0287
364	0.0286
365	0.0285
366	0.0284
367	0.0283
368	0.0281
369	0.0280
370	0.0279
371	0.0286
372	0.0293
373	0.0300
374	0.0307
375	0.0314
376	0.0321
377	0.0328
378	0.0335
379	0.0342
380	0.0349
381	0.0348
382	0.0346
383	0.0345
384	0.0343
385	0.0341
386	0.0340
387	0.0338
388	0.0337
389	0.0335
390	0.0333
391	0.0334
392	0.0335
393	0.0336
394	0.0337
395	0.0338
396	0.0338
397	0.0339
398	0.0340
399	0.0341
400	0.0342
401	0.0344
402	0.0346
403	0.0348
404	0.0350
405	0.0352
406	0.0354
407	0.0356
408	0.0359
409	0.0361
410	0.0363
411	0.0365
412	0.0368
413	0.0370
414	0.0372
415	0.0375
416	0.0377
417	0.0380
418	0.0382
419	0.0385
420	0.0387
421	0.0388
422	0.0390
423	0.0391
424	0.0392
425	0.0393
426	0.0395
427	0.0396
428	0.0397
429	0.0399
430	0.0400
431	0.0402
432	0.0405
433	0.0408
434	0.0410
435	0.0413
436	0.0416
437	0.0418
438	0.0421
439	0.0424
440	0.0426
441	0.0429
442	0.0431
443	0.0434
444	0.0436
445	0.0439
446	0.0441
447	0.0444
448	0.0447
449	0.0449
450	0.0452
451	0.0454
452	0.0457
453	0.0460
454	0.0463
455	0.0465
456	0.0468
457	0.0471
458	0.0474
459	0.0476
460	0.0479
461	0.0481
462	0.0482
463	0.0484
464	0.0486
465	0.0487
466	0.0489
467	0.0490
468	0.0492
469	0.0493
470	0.0495
471	0.0497
472	0.0499
473	0.0501
474	0.0503
475	0.0506
476	0.0508
477	0.0510
478	0.0512
479	0.0514
480	0.0516
481	0.0519
482	0.0522
483	0.0525
484	0.0528
485	0.0530
486	0.0533
487	0.0536
488	0.0539
489	0.0542
490	0.0544
491	0.0547
492	0.0550
493	0.0553
494	0.0556
495	0.0559
496	0.0562
497	0.0565
498	0.0568
499	0.0571
500	0.0574
501	0.0577
502	0.0580
503	0.0584
504	0.0587
505	0.0591
506	0.0594
507	0.0598
508	0.0601
509	0.0605
510	0.0608
511	0.0611
512	0.0615
513	0.0618
514	0.0621
515	0.0625
516	0.0628
517	0.0631
518	0.0635
519	0.0638
520	0.0641
521	0.0645
522	0.0648
523	0.0652
524	0.0655
525	0.0659
526	0.0662
527	0.0666
528	0.0669
529	0.0673
530	0.0676
531	0.0680
532	0.0684
533	0.0688
534	0.0692
535	0.0696
536	0.0700
537	0.0704
538	0.0708
539	0.0712
540	0.0716
541	0.0720
542	0.0725
543	0.0729
544	0.0733
545	0.0737
546	0.0741
547	0.0745
548	0.0749
549	0.0753
550	0.0757
551	0.0762
552	0.0766
553	0.0770
554	0.0775
555	0.0779
556	0.0783
557	0.0788
558	0.0792
559	0.0797
560	0.0801
561	0.0805
562	0.0810
563	0.0814
564	0.0819
565	0.0823
566	0.0827
567	0.0832
568	0.0836
569	0.0840
570	0.0845
571	0.0849
572	0.0853
573	0.0858
574	0.0862
575	0.0866
576	0.0871
577	0.0875
578	0.0879
579	0.0883
580	0.0888
581	0.0892
582	0.0896
583	0.0900
584	0.0904
585	0.0909
586	0.0913
587	0.0917
588	0.0921
589	0.0925
590	0.0930
591	0.0933
592	0.0937
593	0.0941
594	0.0945
595	0.0948
596	0.0952
597	0.0956
598	0.0960
599	0.0963
600	0.0967
601	0.0971
602	0.0974
603	0.0978
604	0.0981
605	0.0985
606	0.0988
607	0.0992
608	0.0995
609	0.0999
610	0.1002
611	0.1006
612	0.1009
613	0.1013
614	0.1016
615	0.1020
616	0.1024
617	0.1027
618	0.1031
619	0.1034
620	0.1038
621	0.1041
622	0.1044
623	0.1048
624	0.1051
625	0.1054
626	0.1057
627	0.1060
628	0.1063
629	0.1067
630	0.1070
631	0.1073
632	0.1076
633	0.1079
634	0.1082
635	0.1085
636	0.1088
637	0.1091
638	0.1094
639	0.1097
640	0.1100
641	0.1104
642	0.1107
643	0.1111
644	0.1114
645	0.1118
646	0.1122
647	0.1125
648	0.1129
649	0.1132
650	0.1136
651	0.1139
652	0.1143
653	0.1146
654	0.1150
655	0.1153
656	0.1156
657	0.1160
658	0.1163
659	0.1167
660	0.1170
661	0.1173
662	0.1177
663	0.1180
664	0.1184
665	0.1187
666	0.1190
667	0.1194
668	0.1197
669	0.1200
670	0.1204
671	0.1207
672	0.1210
673	0.1214
674	0.1217
675	0.1220
676	0.1224
677	0.1227
678	0.1230
679	0.1234
680	0.1237
681	0.1240
682	0.1244
683	0.1247
684	0.1250
685	0.1253
686	0.1257
687	0.1260
688	0.1263
689	0.1266
690	0.1270
691	0.1273
692	0.1276
693	0.1280
694	0.1283
695	0.1286
696	0.1290
697	0.1293
698	0.1296
699	0.1300
700	0.1303
701	0.1306
702	0.1309
703	0.1312
704	0.1316
705	0.1319
706	0.1322
707	0.1325
708	0.1328
709	0.1332
710	0.1335
711	0.1337
712	0.1340
713	0.1343
714	0.1346
715	0.1349
716	0.1351
717	0.1354
718	0.1357
719	0.1360
720	0.1363
721	0.1366
722	0.1369
723	0.1372
724	0.1375
725	0.1378
726	0.1381
727	0.1384
728	0.1387
729	0.1390
730	0.1393
731	0.1396
732	0.1399
733	0.1402
734	0.1405
735	0.1408
736	0.1411
737	0.1413
738	0.1416
739	0.1419
740	0.1422
741	0.1425
742	0.1428
743	0.1431
744	0.1433
745	0.1436
746	0.1439
747	0.1442
748	0.1445
749	0.1448
750	0.1451
751	0.1453
752	0.1456
753	0.1458
754	0.1461
755	0.1464
756	0.1466
757	0.1469
758	0.1472
759	0.1474
760	0.1477
761	0.1480
762	0.1482
763	0.1485
764	0.1488
765	0.1490
766	0.1493
767	0.1495
768	0.1498
769	0.1501
770	0.1503
771	0.1506
772	0.1508
773	0.1510
774	0.1513
775	0.1515
776	0.1518
777	0.1520
778	0.1522
779	0.1525
780	0.1527
781	0.1530
782	0.1532
783	0.1535
784	0.1537
785	0.1540
786	0.1542
787	0.1544
788	0.1547
789	0.1549
790	0.1552
791	0.1554
792	0.1557
793	0.1559
794	0.1562
795	0.1564
796	0.1566
797	0.1569
798	0.1571
799	0.1574
800	0.1576
801	0.1578
802	0.1580
803	0.1583
804	0.1585
805	0.1587
806	0.1589
807	0.1592
808	0.1594
809	0.1596
810	0.1598
811	0.1600
812	0.1603
813	0.1605
814	0.1607
815	0.1609
816	0.1611
817	0.1613
818	0.1615
819	0.1617
820	0.1619
821	0.1621
822	0.1623
823	0.1625
824	0.1627
825	0.1629
826	0.1632
827	0.1634
828	0.1636
829	0.1638
830	0.1640
831	0.1642
832	0.1644
833	0.1646
834	0.1649
835	0.1651
836	0.1653
837	0.1655
838	0.1657
839	0.1659
840	0.1661
841	0.1663
842	0.1665
843	0.1667
844	0.1669
845	0.1671
846	0.1673
847	0.1675
848	0.1677
849	0.1679
850	0.1681
851	0.1683
852	0.1685
853	0.1687
854	0.1689
855	0.1692
856	0.1694
857	0.1696
858	0.1698
859	0.1700
860	0.1702
861	0.1704
862	0.1706
863	0.1707
864	0.1709
865	0.1711
866	0.1713
867	0.1715
868	0.1716
869	0.1718
870	0.1720
871	0.1722
872	0.1724
873	0.1726
874	0.1727
875	0.1729
876	0.1731
877	0.1733
878	0.1735
879	0.1737
880	0.1739
881	0.1741
882	0.1743
883	0.1745
884	0.1747
885	0.1749
886	0.1751
887	0.1753
888	0.1755
889	0.1757
890	0.1759
891	0.1760
892	0.1762
893	0.1764
894	0.1765
895	0.1767
896	0.1768
897	0.1770
898	0.1772
899	0.1773
900	0.1775
901	0.1777
902	0.1778
903	0.1780
904	0.1782
905	0.1784
906	0.1786
907	0.1788
908	0.1790
909	0.1791
910	0.1793
911	0.1795
912	0.1798
913	0.1800
914	0.1802
915	0.1804
916	0.1806
917	0.1809
918	0.1811
919	0.1813
920	0.1815
921	0.1816
922	0.1818
923	0.1819
924	0.1820
925	0.1821
926	0.1822
927	0.1823
928	0.1825
929	0.1826
930	0.1827
931	0.1829
932	0.1831
933	0.1833
934	0.1835
935	0.1837
936	0.1839
937	0.1841
938	0.1843
939	0.1845
940	0.1847
941	0.1849
942	0.1851
943	0.1853
944	0.1855
945	0.1856
946	0.1858
947	0.1860
948	0.1862
949	0.1863
950	0.1865
951	0.1866
952	0.1867
953	0.1869
954	0.1870
955	0.1871
956	0.1872
957	0.1873
958	0.1874
959	0.1875
960	0.1876
961	0.1879
962	0.1881
963	0.1883
964	0.1885
965	0.1887
966	0.1890
967	0.1892
968	0.1894
969	0.1896
970	0.1899
971	0.1899
972	0.1900
973	0.1901
974	0.1901
975	0.1902
976	0.1903
977	0.1904
978	0.1904
979	0.1905
980	0.1906
981	0.1907
982	0.1909
983	0.1910
984	0.1912
985	0.1914
986	0.1915
987	0.1917
988	0.1918
989	0.1920
990	0.1921
991	0.1923
992	0.1925
993	0.1926
994	0.1928
995	0.1930
996	0.1931
997	0.1933
998	0.1935
999	0.1937
1000	0.1938
1001	0.1940
1002	0.1942
1003	0.1944
1004	0.1946
1005	0.1948
1006	0.1950
1007	0.1951
1008	0.1953
1009	0.1955
1010	0.1957
1011	0.1959
1012	0.1960
1013	0.1962
1014	0.1964
1015	0.1965
1016	0.1967
1017	0.1969
1018	0.1970
1019	0.1972
1020	0.1974
1021	0.1976
1022	0.1978
1023	0.1980
1024	0.1982
1025	0.1984
1026	0.1986
1027	0.1988
1028	0.1989
1029	0.1991
1030	0.1993
1031	0.1994
1032	0.1995
1033	0.1996
1034	0.1997
1035	0.1998
1036	0.1999
1037	0.2000
1038	0.2001
1039	0.2002
1040	0.2003
1041	0.2004
1042	0.2006
1043	0.2008
1044	0.2009
1045	0.2011
1046	0.2013
1047	0.2014
1048	0.2016
1049	0.2018
1050	0.2019
1051	0.2021
1052	0.2022
1053	0.2023
1054	0.2024
1055	0.2025
1056	0.2026
1057	0.2028
1058	0.2029
1059	0.2030
1060	0.2031
1061	0.2033
1062	0.2034
1063	0.2036
1064	0.2038
1065	0.2039
1066	0.2041
1067	0.2042
1068	0.2044
1069	0.2046
1070	0.2047
1071	0.2049
1072	0.2051
1073	0.2053
1074	0.2056
1075	0.2058
1076	0.2060
1077	0.2062
1078	0.2064
1079	0.2066
1080	0.2068
1081	0.2069
1082	0.2070
1083	0.2071
1084	0.2072
1085	0.2072
1086	0.2073
1087	0.2074
1088	0.2075
1089	0.2076
1090	0.2077
1091	0.2079
1092	0.2081
1093	0.2083
1094	0.2085
1095	0.2087
1096	0.2090
1097	0.2092
1098	0.2094
1099	0.2096
1100	0.2098
1101	0.2099
1102	0.2100
1103	0.2102
1104	0.2103
1105	0.2104
1106	0.2105
1107	0.2106
1108	0.2107
1109	0.2109
1110	0.2110
1111	0.2111
1112	0.2112
1113	0.2113
1114	0.2115
1115	0.2116
1116	0.2117
1117	0.2118
1118	0.2119
1119	0.2121
1120	0.2122
1121	0.2123
1122	0.2125
1123	0.2126
1124	0.2127
1125	0.2129
1126	0.2130
1127	0.2132
1128	0.2133
1129	0.2134
1130	0.2136
1131	0.2138
1132	0.2140
1133	0.2142
1134	0.2145
1135	0.2147
1136	0.2149
1137	0.2151
1138	0.2153
1139	0.2156
1140	0.2158
1141	0.2158
1142	0.2159
1143	0.2160
1144	0.2160
1145	0.2161
1146	0.2161
1147	0.2162
1148	0.2163
1149	0.2163
1150	0.2164
1151	0.2165
1152	0.2166
1153	0.2167
1154	0.2168
1155	0.2169
1156	0.2170
1157	0.2172
1158	0.2173
1159	0.2174
1160	0.2175
1161	0.2176
1162	0.2176
1163	0.2177
1164	0.2178
1165	0.2179
1166	0.2180
1167	0.2181
1168	0.2181
1169	0.2182
1170	0.2183
1171	0.2185
1172	0.2186
1173	0.2188
1174	0.2190
1175	0.2191
1176	0.2193
1177	0.2195
1178	0.2196
1179	0.2198
1180	0.2200
1181	0.2201
1182	0.2202
1183	0.2202
1184	0.2203
1185	0.2204
1186	0.2205
1187	0.2206
1188	0.2207
1189	0.2208
1190	0.2209
1191	0.2210
1192	0.2210
1193	0.2211
1194	0.2211
1195	0.2212
1196	0.2212
1197	0.2213
1198	0.2214
1199	0.2214
1200	0.2215
1201	0.2216
1202	0.2217
1203	0.2218
1204	0.2219
1205	0.2220
1206	0.2221
1207	0.2222
1208	0.2223
1209	0.2224
1210	0.2225
1211	0.2227
1212	0.2229
1213	0.2230
1214	0.2232
1215	0.2233
1216	0.2235
1217	0.2236
1218	0.2238
1219	0.2239
1220	0.2241
1221	0.2242
1222	0.2243
1223	0.2243
1224	0.2244
1225	0.2245
1226	0.2246
1227	0.2247
1228	0.2247
1229	0.2248
1230	0.2249
1231	0.2250
