ID,Name,Origin,Refl_file,Specular,m_w_tot,m_d_tot,m_sh,SMCg,SMCv,Density,Remarks,L,eps,d,K,a,psi,Slope,Intercept
1,Sol 1 (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_001.csv,0,791,591,19,35.0,37.8,1.1,nan,0.0257,0.59,0.0221,32.59,1975.87,687.78,0.9956,0.0406
1,Sol 1 (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_002.csv,0,783,591,19,33.6,36.3,1.1,nan,0.0295,0.56,0.0223,32.59,1975.87,687.78,0.9956,0.0406
1,Sol 1 (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_003.csv,0,773,591,19,31.8,34.4,1.1,nan,0.0267,0.56,0.0247,32.59,1975.87,687.78,0.9956,0.0406
1,Sol 1 (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_004.csv,0,765,591,19,30.4,32.9,1.1,nan,0.0261,0.60,0.0222,32.59,1975.87,687.78,0.9956,0.0406
1,Sol 1 (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_005.csv,0,755,591,19,28.7,31.0,1.1,nan,0.0269,0.57,0.0240,32.59,1975.87,687.78,0.9956,0.0406
1,Sol 1 (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_006.csv,0,745,591,19,26.9,29.1,1.1,nan,0.0243,0.58,0.0266,32.59,1975.87,687.78,0.9956,0.0406
1,Sol 1 (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_007.csv,0,735,591,19,25.2,27.2,1.1,nan,0.0241,0.57,0.0273,32.59,1975.87,687.78,0.9956,0.0406
1,Sol 1 (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_008.csv,0,725,591,19,23.4,25.3,1.1,nan,0.0221,0.56,0.0321,32.59,1975.87,687.78,0.9956,0.0406
1,Sol 1 (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_009.csv,0,716,591,19,21.9,23.6,1.1,nan,0.0229,0.54,0.0331,32.59,1975.87,687.78,0.9956,0.0406
1,Sol 1 (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_010.csv,0,705,591,19,19.9,21.5,1.1,nan,0.0223,0.53,0.0353,32.59,1975.87,687.78,0.9956,0.0406
1,Sol 1 (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_011.csv,0,696,591,19,18.4,19.8,1.1,nan,0.0211,0.53,0.0386,32.59,1975.87,687.78,0.9956,0.0406
1,Sol 1 (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_012.csv,0,684,591,19,16.3,17.6,1.1,nan,0.0199,0.53,0.0401,32.59,1975.87,687.78,0.9956,0.0406
1,Sol 1 (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_013.csv,0,675,591,19,14.7,15.9,1.1,nan,0.0211,0.52,0.0409,32.59,1975.87,687.78,0.9956,0.0406
1,Sol 1 (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_014.csv,0,666,591,19,13.1,14.2,1.1,nan,0.0196,0.53,0.0416,32.59,1975.87,687.78,0.9956,0.0406
1,Sol 1 (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_015.csv,0,658,591,19,11.7,12.7,1.1,nan,0.0190,0.52,0.0447,32.59,1975.87,687.78,0.9956,0.0406
1,Sol 1 (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_016.csv,0,649,591,19,10.1,11.0,1.1,nan,0.0180,0.53,0.0460,32.59,1975.87,687.78,0.9956,0.0406
1,Sol 1 (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_017.csv,0,640,591,19,8.6,9.3,1.1,nan,0.0182,0.52,0.0472,32.59,1975.87,687.78,0.9956,0.0406
1,Sol 1 (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_018.csv,0,632,591,19,7.2,7.7,1.1,nan,0.0176,0.53,0.0463,32.59,1975.87,687.78,0.9956,0.0406
1,Sol 1 (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_019.csv,0,627,591,19,6.3,6.8,1.1,nan,0.0176,0.53,0.0455,32.59,1975.87,687.78,0.9956,0.0406
1,Sol 1 (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_020.csv,0,622,591,19,5.4,5.9,1.1,nan,0.0173,0.52,0.0484,32.59,1975.87,687.78,0.9956,0.0406
1,Sol 1 (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_021.csv,0,617,591,19,4.5,4.9,1.1,nan,0.0169,0.53,0.0488,32.59,1975.87,687.78,0.9956,0.0406
1,Sol 1 (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_022.csv,0,608,591,19,3.0,3.2,1.1,nan,0.0165,0.53,0.0490,32.59,1975.87,687.78,0.9956,0.0406
1,Sol 1 (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_023.csv,0,602,591,19,1.9,2.1,1.1,nan,0.0159,0.49,0.0564,32.59,1975.87,687.78,0.9956,0.0406
1,Sol 1 (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_024.csv,0,596,591,19,0.9,0.9,1.1,nan,0.0029,0.90,0.0208,32.59,1975.87,687.78,0.9956,0.0406
1,Sol 1 (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_025.csv,0,593,591,19,0.3,0.4,1.1,nan,0.0125,0.42,0.0680,32.59,1975.87,687.78,0.9956,0.0406
1,Sol 1 (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_026.csv,0,591,591,19,0.0,0.0,1.1,dry,0.0000,0.00,0.0000,32.59,1975.87,687.78,0.9956,0.0406
2,Sol 1 bis (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_027.csv,0,600,399,19,52.9,76.2,1.4,nan,0.0478,0.59,0.0097,45.62,161.12,511.85,0.9972,0.0427
2,Sol 1 bis (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_028.csv,0,581,399,19,47.9,69.0,1.4,nan,0.0396,0.60,0.0123,45.62,161.12,511.85,0.9972,0.0427
2,Sol 1 bis (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_029.csv,0,575,399,19,46.3,66.7,1.4,nan,0.0372,0.61,0.0130,45.62,161.12,511.85,0.9972,0.0427
2,Sol 1 bis (poppy),Parcelle Misset - 49.44819N- 4.31848E,mar12_030.csv,0,567,399,19,44.2,63.7,1.4,nan,0.0363,0.60,0.0146,45.62,161.12,511.85,0.9972,0.0427
