ID,Name,Refl_file,Specular,m_d_tot,m_d,m_w_tot,V_tot,SMCv,SMCg,Clay,Silt,Sand,Density,OM,L,eps,d,K,a,psi,Slope,Intercept
1,Ithaca soil,phil14_001.csv,0,57.34,26.94,71.00,24.50,55.76,50.71,192,770,38,0.95,53,0.0284,0.54,0.0514,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_002.csv,0,57.34,26.94,70.93,24.50,55.47,50.45,192,770,38,0.95,53,0.0276,0.54,0.0521,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_003.csv,0,57.34,26.94,70.83,24.50,55.06,50.07,192,770,38,0.95,53,0.0275,0.54,0.0538,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_004.csv,0,57.34,26.94,70.73,24.50,54.65,49.70,192,770,38,0.95,53,0.0059,0.96,0.0464,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_005.csv,0,57.34,26.94,70.63,24.50,54.24,49.33,192,770,38,0.95,53,0.0055,0.97,0.0490,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_006.csv,0,57.34,26.94,70.52,24.50,53.80,48.92,192,770,38,0.95,53,0.0056,0.97,0.0485,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_007.csv,0,57.34,26.94,70.41,24.50,53.35,48.52,192,770,38,0.95,53,0.0056,0.97,0.0478,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_008.csv,0,57.34,26.94,70.30,24.50,52.90,48.11,192,770,38,0.95,53,0.0279,0.52,0.0626,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_009.csv,0,57.34,26.94,70.18,24.50,52.41,47.66,192,770,38,0.95,53,0.0258,0.54,0.0649,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_010.csv,0,57.34,26.94,70.07,24.50,51.96,47.25,192,770,38,0.95,53,0.0274,0.53,0.0648,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_011.csv,0,57.34,26.94,69.96,24.50,51.51,46.84,192,770,38,0.95,53,0.0240,0.54,0.0694,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_012.csv,0,57.34,26.94,69.85,24.50,51.06,46.44,192,770,38,0.95,53,0.0259,0.52,0.0713,41.87,7.35,910.85,1.1161,0.0156
