Wvl	R
350	0.0813
351	0.0785
352	0.0772
353	0.0762
354	0.0759
355	0.0780
356	0.0744
357	0.0705
358	0.0734
359	0.0761
360	0.0768
361	0.0756
362	0.0760
363	0.0764
364	0.0766
365	0.0773
366	0.0785
367	0.0793
368	0.0793
369	0.0803
370	0.0811
371	0.0811
372	0.0798
373	0.0808
374	0.0826
375	0.0823
376	0.0822
377	0.0827
378	0.0838
379	0.0854
380	0.0854
381	0.0845
382	0.0863
383	0.0870
384	0.0871
385	0.0882
386	0.0890
387	0.0896
388	0.0900
389	0.0907
390	0.0907
391	0.0903
392	0.0907
393	0.0920
394	0.0936
395	0.0946
396	0.0949
397	0.0949
398	0.0948
399	0.0950
400	0.0957
401	0.0967
402	0.0973
403	0.0977
404	0.0980
405	0.0987
406	0.0990
407	0.0994
408	0.1000
409	0.1005
410	0.1013
411	0.1022
412	0.1022
413	0.1027
414	0.1035
415	0.1039
416	0.1042
417	0.1048
418	0.1057
419	0.1062
420	0.1067
421	0.1072
422	0.1077
423	0.1083
424	0.1090
425	0.1095
426	0.1103
427	0.1111
428	0.1118
429	0.1126
430	0.1131
431	0.1133
432	0.1142
433	0.1151
434	0.1158
435	0.1167
436	0.1175
437	0.1181
438	0.1187
439	0.1191
440	0.1198
441	0.1207
442	0.1214
443	0.1219
444	0.1223
445	0.1228
446	0.1234
447	0.1241
448	0.1248
449	0.1252
450	0.1255
451	0.1260
452	0.1262
453	0.1266
454	0.1273
455	0.1278
456	0.1280
457	0.1282
458	0.1290
459	0.1293
460	0.1292
461	0.1292
462	0.1298
463	0.1304
464	0.1307
465	0.1312
466	0.1316
467	0.1318
468	0.1321
469	0.1325
470	0.1329
471	0.1329
472	0.1335
473	0.1342
474	0.1346
475	0.1349
476	0.1353
477	0.1360
478	0.1361
479	0.1365
480	0.1371
481	0.1377
482	0.1382
483	0.1386
484	0.1389
485	0.1396
486	0.1402
487	0.1406
488	0.1412
489	0.1419
490	0.1424
491	0.1430
492	0.1437
493	0.1443
494	0.1448
495	0.1454
496	0.1461
497	0.1467
498	0.1475
499	0.1481
500	0.1486
501	0.1492
502	0.1499
503	0.1506
504	0.1512
505	0.1518
506	0.1525
507	0.1532
508	0.1538
509	0.1545
510	0.1551
511	0.1557
512	0.1563
513	0.1568
514	0.1577
515	0.1584
516	0.1590
517	0.1597
518	0.1604
519	0.1611
520	0.1616
521	0.1623
522	0.1630
523	0.1637
524	0.1644
525	0.1651
526	0.1657
527	0.1663
528	0.1669
529	0.1676
530	0.1683
531	0.1689
532	0.1696
533	0.1704
534	0.1709
535	0.1715
536	0.1722
537	0.1729
538	0.1735
539	0.1741
540	0.1749
541	0.1756
542	0.1762
543	0.1767
544	0.1774
545	0.1780
546	0.1786
547	0.1793
548	0.1799
549	0.1805
550	0.1811
551	0.1817
552	0.1825
553	0.1831
554	0.1837
555	0.1844
556	0.1849
557	0.1855
558	0.1862
559	0.1868
560	0.1874
561	0.1881
562	0.1887
563	0.1893
564	0.1899
565	0.1906
566	0.1912
567	0.1918
568	0.1925
569	0.1930
570	0.1937
571	0.1943
572	0.1949
573	0.1955
574	0.1961
575	0.1966
576	0.1973
577	0.1979
578	0.1984
579	0.1990
580	0.1996
581	0.2002
582	0.2008
583	0.2013
584	0.2018
585	0.2025
586	0.2031
587	0.2036
588	0.2042
589	0.2048
590	0.2052
591	0.2057
592	0.2063
593	0.2068
594	0.2073
595	0.2079
596	0.2084
597	0.2088
598	0.2092
599	0.2096
600	0.2100
601	0.2104
602	0.2108
603	0.2112
604	0.2116
605	0.2120
606	0.2125
607	0.2130
608	0.2134
609	0.2138
610	0.2143
611	0.2146
612	0.2150
613	0.2153
614	0.2155
615	0.2158
616	0.2161
617	0.2164
618	0.2168
619	0.2172
620	0.2177
621	0.2182
622	0.2188
623	0.2194
624	0.2198
625	0.2203
626	0.2209
627	0.2213
628	0.2216
629	0.2219
630	0.2223
631	0.2227
632	0.2231
633	0.2236
634	0.2241
635	0.2246
636	0.2250
637	0.2256
638	0.2261
639	0.2268
640	0.2273
641	0.2279
642	0.2285
643	0.2289
644	0.2295
645	0.2300
646	0.2306
647	0.2311
648	0.2316
649	0.2321
650	0.2327
651	0.2333
652	0.2339
653	0.2345
654	0.2350
655	0.2356
