Wvl	alpha
400	0.000058
401	0.000059
402	0.000059
403	0.000060
404	0.000061
405	0.000062
406	0.000063
407	0.000064
408	0.000065
409	0.000066
410	0.000067
411	0.000068
412	0.000069
413	0.000070
414	0.000072
415	0.000073
416	0.000074
417	0.000075
418	0.000076
419	0.000077
420	0.000079
421	0.000081
422	0.000082
423	0.000083
424	0.000084
425	0.000086
426	0.000087
427	0.000088
428	0.000089
429	0.000091
430	0.000092
431	0.000093
432	0.000094
433	0.000095
434	0.000097
435	0.000098
436	0.000099
437	0.000100
438	0.000102
439	0.000103
440	0.000104
441	0.000105
442	0.000106
443	0.000107
444	0.000108
445	0.000109
446	0.000110
447	0.000111
448	0.000112
449	0.000113
450	0.000114
451	0.000115
452	0.000116
453	0.000117
454	0.000118
455	0.000119
456	0.000120
457	0.000121
458	0.000122
459	0.000123
460	0.000124
461	0.000125
462	0.000126
463	0.000127
464	0.000128
465	0.000129
466	0.000130
467	0.000132
468	0.000133
469	0.000134
470	0.000135
471	0.000136
472	0.000138
473	0.000140
474	0.000141
475	0.000142
476	0.000144
477	0.000146
478	0.000148
479	0.000150
480	0.000152
481	0.000154
482	0.000157
483	0.000160
484	0.000162
485	0.000164
486	0.000167
487	0.000170
488	0.000174
489	0.000177
490	0.000181
491	0.000185
492	0.000189
493	0.000193
494	0.000198
495	0.000203
496	0.000209
497	0.000216
498	0.000223
499	0.000230
500	0.000238
501	0.000246
502	0.000255
503	0.000264
504	0.000273
505	0.000282
506	0.000291
507	0.000300
508	0.000310
509	0.000319
510	0.000329
511	0.000339
512	0.000349
513	0.000359
514	0.000368
515	0.000377
516	0.000386
517	0.000396
518	0.000404
519	0.000407
520	0.000409
521	0.000414
522	0.000416
523	0.000411
524	0.000409
525	0.000418
526	0.000427
527	0.000427
528	0.000423
529	0.000424
530	0.000429
531	0.000437
532	0.000445
533	0.000451
534	0.000456
535	0.000463
536	0.000470
537	0.000475
538	0.000480
539	0.000488
540	0.000495
541	0.000498
542	0.000503
543	0.000514
544	0.000527
545	0.000536
546	0.000544
547	0.000553
548	0.000564
549	0.000576
550	0.000588
551	0.000600
552	0.000611
553	0.000622
554	0.000631
555	0.000639
556	0.000646
557	0.000652
558	0.000658
559	0.000665
560	0.000672
561	0.000679
562	0.000686
563	0.000692
564	0.000699
565	0.000708
566	0.000718
567	0.000726
568	0.000734
569	0.000745
570	0.000759
571	0.000773
572	0.000787
573	0.000802
574	0.000819
575	0.000839
576	0.000858
577	0.000875
578	0.000896
579	0.000924
580	0.000952
581	0.000975
582	0.001000
583	0.001037
584	0.001079
585	0.001119
586	0.001159
587	0.001204
588	0.001253
589	0.001304
590	0.001356
591	0.001408
592	0.001459
593	0.001510
594	0.001567
595	0.001635
596	0.001700
597	0.001758
598	0.001860
599	0.002042
600	0.002224
601	0.002323
602	0.002366
603	0.002400
604	0.002448
605	0.002519
606	0.002587
607	0.002629
608	0.002653
609	0.002673
610	0.002691
611	0.002704
612	0.002715
613	0.002727
614	0.002740
615	0.002752
616	0.002764
617	0.002774
618	0.002785
619	0.002797
620	0.002810
621	0.002824
622	0.002839
623	0.002854
624	0.002868
625	0.002881
626	0.002893
627	0.002907
628	0.002922
629	0.002938
630	0.002955
631	0.002972
632	0.002988
633	0.003000
634	0.003011
635	0.003023
636	0.003038
637	0.003056
638	0.003076
639	0.003094
640	0.003111
641	0.003127
642	0.003144
643	0.003162
644	0.003181
645	0.003202
646	0.003223
647	0.003242
648	0.003263
649	0.003289
650	0.003315
651	0.003338
652	0.003362
653	0.003390
654	0.003423
655	0.003461
656	0.003508
657	0.003567
658	0.003636
659	0.003712
660	0.003791
661	0.003866
662	0.003931
663	0.003981
664	0.004019
665	0.004049
666	0.004072
667	0.004087
668	0.004098
669	0.004109
670	0.004122
671	0.004137
672	0.004150
673	0.004160
674	0.004173
675	0.004196
676	0.004223
677	0.004248
678	0.004270
679	0.004293
680	0.004318
