Wvl	n
400	1.349779
401	1.349642
402	1.349506
403	1.349373
404	1.349239
405	1.349106
406	1.348972
407	1.348838
408	1.348705
409	1.348573
410	1.348443
411	1.348314
412	1.348187
413	1.348061
414	1.347936
415	1.347811
416	1.347687
417	1.347563
418	1.347440
419	1.347317
420	1.347195
421	1.347072
422	1.346950
423	1.346828
424	1.346708
425	1.346589
426	1.346471
427	1.346354
428	1.346238
429	1.346123
430	1.346009
431	1.345896
432	1.345783
433	1.345672
434	1.345561
435	1.345450
436	1.345339
437	1.345228
438	1.345119
439	1.345010
440	1.344902
441	1.344796
442	1.344690
443	1.344585
444	1.344480
445	1.344377
446	1.344274
447	1.344172
448	1.344071
449	1.343970
450	1.343869
451	1.343768
452	1.343667
453	1.343566
454	1.343467
455	1.343368
456	1.343270
457	1.343174
458	1.343078
459	1.342983
460	1.342887
461	1.342791
462	1.342694
463	1.342597
464	1.342502
465	1.342408
466	1.342316
467	1.342224
468	1.342133
469	1.342043
470	1.341952
471	1.341861
472	1.341771
473	1.341680
474	1.341591
475	1.341502
476	1.341413
477	1.341326
478	1.341239
479	1.341153
480	1.341067
481	1.340982
482	1.340897
483	1.340813
484	1.340729
485	1.340645
486	1.340562
487	1.340478
488	1.340396
489	1.340313
490	1.340232
491	1.340151
492	1.340071
493	1.339991
494	1.339911
495	1.339831
496	1.339751
497	1.339670
498	1.339589
499	1.339509
500	1.339430
501	1.339353
502	1.339277
503	1.339201
504	1.339126
505	1.339050
506	1.338974
507	1.338899
508	1.338823
509	1.338748
510	1.338672
511	1.338598
512	1.338523
513	1.338449
514	1.338376
515	1.338303
516	1.338230
517	1.338158
518	1.338086
519	1.338015
520	1.337944
521	1.337873
522	1.337803
523	1.337732
524	1.337663
525	1.337593
526	1.337524
527	1.337456
528	1.337388
529	1.337320
530	1.337253
531	1.337185
532	1.337118
533	1.337050
534	1.336983
535	1.336916
536	1.336849
537	1.336782
538	1.336714
539	1.336648
540	1.336582
541	1.336517
542	1.336453
543	1.336388
544	1.336324
545	1.336260
546	1.336195
547	1.336131
548	1.336067
549	1.336004
550	1.335941
551	1.335878
552	1.335816
553	1.335754
554	1.335693
555	1.335632
556	1.335571
557	1.335512
558	1.335452
559	1.335392
560	1.335332
561	1.335271
562	1.335210
563	1.335149
564	1.335089
565	1.335029
566	1.334971
567	1.334913
568	1.334856
569	1.334798
570	1.334741
571	1.334682
572	1.334624
573	1.334565
574	1.334506
575	1.334448
576	1.334391
577	1.334334
578	1.334278
579	1.334222
580	1.334167
581	1.334111
582	1.334056
583	1.334001
584	1.333946
585	1.333891
586	1.333836
587	1.333782
588	1.333728
589	1.333674
590	1.333620
591	1.333566
592	1.333513
593	1.333459
594	1.333406
595	1.333353
596	1.333300
597	1.333247
598	1.333195
599	1.333142
600	1.333090
601	1.333037
602	1.332985
603	1.332932
604	1.332880
605	1.332829
606	1.332777
607	1.332725
608	1.332674
609	1.332623
610	1.332573
611	1.332523
612	1.332474
613	1.332425
614	1.332376
615	1.332327
616	1.332277
617	1.332226
618	1.332176
619	1.332126
620	1.332077
621	1.332028
622	1.331980
623	1.331932
624	1.331884
625	1.331836
626	1.331787
627	1.331739
628	1.331691
629	1.331643
630	1.331595
631	1.331548
632	1.331500
633	1.331453
634	1.331406
635	1.331359
636	1.331313
637	1.331267
638	1.331221
639	1.331176
640	1.331130
641	1.331086
642	1.331041
643	1.330997
644	1.330952
645	1.330908
646	1.330864
647	1.330819
648	1.330775
649	1.330731
650	1.330687
651	1.330644
652	1.330601
653	1.330558
654	1.330515
655	1.330473
656	1.330431
657	1.330390
658	1.330349
659	1.330308
660	1.330267
661	1.330226
662	1.330185
663	1.330145
664	1.330104
665	1.330064
666	1.330024
667	1.329984
668	1.329944
669	1.329905
670	1.329865
671	1.329826
672	1.329787
673	1.329748
674	1.329709
675	1.329671
676	1.329633
677	1.329595
678	1.329557
679	1.329519
680	1.329482
681	1.329445
682	1.329407
683	1.329370
684	1.329333
685	1.329296
686	1.329260
687	1.329223
688	1.329186
689	1.329149
690	1.329113
691	1.329078
692	1.329042
693	1.329008
694	1.328973
695	1.328938
696	1.328903
697	1.328867
698	1.328832
699	1.328797
700	1.328762
701	1.328728
702	1.328694
703	1.328660
704	1.328626
705	1.328593
706	1.328559
707	1.328526
708	1.328493
709	1.328460
710	1.328427
711	1.328394
712	1.328361
713	1.328328
714	1.328295
715	1.328263
716	1.328230
717	1.328197
718	1.328165
719	1.328133
720	1.328101
721	1.328069
722	1.328038
723	1.328006
724	1.327975
725	1.327945
726	1.327914
727	1.327884
728	1.327854
729	1.327823
730	1.327793
731	1.327761
732	1.327730
733	1.327698
734	1.327667
735	1.327637
736	1.327607
737	1.327578
738	1.327549
739	1.327520
740	1.327490
741	1.327460
742	1.327430
743	1.327400
744	1.327371
745	1.327341
746	1.327312
747	1.327284
748	1.327255
749	1.327227
750	1.327198
751	1.327170
752	1.327142
753	1.327114
754	1.327086
755	1.327058
756	1.327030
757	1.327001
758	1.326973
759	1.326945
760	1.326917
761	1.326890
762	1.326862
763	1.326835
764	1.326808
765	1.326780
766	1.326753
767	1.326725
768	1.326697
769	1.326670
770	1.326643
771	1.326616
772	1.326590
773	1.326564
774	1.326537
775	1.326511
776	1.326484
777	1.326457
778	1.326430
779	1.326403
780	1.326377
781	1.326351
782	1.326325
783	1.326300
784	1.326275
785	1.326249
786	1.326224
787	1.326198
788	1.326173
789	1.326147
790	1.326122
791	1.326096
792	1.326071
793	1.326045
794	1.326020
795	1.325994
796	1.325969
797	1.325944
798	1.325919
799	1.325894
800	1.325869
801	1.325845
802	1.325821
803	1.325797
804	1.325773
805	1.325749
806	1.325724
807	1.325700
808	1.325675
809	1.325650
810	1.325626
811	1.325602
812	1.325577
813	1.325553
814	1.325529
815	1.325505
816	1.325481
817	1.325458
818	1.325435
819	1.325412
820	1.325388
821	1.325365
822	1.325340
823	1.325316
824	1.325292
825	1.325269
826	1.325246
827	1.325223
828	1.325200
829	1.325178
830	1.325155
831	1.325132
832	1.325108
833	1.325085
834	1.325062
835	1.325039
836	1.325016
837	1.324993
838	1.324971
839	1.324948
840	1.324926
841	1.324903
842	1.324880
843	1.324857
844	1.324834
845	1.324812
846	1.324789
847	1.324767
848	1.324745
849	1.324722
850	1.324701
851	1.324679
852	1.324657
853	1.324636
854	1.324614
855	1.324592
856	1.324570
857	1.324547
858	1.324524
859	1.324502
860	1.324480
861	1.324459
862	1.324437
863	1.324416
864	1.324394
865	1.324373
866	1.324351
867	1.324330
868	1.324308
869	1.324287
870	1.324265
871	1.324244
872	1.324223
873	1.324201
874	1.324180
875	1.324159
876	1.324138
877	1.324116
878	1.324095
879	1.324074
880	1.324053
881	1.324032
882	1.324011
883	1.323990
884	1.323969
885	1.323948
886	1.323927
887	1.323906
888	1.323884
889	1.323863
890	1.323842
891	1.323822
892	1.323801
893	1.323781
894	1.323761
895	1.323740
896	1.323720
897	1.323699
898	1.323679
899	1.323658
900	1.323638
901	1.323617
902	1.323596
903	1.323576
904	1.323555
905	1.323534
906	1.323514
907	1.323493
908	1.323473
909	1.323452
910	1.323432
911	1.323412
912	1.323392
913	1.323373
914	1.323353
915	1.323333
916	1.323312
917	1.323292
918	1.323271
919	1.323250
920	1.323230
921	1.323210
922	1.323190
923	1.323171
924	1.323152
925	1.323132
926	1.323113
927	1.323093
928	1.323074
929	1.323054
930	1.323034
931	1.323014
932	1.322994
933	1.322974
934	1.322954
935	1.322934
936	1.322914
937	1.322895
938	1.322875
939	1.322856
940	1.322836
941	1.322817
942	1.322798
943	1.322778
944	1.322759
945	1.322739
946	1.322720
947	1.322700
948	1.322681
949	1.322661
950	1.322642
951	1.322622
952	1.322603
953	1.322584
954	1.322565
955	1.322546
956	1.322527
957	1.322508
958	1.322489
959	1.322470
960	1.322450
961	1.322431
962	1.322412
963	1.322393
964	1.322373
965	1.322354
966	1.322335
967	1.322316
968	1.322297
969	1.322277
970	1.322258
971	1.322240
972	1.322221
973	1.322202
974	1.322184
975	1.322165
976	1.322146
977	1.322127
978	1.322108
979	1.322089
980	1.322070
981	1.322051
982	1.322032
983	1.322013
984	1.321994
985	1.321975
986	1.321956
987	1.321937
988	1.321919
989	1.321900
990	1.321881
991	1.321862
992	1.321843
993	1.321825
994	1.321806
995	1.321787
996	1.321769
997	1.321751
998	1.321732
999	1.321714
1000	1.321695
1001	1.321676
1002	1.321657
1003	1.321637
1004	1.321618
1005	1.321598
1006	1.321579
1007	1.321559
1008	1.321540
1009	1.321521
1010	1.321502
1011	1.321484
1012	1.321466
1013	1.321448
1014	1.321430
1015	1.321412
1016	1.321394
1017	1.321376
1018	1.321358
1019	1.321340
1020	1.321322
1021	1.321303
1022	1.321284
1023	1.321265
1024	1.321245
1025	1.321225
1026	1.321205
1027	1.321185
1028	1.321166
1029	1.321147
1030	1.321128
1031	1.321110
1032	1.321092
