ID_Parcela,Treatment,Nitrogen,wave,RFL
10A,CAN+DMPSA,N2,400,0.03358179
10A,CAN+DMPSA,N2,401,0.03341522
10A,CAN+DMPSA,N2,402,0.03324866
10A,CAN+DMPSA,N2,403,0.03308209
10A,CAN+DMPSA,N2,404,0.03291553
10A,CAN+DMPSA,N2,405,0.03274896
10A,CAN+DMPSA,N2,406,0.0325824
10A,CAN+DMPSA,N2,407,0.03241583
10A,CAN+DMPSA,N2,408,0.03224927
10A,CAN+DMPSA,N2,409,0.0320827
10A,CAN+DMPSA,N2,410,0.03201765
10A,CAN+DMPSA,N2,411,0.03199819
10A,CAN+DMPSA,N2,412,0.03197874
10A,CAN+DMPSA,N2,413,0.03195929
10A,CAN+DMPSA,N2,414,0.03193984
10A,CAN+DMPSA,N2,415,0.03192039
10A,CAN+DMPSA,N2,416,0.03190094
10A,CAN+DMPSA,N2,417,0.03188149
10A,CAN+DMPSA,N2,418,0.03186203
10A,CAN+DMPSA,N2,419,0.03187824
10A,CAN+DMPSA,N2,420,0.03195263
10A,CAN+DMPSA,N2,421,0.03202701
10A,CAN+DMPSA,N2,422,0.0321014
10A,CAN+DMPSA,N2,423,0.03217578
10A,CAN+DMPSA,N2,424,0.03225016
10A,CAN+DMPSA,N2,425,0.03232455
10A,CAN+DMPSA,N2,426,0.03239893
10A,CAN+DMPSA,N2,427,0.03247332
10A,CAN+DMPSA,N2,428,0.03255054
10A,CAN+DMPSA,N2,429,0.03266549
10A,CAN+DMPSA,N2,430,0.03278043
10A,CAN+DMPSA,N2,431,0.03289537
10A,CAN+DMPSA,N2,432,0.03301032
10A,CAN+DMPSA,N2,433,0.03312526
10A,CAN+DMPSA,N2,434,0.0332402
10A,CAN+DMPSA,N2,435,0.03335515
10A,CAN+DMPSA,N2,436,0.03347009
10A,CAN+DMPSA,N2,437,0.03358503
10A,CAN+DMPSA,N2,438,0.03367019
10A,CAN+DMPSA,N2,439,0.03374594
10A,CAN+DMPSA,N2,440,0.03382169
10A,CAN+DMPSA,N2,441,0.03389744
10A,CAN+DMPSA,N2,442,0.03397319
10A,CAN+DMPSA,N2,443,0.03404895
10A,CAN+DMPSA,N2,444,0.0341247
10A,CAN+DMPSA,N2,445,0.03420045
10A,CAN+DMPSA,N2,446,0.0342762
10A,CAN+DMPSA,N2,447,0.03430804
10A,CAN+DMPSA,N2,448,0.03428621
10A,CAN+DMPSA,N2,449,0.03426438
10A,CAN+DMPSA,N2,450,0.03424255
10A,CAN+DMPSA,N2,451,0.03422072
10A,CAN+DMPSA,N2,452,0.03419889
10A,CAN+DMPSA,N2,453,0.03417706
10A,CAN+DMPSA,N2,454,0.03415523
10A,CAN+DMPSA,N2,455,0.0341334
10A,CAN+DMPSA,N2,456,0.03410105
10A,CAN+DMPSA,N2,457,0.03400406
10A,CAN+DMPSA,N2,458,0.03390707
10A,CAN+DMPSA,N2,459,0.03381008
10A,CAN+DMPSA,N2,460,0.03371308
10A,CAN+DMPSA,N2,461,0.03361609
10A,CAN+DMPSA,N2,462,0.0335191
10A,CAN+DMPSA,N2,463,0.03342211
10A,CAN+DMPSA,N2,464,0.03332512
10A,CAN+DMPSA,N2,465,0.03322813
10A,CAN+DMPSA,N2,466,0.0331592
10A,CAN+DMPSA,N2,467,0.03309601
10A,CAN+DMPSA,N2,468,0.03303282
10A,CAN+DMPSA,N2,469,0.03296963
10A,CAN+DMPSA,N2,470,0.03290644
10A,CAN+DMPSA,N2,471,0.03284325
10A,CAN+DMPSA,N2,472,0.03278006
10A,CAN+DMPSA,N2,473,0.03271687
10A,CAN+DMPSA,N2,474,0.03265368
10A,CAN+DMPSA,N2,475,0.03262443
10A,CAN+DMPSA,N2,476,0.03262651
