Variable,n.sim1,n.sim2,n.sim3,n.sim4,n.sim5,n.sim6,n.sim7,n.sim8,n.sim9,n.sim10,n.sim11,n.sim12,n.sim13,n.sim14,n.sim15,n.sim16,n.sim17,n.sim18,n.sim19,n.sim20,n.sim21,n.sim22,n.sim23,n.sim24,n.sim25,n.sim26,n.sim27,n.sim28,n.sim29,n.sim30,n.sim31,n.sim32,n.sim33,n.sim34,n.sim35,n.sim36,n.sim37,n.sim38,n.sim39,n.sim40,n.sim41,n.sim42,n.sim43,n.sim44,n.sim45,n.sim46,n.sim47,n.sim48,n.sim49,n.sim50,n.sim51,n.sim52,n.sim53,n.sim54,n.sim55,n.sim56,n.sim57,n.sim58,n.sim59,n.sim60,n.sim61,n.sim62,n.sim63,n.sim64,n.sim65,n.sim66,n.sim67,n.sim68,n.sim69,n.sim70,n.sim71,n.sim72,n.sim73,n.sim74,n.sim75,n.sim76,n.sim77,n.sim78,n.sim79,n.sim80,n.sim81,n.sim82,n.sim83,n.sim84,n.sim85,n.sim86,n.sim87,n.sim88,n.sim89,n.sim90,n.sim91,n.sim92,n.sim93,n.sim94,n.sim95,n.sim96,n.sim97,n.sim98,n.sim99,n.sim100
iPAR,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081,1293.53272563081
iPARE,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245,283.390650245
LAIsunlit,1.21710012172909,1.33800570778307,2.54629891630979,1.05692757061523,0.532682393780602,1.02980086845944,2.33598819685406,1.28818643385277,1.09085086977748,1.11840146647713,1.25901903417919,2.27737708093617,1.0473742999309,0.563647811201197,1.18366949900714,2.0858547589992,1.37142190202547,1.48515646407689,2.18667880103469,1.14845070706641,1.04608669030601,1.48246652922437,1.06745590898005,0.973494956070036,1.37560683564652,0.999771057961492,1.09423380786692,1.26624303956662,0.815960454615766,0.969163417046007,1.74091612096462,2.66118879196003,0.739438878973996,1.03155611302284,1.41527148083108,0.36911940411152,1.20214732709202,1.0380625988916,1.01757932762104,1.04383818885451,1.85912819600346,2.19291814880268,1.9393850778616,1.48309033785644,2.88281071292785,2.02767651882936,1.23464877612101,1.01962984161488,1.72667947876879,0.661223321653558,2.43150539319466,1.29038914347029,1.27186061444658,0.88384904509571,0.968117767760755,1.16365842614804,1.21308548313722,2.13285896178851,2.28581277731423,1.10289640568891,1.06900855631428,0.38378179106831,1.88926519139518,2.01774586888752,1.38854533286708,1.43450256664809,0.583895570798301,0.48413426131061,3.03766863845524,1.25357429266832,0.695377807847971,1.02298188695093,1.23898649700507,2.36558661365356,1.87933368386695,1.21785618516653,2.12652471322965,1.03125763665922,0.499970279927699,1.63982002833597,1.01271885341418,2.04837800103091,1.6138339457605,0.307633781076691,0.33932606398069,0.361183970075825,0.818023909836095,1.57049992170283,1.0959028544443,0.850213735128447,1.62021615103343,1.14455396407404,1.52026841926187,0.207035636354461,2.90997331503213,0.519054199577288,2.57446216510482,0.827040286333735,1.83305602241626,1.27415446402672
LAIshaded,0.92259076242706,5.01489981431756,3.44163680756679,2.23062249044117,0.0596205193682859,3.05704483021384,1.76310920779822,5.66749332699727,1.32254258952861,3.58253077533615,5.31701737953324,1.78913508023117,3.82543445602662,0.155686439580488,4.8948992889355,1.47200707893177,0.269046458528022,1.46053630310268,4.02883452801022,2.37114400979636,3.69591403125199,0.566814092678647,4.67024638122151,0.824591280556805,1.27495190243799,0.725347267642634,5.46248898125115,1.69778707590274,0.23244044256769,5.43995317181288,0.757809373987326,3.32403425056253,0.344743854416485,1.548530696793,0.378713485055842,0.0476316268839905,4.31123319793632,0.436222369214474,1.78618735773069,1.28874129924318,2.3954025489729,1.64185644022367,4.99729867769266,0.368067901090949,2.29055155010811,4.81781979239564,2.71587029199904,1.79005645905585,4.0636764103113,0.214229458324956,1.36536214504888,1.87204879221545,0.71844415310339,0.301917951859789,5.14756494085096,2.81445108281433,2.68667384890683,2.05446150895158,2.83609597546897,3.40568805814026,3.27069758106629,0.0778944779330179,2.11032330395806,2.13490965522103,3.04856748548859,2.9565428839108,0.0837677192739313,0.15159976258823,1.80328472125109,4.57552049471606,0.41140033079516,4.4833756119817,2.21751904899199,4.56034261398077,1.66449050242553,2.76174150688537,0.583448728975579,2.64733902488332,0.11258788605653,2.17563914642,5.71860205227124,1.69351196208187,1.50256627227273,0.0150084952429842,0.0210397827724307,0.065519258120304,0.392593435968254,1.76627209228831,4.5649725719515,1.1859091259803,3.68779334688104,2.55604415840815,0.57346721371372,0.0128670537730315,1.80163844092849,0.0430799568454014,3.2966041799368,0.206827488849436,2.79250292596089,4.60768486476802
aPARTot,994.283872259511,1184.58551771947,1138.84939177816,1171.22538157137,378.549243996519,1213.08811277318,1017.87610368519,1227.52092118679,1080.60399843719,1204.06136453035,1217.03687677294,1043.02691674842,1204.42959679634,574.95614946163,1230.25955451751,999.631611607955,681.703940276329,1072.06073610286,1186.65769130788,1170.36904960042,1121.10291250265,828.66969524523,1200.04993168598,973.135237023875,1047.08212336407,951.844902001088,1230.14329554793,1043.06395747206,617.112999699907,1224.13710005524,866.632008583889,1135.18525441304,708.980470087944,1127.79173417269,752.691458120822,366.372450007871,1221.26988000947,686.846037692694,1148.06632696713,1097.21860085009,1120.12180273083,1031.98157703917,1217.17229872428,734.522989977397,1063.36456817029,1216.99237319122,1199.41780379564,1153.75225254831,1200.85223161859,650.299298600348,948.782677486071,1140.60576346302,899.451948465167,660.036814137125,1225.22565216085,1207.39477087804,1190.8284251433,1093.77999503659,1134.17773752199,1220.59698316972,1209.29665685739,434.879268015879,1116.91742988851,1113.61387949722,1195.31985712994,1136.99021019407,397.383502934023,587.1775253618,989.347003987413,1222.81641170118,812.52611368441,1202.89176486437,1153.67608501055,1206.50365867938,1032.76485700579,1190.65802518969,802.314923089992,1166.40475455547,518.733630088088,1129.16923172999,1230.42524936776,1052.30797121211,1069.95241604483,234.13814566631,264.680205148237,414.311432235096,793.259938554319,1083.37056367668,1212.81884148277,1101.09396326538,1201.1899412709,1179.85826991789,842.638867312435,201.173189597587,1006.2401852122,363.278869341162,1138.04468655126,622.972985293637,1145.05893686176,1198.8730836162
aPARTotSun,846.635504553993,955.073253918915,981.501925533557,959.219464313155,355.135072759383,981.62712334833,874.886705363536,1017.8567507275,898.267624506591,978.092954052855,1001.45879976295,908.472570846882,974.414097767786,518.278733734718,1008.23833363621,861.332212435035,621.021932565114,904.474437214564,1023.51067505677,961.994905581696,863.125326491015,727.128785277293,966.18314364445,817.38692194075,885.103610320925,809.489036847978,1006.20110212734,834.120640260652,548.422099361624,977.598918893262,756.086114535457,995.04708186233,612.522278441561,932.370563465517,674.930089995094,344.387836737542,1005.04936287142,586.600046224784,941.015606391617,914.335739522282,939.464752100452,897.529481530466,1039.16612739995,660.768988229863,945.871460234969,1047.86208810361,996.362218320617,949.704554003584,1008.5586890563,579.561135908913,822.02576448605,954.692430783914,771.73273005672,577.538324775469,990.601066040493,997.336488535372,977.280729911606,949.381498303936,983.742694850042,1003.22582419941,987.540111321295,401.478602716097,962.038910304124,964.364979453613,996.525167532238,910.791559797691,367.793851524792,529.192154355736,879.056794458813,1009.99752616774,698.924316576459,966.257136375819,952.417757840743,1059.66637268005,867.943374516086,978.738346135556,722.860010622217,936.542866026159,473.906523388024,948.390770308191,996.608535960302,911.402825407435,915.738831294664,226.653668761133,254.524571962631,385.02400241739,688.798753944116,913.000982205832,986.434211404125,909.204107831923,1006.3673923855,965.925170700131,743.866424130183,194.462027233971,897.81427002183,345.011496784291,991.903728435416,559.345713688086,966.051454240185,971.834926343102
aPARTotShaded,147.648367705519,229.512263800557,157.347466244602,212.005917258216,23.4141712371358,231.460989424852,142.989398321657,209.664170459292,182.336373930594,225.968410477494,215.578077009994,134.554345901543,230.015499028553,56.6774157269123,222.0212208813,138.299399172919,60.6820077112148,167.586298888298,163.147016251112,208.374144018729,257.977586011638,101.540909967936,233.866788041525,155.748315083125,161.978513043141,142.35586515311,223.942193420588,208.943317211409,68.6909003382822,246.538181161975,110.545894048433,140.13817255071,96.4581916463831,195.421170707171,77.7613681257274,21.9846132703287,216.220517138055,100.24599146791,207.050720575514,182.882861327807,180.657050630379,134.452095508704,178.006171324324,73.7540017475346,117.493107935318,169.130285087616,203.055585475023,204.047698544724,192.293542562297,70.7381626914343,126.75691300002,185.91333267911,127.719218408446,82.4984893616561,234.624586120355,210.058282342667,213.547695231689,144.398496732652,150.435042671952,217.371158970303,221.756545536096,33.4006652997825,154.878519584383,149.248900043604,198.794689597702,226.198650396379,29.5896514092309,57.9853710060633,110.2902095286,212.81888553344,113.601797107951,236.634628488548,201.258327169809,146.837285999333,164.821482489707,211.919679054131,79.4549124677751,229.861888529311,44.827106700064,180.778461421797,233.816713407462,140.905145804678,154.213584750165,7.4844769051763,10.1556331856062,29.2874298177067,104.461184610203,170.369581470851,226.384630078648,191.88985543346,194.822548885403,213.933099217755,98.7724431822526,6.71116236361528,108.425915190369,18.2673725568706,146.140958115845,63.6272716055505,179.00748262157,227.038157273101
aPARCabTot,673.271192167924,315.6114308078,247.475337859252,583.781034410608,191.472988373358,681.682287395143,311.475376848785,834.092736181011,875.76475893071,806.196754096131,760.861988178393,429.329225049867,959.558784082685,302.834943186797,923.761447814468,684.915193017029,431.107536880987,497.013289713804,1111.62263530825,638.335283790129,90.1082455378504,403.639407194695,741.169654241377,434.327487687758,608.819230977638,641.514092840725,780.151855559698,280.764175698512,222.120794184169,566.761974798297,417.411070902572,843.356838849759,293.688514296373,808.107450241945,559.91160605431,192.882784376133,921.366747312147,25.1514098636437,1016.93607337721,787.778393958826,320.586336241468,600.957189472279,1006.90202118529,437.677195904994,829.060650815879,606.527936883322,639.253723616489,692.838087049587,595.98841876401,525.353902315959,389.167239675626,597.893306367365,333.530037058809,180.634736243567,791.645050502033,658.609184088949,595.533939900489,734.644411062149,621.502627370383,813.643125296454,912.810439145316,338.355756469447,734.445998161046,746.274431070511,913.853124679681,473.603201787238,65.5294158142084,459.516564512006,464.370884760445,920.788376097269,536.809063410223,679.426460122976,1000.85658352257,824.922154263644,346.458271536723,667.258415645925,677.64797001491,449.249133402269,330.220678212889,792.498261680851,767.757047415847,603.015712974408,681.075250642143,144.876189784287,152.371754347345,193.377036133763,574.816031513872,713.906515512824,862.776224483227,719.07475441029,870.957806812288,571.24305215037,589.177151106201,162.203988606752,577.591732191916,289.602958839162,926.406532725627,301.468170137949,564.217343693104,501.656221889284
aPARCabSun,576.111439259932,256.792790974344,213.314111835436,485.2394022015,179.913441081903,557.718313592288,265.96215998928,697.833364468923,729.948350009274,658.186659489189,632.592766404021,374.93267215976,777.056389605918,274.107106257777,759.901787376767,584.939177204931,392.926319611524,421.592400210125,950.914793709959,530.961705632422,69.0213067230046,354.952392645477,603.801627168288,368.453357083678,518.075702812727,549.129091256373,645.308086876845,224.097215906065,197.885588163357,458.72789314828,364.311037652029,738.875467066092,254.903680247813,672.360944158871,502.200086494251,181.70290071313,759.89612188641,21.2899366968806,830.444731715505,660.981677422808,269.434203533146,523.993804695118,845.627257386738,393.615006856363,733.457967203146,525.604770920319,537.291926063038,575.397518686129,503.951365946165,469.011267964106,334.334903580461,505.887143281799,287.741586820853,158.265279030557,648.175570098784,550.803736447876,493.556920169597,638.706185920918,541.328894442205,676.862831373485,750.57022850011,312.693450422788,634.958571134818,647.845583210003,764.412072369398,380.524049418017,60.7497905675509,415.498532205575,412.398255725344,762.118477441112,464.48555933105,550.019568664659,824.553636287207,726.48667905838,289.58153229634,549.755167295593,607.89719377761,366.266694465327,302.591941309441,664.698716882426,629.131811406001,523.55580739209,585.536622211479,140.325094958833,146.648115872498,180.388146139941,500.983726843181,603.723723264866,705.586885664539,599.892784639985,729.910653052528,474.22247440776,520.578831457146,156.895475982385,515.665981803479,275.141129085149,806.698911782321,271.494760309253,478.998097843146,408.82708383537
aPARCabShaded,97.1597529079917,58.8186398334559,34.1612260238162,98.5416322091084,11.5595472914551,123.963973802855,45.5132168595049,136.259371712088,145.816408921436,148.010094606941,128.269221774372,54.3965528901072,182.502394476767,28.7278369290199,163.859660437701,99.9760158120976,38.1812172694634,75.4208895036796,160.707841598292,107.373578157706,21.0869388148459,48.6870145492177,137.368027073088,65.8741306040801,90.7435281649107,92.3850015843524,134.843768682853,56.6669597924469,24.2352060208121,108.034081650016,53.1000332505433,104.481371783668,38.7848340485604,135.746506083074,57.7115195600591,11.1798836630038,161.470625425737,3.86147316676312,186.491341661703,126.796716536018,51.1521327083223,76.9633847771612,161.274763798556,44.0621890486316,95.6026836127333,80.9231659630031,101.961797553451,117.440568363458,92.0370528178453,56.3426343518533,54.8323360951655,92.0061630855656,45.7884502379561,22.3694572130097,143.469480403249,107.805447641073,101.977019730892,95.9382251412307,80.1737329281788,136.780293922969,162.240210645206,25.6623060466592,99.4874270262286,98.4288478605079,149.441052310283,93.079152369221,4.77962524665753,44.0180323064313,51.9726290351005,158.669898656157,72.3235040791732,129.406891458317,176.302947235363,98.4354752052644,56.876739240383,117.503248350332,69.7507762373004,82.9824389369419,27.6287369034478,127.799544798426,138.625236009845,79.4599055823179,95.5386284306634,4.55109482545449,5.72363847484697,12.9888899938222,73.8323046706903,110.182792247958,157.189338818689,119.181969770305,141.04715375976,97.0205777426103,68.5983196490554,5.30851262436675,61.9257503884369,14.4618297540135,119.707620943306,29.9734098286967,85.2192458499583,92.8291380539143
