wave,n.sim1,n.sim2,n.sim3,n.sim4,n.sim5,n.sim6,n.sim7,n.sim8,n.sim9,n.sim10,n.sim11,n.sim12,n.sim13,n.sim14,n.sim15,n.sim16,n.sim17,n.sim18,n.sim19,n.sim20,n.sim21,n.sim22,n.sim23,n.sim24,n.sim25,n.sim26,n.sim27,n.sim28,n.sim29,n.sim30,n.sim31,n.sim32,n.sim33,n.sim34,n.sim35,n.sim36,n.sim37,n.sim38,n.sim39,n.sim40,n.sim41,n.sim42,n.sim43,n.sim44,n.sim45,n.sim46,n.sim47,n.sim48,n.sim49,n.sim50,n.sim51,n.sim52,n.sim53,n.sim54,n.sim55,n.sim56,n.sim57,n.sim58,n.sim59,n.sim60,n.sim61,n.sim62,n.sim63,n.sim64,n.sim65,n.sim66,n.sim67,n.sim68,n.sim69,n.sim70,n.sim71,n.sim72,n.sim73,n.sim74,n.sim75,n.sim76,n.sim77,n.sim78,n.sim79,n.sim80,n.sim81,n.sim82,n.sim83,n.sim84,n.sim85,n.sim86,n.sim87,n.sim88,n.sim89,n.sim90,n.sim91,n.sim92,n.sim93,n.sim94,n.sim95,n.sim96,n.sim97,n.sim98,n.sim99,n.sim100
640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
641,0.000614146425388973,0.000398068488450858,0.000207751349354536,0.000713681946607806,0.000152308200097882,0.000698581758785017,0.000190913737747727,0.000806173349209446,0.000916047865171453,0.000876377676382431,0.000866180607987056,0.000333881112827482,0.00115607807535134,0.000440832412124817,0.00100473382995953,0.000494847271419467,0.000319748585612217,0.000372857473722881,0.000969958296346793,0.000708212030738717,0.000148059955243074,0.000197628600356408,0.000907608418727868,0.000500786765627971,0.000483683482693366,0.000649053998500216,0.000791850161269784,0.000484355104489441,0.000352303663014335,0.000625784386621595,0.000283438673898298,0.000628183733110666,0.000537196518142682,0.000761943515155418,0.000311134084075058,0.000225507711077674,0.000977009106797319,4.31860402479381e-05,0.00102895830069985,0.000712514360073731,0.000307899414102029,0.000383522689930142,0.000630591596371529,0.000286733638418973,0.000569115382618434,0.000521803813783889,0.000535884841864593,0.000748978603243633,0.000482004444609726,0.000556164344849257,0.000173355854781745,0.000605783029236024,0.000332351959045828,0.000298612548268578,0.000870769773596838,0.000620569532355252,0.000625987502074563,0.00032806966544826,0.000514444618002143,0.000905219202250162,0.000993962535764126,0.00056663978721019,0.000570195833222944,0.000375770002107504,0.000705352800905598,0.000542010497610699,7.09010082160744e-05,0.000593440528290451,0.000289654996084942,0.000906242507178459,0.000885890240905762,0.000770399092278861,0.0010440325870695,0.000543002226953702,0.000222530242240958,0.000779841522295271,0.000112032277312234,0.000598107996392665,0.000377304981904834,0.00073955250224604,0.00083742925183304,0.000389014964501975,0.00054781685549769,9.784830524263e-05,0.000123846870627678,0.00029597260369834,0.000636505270112981,0.000692938624108581,0.000852684942283842,0.000723555215280238,0.000763445659471699,0.000594267102951379,0.000407159352972426,0.000164278154828737,0.000447425795166666,0.000264796995333987,0.000507829917517499,0.000273985037437499,0.00054729797553792,0.000691592791754398
642,0.00123497308537541,0.000804827641570858,0.000419853977158965,0.00143544301904871,0.000305549394622942,0.00140594598520406,0.00038494187453004,0.00161960220204209,0.00183805046385758,0.00175952092473078,0.00173909946880068,0.000672177449604079,0.00231865024196255,0.000887169494849934,0.00201834533292971,0.000991724620182214,0.000643069325661953,0.000750408525650087,0.00194553732851076,0.00142202788328741,0.000299978242329401,0.000397277408195912,0.00182212287644332,0.00100736643078765,0.000971847938121467,0.00130411927127739,0.00159213595981181,0.000977465165142763,0.000708527389130985,0.0012591579604209,0.000569505991910188,0.00126048326023001,0.0010780144834318,0.00153095451936393,0.000625193439275165,0.000452882599887372,0.00195630904598424,8.7550729477005e-05,0.00206519508965445,0.00143305276590782,0.000620973087123571,0.000770312900893798,0.00126445850021647,0.000575810965230573,0.00114497359187939,0.00105025802287052,0.00107876460362666,0.00150671906785498,0.000968823205124345,0.00111543794609763,0.000348674615488185,0.00121919570853071,0.000669292992247268,0.000601917302357781,0.00175026503153114,0.00124931409970129,0.00125899644861949,0.000659807306354587,0.00103458692256222,0.00182120068960406,0.00199665296992596,0.00113360106181259,0.00114644885616496,0.000756092684267276,0.00141595364685709,0.00109020293436755,0.000143521094786185,0.00119379036028866,0.000582526302751961,0.00181961251989072,0.00177579605938297,0.00154987617581994,0.00209236891790504,0.00109214413295335,0.000448407244590726,0.00156758111956794,0.00022448601481227,0.00120402884167821,0.000759522471298574,0.00148383777772566,0.00168387939942729,0.000781655355682685,0.00110158531246604,0.000196659224260114,0.000248929294151812,0.000594025598582736,0.00127771435002617,0.00138988614872525,0.00171061961841916,0.00145628782695059,0.00153246033135536,0.00119471721688089,0.000818760925739558,0.000330181458977408,0.000902002676301821,0.000531358737594965,0.0010183200501282,0.000549595777630432,0.00109954391005449,0.00139204504922504
643,0.00188343257411051,0.00123497643673503,0.000644301275518597,0.00219048370382951,0.000464919175367763,0.00214644730682641,0.000589251237824768,0.0024679539777618,0.00279662661710424,0.00267883594231939,0.00264836640786594,0.00102684291283899,0.00352595576940328,0.00135403463060506,0.00307496245961664,0.00150705932024286,0.000980988249528395,0.00114575375998778,0.00295869288248888,0.00216603484514794,0.000462067341647029,0.000605759010907053,0.00277419135606551,0.00153736254529277,0.00148109772113668,0.00198739294100158,0.00242825717286656,0.00149765568410664,0.00108177562311195,0.00192257571158869,0.000868042826305109,0.00191784888663382,0.00164207889481419,0.00233305531079421,0.000952680087065003,0.000690233415814769,0.00297229078421037,0.00013502803009221,0.00314311201609504,0.00218588179282528,0.000950727965434535,0.0011735111465946,0.00192266563067733,0.000877086184836202,0.00174766225092386,0.00160376315332642,0.00164759918169682,0.00229917795629274,0.0014771706203231,0.00169629762312732,0.000532124146368864,0.00186160129894927,0.00102280700279836,0.000921570084059744,0.00266851077705245,0.00190814178163517,0.00192109328977647,0.00100646737712082,0.00157875088618028,0.00277924661498454,0.00304161360765759,0.00171991846086806,0.00174837427037489,0.00115396736025294,0.00215559394959196,0.00166364355588917,0.000220822301043133,0.00182056598528173,0.000888889423820528,0.00277076827116397,0.00269969929122679,0.00236437305962997,0.00317931299436332,0.0016660004390321,0.000685847703857478,0.00239041270344358,0.000340866090893229,0.00183900840571774,0.00115938825719596,0.00225758453872444,0.00256845481914282,0.00119140701861057,0.00168015605406156,0.000299791583059971,0.000379449622686842,0.000904897903967702,0.00194506506582798,0.00211409482254442,0.00260263107892945,0.00222346722395632,0.00233248629878242,0.00182224585002627,0.00124875440604817,0.000502994558586064,0.00137918897123086,0.0008085097193054,0.00154818822234556,0.000836391104313793,0.00167553763721518,0.0021259653018692
644,0.0025804774857455,0.00170321385131841,0.000889086636538747,0.00300400448745697,0.000635613134124927,0.00294444035122138,0.00081100865510974,0.00337889609563247,0.00382239514595725,0.00366372892642259,0.00362359125060789,0.00140983140504142,0.00481623392724317,0.00185645120181991,0.00420871316072641,0.00205727864555603,0.00134453138659073,0.00157199378094211,0.00404138074427815,0.00296482020382216,0.000640639733584004,0.000829885995878374,0.00379446184051355,0.00210839865895711,0.00202803718659138,0.00272107213034284,0.00332761357767456,0.00206325216352775,0.00148515280971923,0.00263849263031577,0.0011888900493525,0.00262123091759789,0.00224901475123665,0.00319426818761492,0.00130409604890925,0.000945668908245539,0.00405934528812535,0.000187551904498563,0.00429711072925291,0.00299526801614908,0.00130867099540483,0.00160625794073617,0.00262627790689662,0.00120041350163726,0.00239726898289285,0.00220071973121808,0.0022613484724857,0.00315231183101561,0.00202376102898522,0.00231722019532052,0.00072987231167332,0.00255436306155692,0.00140487789389315,0.0012692267151666,0.00365553201341033,0.00261896065775397,0.00263434447568722,0.00137930433214881,0.00216526048135635,0.00381065913131443,0.00416238675413107,0.00234462662143744,0.00239558727740158,0.00158239334383814,0.00294806512084766,0.00228139860779416,0.000305766668319718,0.00249328389255679,0.00121901986311011,0.00379036799402536,0.00368758177223237,0.00323983155271566,0.004339168818301,0.00228314586622311,0.000943068316849392,0.00327553018554777,0.000464677383948229,0.00252429255837237,0.00158963812861173,0.00308552149752799,0.00352025988733968,0.00163175579835407,0.00230237976344078,0.000410604207649721,0.000519610208347208,0.00123932843916775,0.00265999524360683,0.0028888168942605,0.00355754637433818,0.00305036279524269,0.00318896584488434,0.00249774851062528,0.00171108948164505,0.000688002099794757,0.00189444300777918,0.00110507443298776,0.00211415225868303,0.00114392990122258,0.00229407899068547,0.00291796207914418
645,0.00334703422418043,0.00222411063739429,0.00116214075732067,0.0039011322523426,0.000822820612897763,0.00382415319996555,0.00105734482829451,0.00438004159859958,0.00494597770673385,0.0047435526710073,0.0046943259364923,0.00183305398432608,0.00622769858413503,0.00240937252116805,0.0054536847854945,0.00265877710351594,0.00174471123097237,0.00204218299302924,0.00522550391683454,0.00384297777949266,0.000841955988733318,0.00107645437488196,0.00491349059576411,0.00273804206063467,0.00262923528878744,0.00352731198268443,0.00431754094990813,0.00269250331120964,0.0019317555995168,0.0034292821649146,0.00154186054350932,0.00339155551065839,0.00291849406073484,0.00414056826344588,0.00168992574569567,0.00122728138300472,0.00525199224666369,0.000247036690493762,0.00556149105216167,0.00388545815932111,0.00170625913146258,0.0020816672795807,0.00339634968416037,0.00155562922522994,0.00311382038249867,0.00285945369670858,0.00293891253092954,0.00409197195363807,0.00262526542657073,0.00299666391804023,0.000948063891004075,0.00331877857787425,0.00182744012965582,0.00165650317883044,0.00474128769132448,0.00340361128768086,0.0034207437984781,0.00178952592748953,0.00281237750170214,0.00494666071101888,0.00539246703618993,0.00302676860361596,0.00310766072929301,0.00205432652931852,0.0038171264656072,0.00296247053903175,0.000401291844530999,0.00323126799226982,0.00158314229701793,0.00490903356708653,0.00476945384243813,0.00420203985130235,0.00560622583448736,0.00296211623323153,0.00122824287776663,0.00425005216719049,0.000599410706292362,0.00328103361561053,0.00206289490676578,0.00399234541051747,0.00456832292914633,0.00211615508988667,0.00298706645228837,0.00053245111391656,0.00067362047110274,0.00160803437296677,0.00344391372550958,0.0037372733121796,0.00460423671953178,0.00396217478207245,0.0041273149270952,0.0032420574285905,0.00221968826185223,0.000890472867008163,0.00246312318477289,0.0014298743271412,0.00273291206676833,0.0014817977499397,0.00297393659801924,0.00379250384339718
646,0.00420392443231077,0.00281172464582902,0.00147114355494937,0.00490669946451675,0.00103170595453259,0.00480930775066481,0.0013352459570155,0.00549878602433499,0.00619800729683668,0.00594744635681079,0.00588989086114775,0.00230825033122973,0.00779846200506437,0.00302747162229841,0.00684380227727401,0.00332781813527519,0.00219248613577362,0.00256919100200539,0.00654275427095005,0.00482512752306495,0.00107206903850774,0.0013521938572241,0.00616146702002387,0.00344363499534058,0.00330111937982479,0.00442809972426236,0.00542511905896689,0.00340335065758338,0.00243464946627656,0.00431699159618438,0.00193665523198258,0.00424965223239296,0.00367037686769976,0.00519774191371154,0.00212058319600428,0.00154309737167477,0.00658526623789947,0.000315318227446267,0.00697014550306446,0.00488061953825871,0.00215474936026881,0.00261274708962458,0.00425389306232861,0.00195249808598954,0.00391709893073883,0.00359799264634727,0.0036989520460672,0.00514358838239783,0.00329818143526278,0.00375301279057274,0.00119275132537557,0.00417588271124326,0.00230223041793116,0.00209485610364323,0.0059554725513952,0.00428366415114341,0.00430199441821407,0.00224815312579054,0.00353811502527605,0.00621815510453226,0.00676515836736343,0.00378542115963624,0.00390399808009382,0.00258254913307793,0.00478640886183568,0.00372560661187366,0.00051023790392107,0.00405307187805241,0.00199127809225217,0.00615724145129698,0.00597543985885553,0.00527617170048985,0.0070147152593421,0.00372129174945046,0.00154937357037734,0.00534079600841929,0.000748500605928605,0.00413000967783006,0.00259132954169871,0.00500262521045643,0.00574136806476483,0.00265792848780204,0.00375286344640164,0.000668667077266382,0.000845718102344841,0.00202164587202603,0.00431811341791681,0.00468255982305459,0.00577174998684836,0.00498382683497823,0.00517284420005958,0.0040757517205339,0.00278836254229277,0.00111561219768945,0.00310018818504092,0.00179171867417168,0.00342109588668614,0.00185968702343983,0.003733754262324,0.00477349878853516
647,0.00517194356278082,0.00347998550218721,0.00182371225150581,0.0060454649859145,0.00126742725208646,0.00592349935493233,0.00165166211534089,0.00676247053419218,0.00760911974893978,0.00730449576126289,0.00723954853424353,0.00284711728189465,0.00956661105409988,0.0037253514691038,0.00841294997794746,0.00408063241542599,0.00269880091883901,0.00316584121393677,0.00802477089437565,0.00593589591812525,0.001336979904525,0.0016638175765946,0.00756848879455703,0.00424246344713022,0.00406008141125285,0.00544538060202586,0.0066773636726823,0.00421365893873692,0.0030068920895724,0.00532358666304596,0.00238294704816681,0.00521632650163964,0.00452457022561125,0.00639152832928749,0.00260646481783818,0.00190112696227754,0.00809433056219169,0.00039421273011723,0.00855686477400676,0.0060048996169981,0.00266534867654275,0.00321247877992276,0.00521990957740488,0.00240076691948613,0.00482682608018217,0.00443428959078006,0.00456006786546314,0.00633248587468838,0.00405896333392526,0.0046046322481851,0.00146996397115521,0.00514664464546135,0.00284093602749409,0.00259570227955689,0.00732771528169295,0.00528062220789531,0.00529972683694478,0.00276616019134854,0.00436042395124817,0.00765596638179128,0.00831371698285226,0.0046396694647653,0.00480396043434782,0.00317979995202223,0.00587951108074373,0.00458949029192222,0.000635420527316283,0.00497705656440503,0.00245339778809877,0.00756543175319065,0.00733569268273931,0.00648724723259657,0.00859885375219752,0.004579013721945,0.00191441967584162,0.00657450375896614,0.00091536756478191,0.00509190529153611,0.00318700001565624,0.00614089787420396,0.00706804336316563,0.00327036713659888,0.00461837740010605,0.000822582062984757,0.0010401478613203,0.00249077135247619,0.00530385824326755,0.00574774087325005,0.00708917821298898,0.00614017345681016,0.00635083799272474,0.00501934722474225,0.00343089654016498,0.00136860956756643,0.00382049676241293,0.00219941370246184,0.00419531404163538,0.00228731679254553,0.00459214458059568,0.005884715041355
648,0.00627188706823489,0.00424282283203347,0.00222746406907094,0.00734218767847091,0.00153514259861645,0.00719032336438129,0.00201354337733883,0.00819843628952461,0.00920995089571718,0.00884378666179344,0.00877256146544892,0.00346135167246311,0.0115702325953103,0.00451761502547701,0.0101950122293973,0.00493345061856054,0.00327460039801309,0.0038449570348896,0.00970319287486232,0.00719990944825977,0.00164268960840281,0.00201803866668331,0.00916465360062781,0.00515181340005897,0.00492251333462104,0.00660109986292413,0.00810129055888581,0.00514129289075822,0.0036615411489782,0.00647103310442022,0.00289040892545656,0.00631238373723647,0.00550098118794915,0.00774766670104933,0.00315796702920048,0.00230938024283484,0.00981434851989933,0.0004855364132678,0.0103554395570341,0.00728244585957551,0.00324926407500364,0.00389384375953017,0.00631540076539272,0.00291018256128981,0.00586272328339752,0.00538629754065286,0.00554086083668184,0.00768398918790322,0.00492406540142211,0.00556988772614439,0.00178573118471042,0.00625203356432588,0.00345524422711956,0.00317045849652335,0.00888764457028818,0.00641598841769025,0.00643557155671985,0.00335452138846023,0.00529725517878857,0.00929091861273262,0.0100713991178571,0.00560859869427013,0.00582690889659879,0.0038588177830573,0.00712003189354198,0.00557280504477975,0.000779655395542987,0.00602158306582814,0.00297947192384368,0.0091640445793015,0.00888036517534421,0.00786028657994093,0.0103928579723859,0.00555362345778025,0.00233134047531962,0.00797791746856299,0.00110343206477722,0.00618740500323385,0.00386196431088412,0.00743170037861919,0.0085769968933192,0.00396676218077591,0.00560221496772707,0.000997526036357255,0.00126115450727591,0.0030260192304479,0.00642241212400081,0.00695588090913054,0.0085856134346547,0.00745606915041835,0.00768658063403789,0.00609335977950236,0.00416107447266718,0.00165465445236688,0.00463890767071856,0.00266176564039432,0.005072176854815,0.00277440612807939,0.00556772014983018,0.00714992072865358
649,0.00752468135257305,0.0051148073874411,0.00269032970474601,0.00882199442459749,0.00184004133612587,0.0086340078605883,0.00242802044491886,0.00983429633327776,0.0110311223934861,0.0105946718523694,0.0105184815942297,0.00416286456104982,0.0138475404973483,0.0054192156040916,0.0122240763808591,0.00590266725207307,0.00393089706741925,0.00461959286938004,0.0116099232153661,0.00864176193365112,0.00199545872073416,0.0024216531392623,0.0109805177042129,0.00618925214298088,0.00590498410423124,0.00791741265034042,0.00972423549324976,0.00620450122145081,0.00441169329505794,0.00778170436861963,0.00346885374630876,0.0075587500967196,0.00661928176274909,0.00929213214261688,0.00378557425097893,0.00277594951917171,0.0117798397999569,0.000591203614695675,0.01240016967518,0.00873750498943281,0.00391795251007962,0.00466995602470902,0.00756142098157814,0.00349058132099675,0.00704481713509717,0.00647234243612874,0.00666023101465957,0.00922394958365685,0.00591015863321334,0.00666723747981364,0.00214619774564373,0.00751334704935745,0.00415708948093174,0.00383074073769469,0.0106652193679006,0.0077116033401514,0.00773152236966565,0.0040244444731766,0.00636687050150895,0.0111542342697814,0.0120716993992216,0.00671125190824594,0.00699241631889474,0.00463255852047879,0.00853173060521342,0.00669455331939548,0.000945880156516244,0.00720597529247775,0.0035797251758841,0.0109837018082412,0.0106394676767086,0.00942107793874828,0.0124310173646766,0.00666365677566134,0.00280830976301149,0.0095781557385198,0.00131618491822964,0.00743766112889174,0.00462884524860227,0.00889972948008329,0.010297256980354,0.00476056701530662,0.00672318616094938,0.00119685301327107,0.00151294746018151,0.00363810667472504,0.00769518390226345,0.00833020087900217,0.0102899268667319,0.00895671415706556,0.00920548808143313,0.00731862161472681,0.0049928184491214,0.00197901563649549,0.00557077930878393,0.00318759593646828,0.00606838423385269,0.00333054061162433,0.00667924959758139,0.00859358431277812
