n.sim,Rnctot,lEctot,Hctot,Actot,Tcave,Rnstot,lEstot,Hstot,Gtot,Tsave,Rntot,lEtot,Htot
1,407.185316133309,117.652525716121,289.532790417188,15.9871951172732,23.379883165863,144.2663626236,34.1905984279546,16.0705187065012,50.4932269182602,22.536683646945,551.45167875691,151.843124144076,305.603309123689
2,530.294754270197,148.836390804546,381.458363465667,4.2096765121922,26.350125238524,12.873316066613,5.58246442735501,1.2234950135803,4.50566062331455,25.5896003347563,543.16807033681,154.418855231901,382.681858479247
3,566.21568272201,139.330515245167,426.885167476844,8.45695569071777,22.0688991212074,50.9964732971199,9.53152908360125,2.08424676326978,17.848765653992,25.0173551484141,617.21215601913,148.862044328768,428.969414240114
4,486.145797693588,217.924328381313,268.221469312276,12.9727963152065,23.5839462281733,52.5708265079602,21.4858861758319,4.21442843538739,18.3997892777861,21.5939207307174,538.716624201549,239.410214557145,272.435897747663
5,141.646034158364,35.9884202618031,105.657613896561,3.63622136432647,21.9740626570366,364.694984293224,48.0869547062699,72.1393607505353,127.643244502628,23.6827920348466,506.341018451588,84.0753749680729,177.796974647096
6,535.95525610821,248.436050679475,287.519205428735,14.5357670139441,21.9041301766879,34.842262799673,16.6760530768753,2.59367874609629,12.1947919798855,21.5439393526874,570.797518907883,265.11210375635,290.112884174832
7,448.690968527576,90.1942865376973,358.496681989879,8.79313286667014,22.419174164398,121.820768284309,25.7553515096598,7.95971407994398,42.637268899508,24.8130674127513,570.511736811885,115.949638047357,366.456396069823
8,598.000731271425,362.309879920371,235.690851351055,23.2763718756887,21.8076127455796,6.83749208047219,3.04114623539421,0.595279055178464,2.39312222816526,24.6526511725859,604.838223351898,365.351026155765,236.286130406234
9,427.029730502204,121.625083335596,305.404647166608,17.8095202561072,21.6369898953248,101.15079377472,30.7688909626595,11.3381124349309,35.4027778211518,21.5601572165527,528.180524276924,152.393974298256,316.742759601539
10,518.428002799275,141.737953710631,376.690049088644,14.5779408902663,22.3299439515956,28.658232415992,13.6120595034297,2.34994230067048,10.0303813455972,22.2249306119574,547.086235215267,155.350013214061,379.039991389314
11,571.672028768911,346.742558176445,224.929470592481,17.2538371526505,23.6905021903334,9.47612047150638,4.29009135321481,0.904977796618252,3.31664216502723,25.311249333219,581.148149240417,351.03264952966,225.834448389099
12,478.27929902585,141.529762339019,336.74953668683,13.1392743608229,21.0689653469186,116.49811707595,26.0116775703667,7.15312798199865,40.7743409765826,22.3104652868544,594.7774161018,167.541439909386,343.902664668829
13,470.067704899259,64.9632455988108,434.198097487277,4.95719675033053,24.6718079872058,26.7374002332939,12.9333226383927,2.69372135109413,9.35809008165285,23.3470990937855,496.805105132553,77.8965682372035,436.891818838371
14,192.023547010485,8.67246549655879,183.351081513926,1.87150666860275,25.1780190227615,302.567701761834,48.0793289415749,59.4260023209745,105.898695616642,23.9118265833826,494.591248772319,56.7517944381337,242.777083834901
15,549.93694993562,211.478271059806,338.458678875991,14.4024940624238,24.2392782045036,13.3848561584661,6.32253679681704,1.32881757652341,4.68469965546314,24.8016191827465,563.321806094086,217.800807856623,339.787496452515
16,377.288829336871,136.67493436473,240.61389497214,18.4407264060357,21.8703714928925,145.629896275799,33.5542330896026,12.9532465375584,50.9704636965298,25.5160846667811,522.91872561267,170.229167454333,253.567141509699
17,281.396400774785,196.126638023167,85.2697627516181,15.381109689122,20.8394185890906,274.851758706143,42.9130809797128,33.2570106910181,96.1981155471499,23.6828127760897,556.248159480928,239.03971900288,118.526773442636
18,456.892452283441,197.979823588219,258.912628695223,13.2575554991206,22.4275022721021,108.980457149969,28.8056404835782,9.54428598320833,38.1431600024893,22.6326433898877,565.872909433411,226.785464071797,268.456914678431
19,508.737709221818,204.924197431424,303.813511854917,16.9614910927862,27.6237719594049,36.8449427735912,9.47040595591869,2.41097172950445,12.8957299707569,29.8651739324023,545.58265199541,214.394603387342,306.224483584422
20,510.510847463117,186.481392516852,324.029454946265,16.2008367331702,21.2464453781917,50.4008099199912,21.8631395647904,2.15958682092284,17.6402834719969,20.5347896315152,560.911657383108,208.344532081643,326.189041767188
21,507.316616433982,75.5908035854619,431.72581284852,2.91592322641167,22.5922954045624,25.9923412928307,12.968820006024,2.03131691222401,9.09731945249074,21.9477818176982,533.308957726812,88.559623591486,433.757129760744
22,336.22204394512,121.651737410345,214.570306534776,10.26459148862,23.0163837092036,215.882970612493,40.1330015234138,24.0716841435982,75.5590397143726,23.7752818365771,552.105014557613,161.784738933758,238.641990678374
23,565.829780028363,173.345790873476,392.483989154887,13.3369554689751,21.6072838902174,17.2560952450193,9.00986545228669,1.39711054906259,6.03963333575675,22.3258697274133,583.085875273382,182.355656325762,393.88109970395
24,392.935159849851,19.0721516531851,373.863008196666,4.79412202833194,22.8185294355841,139.989889801506,34.5198129508055,18.3386752586788,48.996461430527,21.9527259499682,532.925049651357,53.5919646039906,392.201683455345
25,445.977554542776,166.729772302275,279.247782240502,16.746166294437,21.9126397772528,114.229632066974,29.6399945724036,9.96244031959004,39.980371223441,21.9385663628491,560.20718660975,196.369766874678,289.210222560092
26,380.901471501996,70.1205730839722,310.780898418024,14.2400979478399,21.7540523808232,156.317301871449,35.3417053461634,21.5974830583368,54.711055655007,21.8174506355534,537.218773373444,105.462278430136,332.37838147636
27,582.483772271443,179.285281885267,403.198490386176,14.6487938059025,22.2517758332274,9.1720422272693,4.65979764362777,0.860145725439646,3.21021477954426,23.8369534692616,591.655814498713,183.945079528895,404.058636111615
28,396.071724961594,33.8063680798277,362.265356881767,3.50613733193684,26.1354673492202,97.2422785630022,30.8996670205546,11.6560523761511,34.0347974970508,23.537518774512,493.314003524597,64.7060351003823,373.921409257918
29,195.873351666349,14.4521089172032,181.421242749146,2.46551414048548,22.0381489284142,293.731189701182,47.5593032432047,56.0595093955193,102.805916395414,23.8743312239716,489.604541367531,62.0114121604079,237.480752144665
30,577.634993039615,160.2981204676,417.096587909286,11.3658177444935,21.4093618048317,12.7997458428604,6.92109085205406,1.16434509742386,4.47991104500113,22.9259682152961,590.434738882476,167.219211319654,418.26093300671
31,339.918689460725,102.909682456345,237.00900700438,10.9257028493762,23.6257091100394,200.50914759802,39.2989422559455,20.2697188517452,70.1782016593071,24.4443139772159,540.427837058745,142.208624712291,257.278725856125
32,539.073803169934,70.183745079108,468.890058090826,15.3314792159062,22.2786527809995,57.0204002125713,10.2430550714064,2.35112258443562,19.9571400744,25.6613318194311,596.094203382505,80.4268001505144,471.241180675262
33,241.826458672809,21.1996368869982,220.626821785811,3.81922249669807,22.0480216108031,240.330251920658,43.4911370524737,47.0916497802097,84.1155881722303,23.0939505357597,482.156710593467,64.6907739394719,267.718471566021
34,438.221121102708,274.205591718312,164.015529384397,21.3540695310863,23.1398243382624,82.3837732885712,27.8871573856062,8.68154791673284,28.8343206509999,22.1765624462059,520.60489439128,302.092749103918,172.697077301129
35,298.273409463044,168.602218133008,129.671191330036,17.89606365999,22.0871897579741,253.015613222903,43.1195989426277,29.819414012934,88.5554646280161,24.1199361324593,551.289022685948,211.721817075636,159.49060534297
36,144.298195908082,5.28062306157112,139.017572846511,1.81483894084511,21.7365787299374,367.73087520864,44.4138756132572,82.1747558385832,128.705806323024,22.7611430967882,512.029071116722,49.6944986748283,221.192328685094
37,475.969637710245,36.4328828193788,439.536754890867,2.27256048669984,27.1558318773847,21.7384880156049,10.0201090394606,2.28632575370649,7.60847080546172,25.0037805501267,497.70812572585,46.4529918588393,441.823080644573
38,253.044440926001,20.9033963681042,232.141044557897,0.967587270336237,22.0237116462762,243.768264940364,45.3606594617543,42.5216091250574,85.3188927291276,23.8016345612199,496.812705866365,66.2640558298584,274.662653682954
39,411.359343815042,131.161629944005,280.197713871037,19.2288717987863,22.064012176256,82.6569281454799,30.1677235152347,11.0778923559591,28.929924850918,22.5308874880885,494.016271960521,161.329353459239,291.275606226996
40,466.525710339005,226.767862191087,239.757848147919,21.4048288272414,21.5820320413045,94.047440128124,29.1375342050905,8.88525384022503,32.9166040448434,21.3250600193607,560.573150467129,255.905396396177,248.643101988144
41,492.688817914676,130.440157601928,362.248660312748,6.95137696632211,23.9068809444595,74.1152849125358,20.2565696642458,5.31340753579748,25.9403497193875,24.0395843449778,566.804102827212,150.696727266174,367.562067848546
42,460.65978022212,82.215605530876,378.444174691244,15.1559217344172,22.56877674749,121.38722994194,25.6582989434443,7.67915211257729,42.4855304796791,23.7488778861492,582.04701016406,107.87390447432,386.123326803821
43,519.961937314673,56.1809969560506,463.780940358742,5.09825606187963,26.7058041668662,17.5052392255554,4.84648946049647,1.16586884762725,6.12683372894438,28.6866937611686,537.467176540228,61.0274864165471,464.94680920637
44,268.800541284312,100.88843900714,167.912102277173,11.7125458003101,20.8892239156529,268.020060746686,43.1604605923857,38.2502779185606,93.80702126134,23.3878799806293,536.820602030998,144.048899599525,206.162380195733
45,494.517290834064,344.453376637484,150.063914196581,30.7791855006782,22.5688760773609,100.659381981943,16.592986082049,4.44035492424273,35.2307836936802,28.115780719217,595.176672816008,361.046362719533,154.504269120824
46,545.875644790258,102.250868495092,443.624776296219,5.043542345822,28.7865702447194,19.8842204777835,5.04531967762747,1.20403501658308,6.95947716722423,28.2689090853399,565.759865268042,107.296188172719,444.828811312802
47,529.598888044471,97.9177504597583,431.681137584713,14.0847658362169,21.7290760573497,46.2104868791337,19.8576367444494,2.57884344995559,16.1736704076968,20.9341191506162,575.809374923605,117.775387204208,434.259981034669
48,488.378961855028,200.23640614967,288.142555705358,16.3568369933431,22.7107289121577,64.8173054002076,24.5173187136699,5.08273809728927,22.6860568900727,21.2585005903186,553.196267255235,224.75372486334,293.225293802647
49,576.077828089055,242.97122087592,333.106607213135,14.5732621045321,21.6986194461577,26.5883142342966,8.84901720088114,1.70586869087713,9.30590998200381,23.5938348413298,602.666142323351,251.820238076801,334.812475904012
50,240.65811032917,94.1944961246557,146.463614204514,10.554862631363,21.6165725362734,272.182873431213,43.6237995230684,51.3288509539692,95.2640057009246,23.0091413178438,512.840983760383,137.818295647724,197.792465158483
51,411.164950743786,110.620025865773,300.544924878013,11.8413015416872,22.1317910444634,157.300681481581,31.2368680120535,11.2051378885055,55.0552385185532,25.4726339003845,568.465632225367,141.856893877827,311.750062766518
52,449.074092538108,33.6637451041767,415.410347433931,4.91648195922192,26.4818751491285,81.8523092506104,26.8191134536751,8.27028611126016,28.6483082377136,22.8241146100121,530.926401788718,60.4828585578519,423.680633545191
53,355.76869194822,142.427638058908,213.341053889312,8.91030569176111,24.0827754336347,179.418701784507,37.997238138644,20.9733843919109,62.7965456245773,23.412298225429,535.187393732726,180.424876197552,234.314438281223
54,227.120440146216,14.3652378060445,212.755202340172,2.028900441414,24.5297167153259,271.809230803584,48.4234980379635,47.8635314765568,95.1332307812543,24.3945570458603,498.9296709498,62.788735844008,260.618733816729
55,577.020737204987,265.411583113078,311.609154091909,17.013007528417,22.0465607543074,10.9128059431397,5.74162281418057,1.03350371458173,3.81948208009891,23.4891977432638,587.933543148127,271.153205927258,312.642657806491
56,534.842238007917,198.12192216246,336.720315845457,16.2726850730516,22.2636380484321,40.4382708501494,17.4632053748729,2.75061033523255,14.1533947975523,21.5059672890803,575.280508858067,215.585127537333,339.47092618069
57,514.456514744168,27.0013346055711,487.455180138597,5.53321940715575,22.7731074011118,47.212594594465,19.5975146195976,3.54251850945509,16.5244081080628,21.6232137377471,561.669109338633,46.5988492251687,490.997698648052
58,500.945641666882,350.978738078696,149.966903588186,28.198362417003,21.15467646077,92.1246304181478,20.3489786714419,5.15376623295836,32.2436206463517,23.7016186753964,593.07027208503,371.327716750138,155.120669821144
59,510.341898680914,264.131982173038,246.209916507889,17.7632437122369,26.0481221117467,67.8100990284684,15.4964157313683,4.07451901021475,23.7335346599639,26.8829892043322,578.151997709382,279.628397904406,250.284435518104
60,518.391756881824,336.943245105298,181.448511776526,15.7022280800002,25.9136235212969,33.1235162746834,15.0658466813408,3.4426701443774,11.5932306961392,23.693402612819,551.515273156507,352.009091786639,184.891181920903
61,516.912895890489,235.379151106498,278.368306798181,18.6402013248461,23.4917530744198,31.4002075189942,14.673826504893,2.62738145628515,10.990072631648,22.2348839358857,548.313103409483,250.052977611391,280.995688254466
62,138.054573474097,12.4847968234487,125.569776650648,2.68418153173224,21.2233210784583,354.706306113284,44.4913254998017,86.5448921789164,124.147207139649,22.7380383084708,492.760879587381,56.9761223232504,212.114668829565
63,502.087271117467,253.364062302425,248.723208815042,23.4806160007541,22.6425811315628,82.9325544613287,20.7345544599891,5.1771513775464,29.026394061465,23.3088398790316,585.019825578796,274.098616762414,253.900360192588
64,504.833313259908,303.173907868088,201.659405391819,26.3640909995576,21.3101839286591,86.6021921561212,20.9129763242459,5.20882863273613,30.3107672546424,23.2487687602851,591.435505416029,324.086884192334,206.868234024555
65,525.80408503731,294.924898212337,230.879186824973,26.7405188313839,21.4577374408443,40.4645265102873,15.6387940971747,2.8405953730726,14.1625842786006,22.199001298186,566.268611547597,310.563692309511,233.719782198046
66,497.137182999726,86.5370826366137,410.600100363112,9.46221286008948,21.2469692931491,50.3996947010064,20.3350300003298,3.54585967487474,17.6398931453523,21.4342041062836,547.536877700732,106.872112636944,414.145960037987
67,139.937964435088,15.7821776261213,124.155786808967,1.64554824159761,22.924986787814,354.04353875875,49.8119094238054,69.34429506571,123.915238565562,24.1119853881088,493.981503193837,65.5940870499267,193.500081874677
68,219.961306113289,82.1000665840641,137.861239529225,9.24349594245276,21.2593204683622,289.376352715079,42.3259139469673,62.7222600327388,101.281723450278,22.4841833081286,509.337658828368,124.425980531031,200.583499561964
69,470.078897856931,156.741493176167,313.337404680764,16.3293483904115,23.540918806029,130.265940697382,20.2462007844873,5.65633885530718,45.5930792440837,27.0931231498977,600.344838554312,176.987693960654,318.993743536071
70,548.785750323959,260.595384632909,288.190365691049,20.7949116150737,22.2914815322052,15.782798709442,7.12817643210857,1.41312098635863,5.5239795483047,24.0423876277294,564.568549033401,267.723561065018,289.603486677408
71,261.12753431969,10.0640885302219,251.063445789468,1.56159639840851,30.4820049668264,219.108255879122,46.7531222851898,40.2441367325792,76.6878895576927,24.3602412231445,480.235790198812,56.8172108154117,291.307582522047
72,529.399629478098,231.365957062822,298.033672415276,14.3816107394735,20.8871207147839,22.4418690423831,12.1084448270401,1.68695083793877,7.85465416483409,21.6879098969881,551.841498520481,243.474401889862,299.720623253214
73,457.419875323135,160.365381995664,297.054493327471,20.9322274111086,22.151493272525,63.6520992619623,23.4411849472361,5.7826893429908,22.2782347416868,22.1766397347997,521.071974585097,183.8065669429,302.837182670462
74,610.424826067438,57.0931573168327,553.331668750606,11.8586190905042,21.4887894778561,29.2510345522444,6.76741852777894,1.34227439786009,10.2378620932855,24.30137245135,639.675860619682,63.8605758446117,554.673943148466
75,434.7717955003,162.403166529922,272.368628970379,9.4630413336906,23.820255980363,116.218095783357,28.4002897500672,9.53610532403458,40.6763335241749,24.3990659686722,550.989891283657,190.803456279989,281.904734294413
76,453.446690406975,135.617820638854,317.828869768122,9.18351578289822,26.0837908944752,52.9213767489466,21.3502768173782,5.85179026673343,18.5224818621313,23.8766315677073,506.368067155922,156.968097456232,323.680660034855
77,288.653154718478,255.041560268018,33.6115944504598,25.1646678356005,20.4639411178222,248.301691403201,45.1984105124156,23.7229556676933,86.9055919911203,26.4981030267589,536.954846121679,300.239970780433,57.3345501181531
78,505.568252481295,21.4136405251539,484.154611956141,4.15771626112957,22.5922320211508,42.2089605176002,19.7348719944738,2.59276421851974,14.7731361811601,20.9522297445711,547.777212998895,41.1485125196277,486.747376174661
79,201.034638998795,79.909179053405,121.125459945389,6.44935173906805,21.3567637225451,317.519329554551,44.1608550328057,66.423202185216,111.131765344093,22.8645898616462,518.553968553345,124.070034086211,187.548662130605
80,470.781878349478,214.454407541659,256.327470807819,18.0337802421083,21.9110958571369,80.2111623415919,23.9892956110779,6.8585705288155,28.0739068195572,23.5124971469335,550.99304069107,238.443703152737,263.186041336635
81,594.734508123867,263.662805506202,331.071702617664,15.8045115388392,21.7381076290744,8.07051585462533,4.23577515903002,0.780691379200296,2.82468054911886,23.8865863363066,602.805023978492,267.898580665232,331.852393996864
82,465.790901759922,254.630287025076,211.160614734847,20.0370900573655,21.404335030758,112.283725286605,25.0566571563935,7.17171524756198,39.2993038503118,23.2437683684733,578.074627046528,279.686944181469,218.332329982409
83,464.06564069269,170.935565701958,293.130074990731,19.9809300191301,21.8941823184884,107.808762823133,27.3145405561952,7.9998204845815,37.7330669880966,22.150192990967,571.874403515823,198.250106258154,301.129895475313
84,88.4446028964748,46.120811780582,42.3237911158927,3.81771714181968,20.714060803482,411.253408299412,45.9643546295441,92.2486667301248,143.938692904794,23.0189002443827,499.698011195887,92.0851664101261,134.572457846018
85,94.9501283418088,8.71865549006519,86.2314728517436,2.02526970142803,22.5713822285613,402.823839441579,48.7554665077436,85.8025730896262,140.988343804553,23.6587635186368,497.773967783388,57.4741219978088,172.03404594137
86,148.155309676721,4.07942075072159,144.075888925999,0.858337869878893,26.0796004061018,350.157954746813,49.1565119267325,73.7453608836827,122.555284161385,23.8837042820589,498.313264423534,53.2359326774541,217.821249809682
87,313.265052948776,61.7125126834428,251.552540265334,11.4986615414414,21.6996242175011,214.919860595146,39.2621548592419,36.683716466669,75.2219512083012,22.2514359489702,528.184913543923,100.974667542685,288.236256732003
88,451.330791465979,193.910914343141,257.419877122838,18.3079915649553,21.6256482295174,92.545257325098,25.9084694492204,7.16404320034179,32.3908400637843,22.2578064829671,543.876048791077,219.819383792361,264.58392032318
89,539.734144086722,113.360683921155,426.373460165568,15.5815317241786,21.4460233675034,20.150279302179,10.5151226519338,1.58786206244655,7.05259775576266,22.0763083901184,559.884423388901,123.875806573089,427.961322228014
90,459.905273375357,240.226443088695,219.678830286662,18.1740673700311,20.9192491096569,91.9652122014708,30.6152425944904,10.4944210304536,32.1878242705148,20.9086865387167,551.870485576828,270.841685683185,230.173251317116
91,547.797966786507,251.082762790097,296.71520399641,19.3620567243604,21.5532677244187,33.3578135934366,11.9872146153375,2.44109010280435,11.6752347577028,23.445943892077,581.155780379944,263.069977405435,299.156294099215
92,502.705833574724,85.9640946308555,416.741738943868,10.6130580486076,22.8750201503439,46.5399162932846,19.5352480221068,3.32267539714426,16.2889707026496,21.4648815041595,549.245749868008,105.499342652962,420.064414341012
93,327.490522734037,154.313784410884,173.176738323154,18.1240777805399,22.9692756369722,218.043882421414,40.7602575293079,23.9418462364165,76.3153588474948,24.1166613553786,545.534405155451,195.074041940192,197.11858455957
94,62.9083508644703,14.6838819002155,48.2244689642548,2.31655904526587,21.2216607461047,420.628587511986,46.61010704049,100.127561260289,147.220005629195,23.0954508546329,483.536938376456,61.2939889407056,148.352030224544
95,488.352589520142,258.633043056277,229.719546463865,22.7186066787645,21.217951248276,126.658433380152,20.7881264199484,5.57256839089811,44.3304516830532,24.7585675115773,615.011022900294,279.421169476225,235.292114854764
96,126.211297285147,42.4604101408098,83.7508871443372,6.20562613512425,20.6750076601202,382.540011576653,44.4146275247553,83.1088659646692,133.889004051828,22.7584390690329,508.7513088618,86.875037665565,166.859753109006
97,543.912244360803,48.9871027514713,494.925141609332,12.9126084317221,21.8423932437477,58.7538737975923,12.137506309215,2.73043031330746,20.5638558291573,24.7030919840251,602.666118158396,61.1246090606863,497.655571922639
98,249.090298169098,53.9620774610381,195.12822070806,5.55948473170582,21.2935735849746,287.552559960215,42.5934808239696,52.875704676094,100.643395986075,22.7148492015387,536.642858129313,96.5555582850077,248.003925384154
99,490.468199591153,56.8675843279026,433.600615263251,6.59029790512917,25.5830938873086,59.884901320365,17.4245098311682,4.41156433515284,20.9597154621277,24.5452645026162,550.353100911518,74.2920941590708,438.012179598404
100,486.161171095658,146.311365061384,339.849806034308,4.98039053903926,28.2391918516116,19.1314749540925,8.60833587727909,2.04933049955626,6.69601623393238,26.2663670242298,505.29264604975,154.919700938663,341.899136533865
